Timestamp,FirstLanguage ,e1,NowLanguage,AdditionalLanguages,NextLanguage,PetProjectsLanguages,Choosing,Change,otherFirst,otherNow,Experience,inUA,Comment,n
,(другой),,Scala,"Java, C/C++, PHP, JavaScript, groovy, ",Scala,"Java, C/C++, Scala, m4",заказчиком,Нет,,,10 и больше
11/15/2010 11:09:11,Pascal/Delphi,,PHP,"Perl, JavaScript",Perl,"PHP, Perl",заказчиком,Нет,,,7,да
11/15/2010 11:10:10,PHP,,Python,JavaScript,Python,,моя организация разрабатывает только на этом языке,Нет,,,0,да
11/15/2010 11:10:14,C#,,C#,,C#,,заказчиком,Нет,,,5,да
11/15/2010 11:10:17,Java,,Python,JavaScript,Python,"Python, JavaScript, Lua",заказчиком,Нет,,,5,да
11/15/2010 11:10:30,Pascal/Delphi,,C#,"Java, C#, JavaScript",C#,"C#, Ruby, F#",исполнителем,Нет,,,7,да
11/15/2010 11:10:50,Java,,Java,,Java,Java,заказчиком,Нет,,,2,да
11/15/2010 11:10:57,Pascal/Delphi,,Python,,C#,,совместным решением,Нет,,,5,да
11/15/2010 11:10:58,PHP,,Ruby,"C/C++, Objective-C, Ruby, JavaScript",Ruby,"Objective-C, Ruby, JavaScript",зависит от проекта,Нет,,,5,нет
11/15/2010 11:11:05,C/C++,,Java,,(выберите из списка),,исполнителем,Нет,,,3,да
11/15/2010 11:11:16,Pascal/Delphi,,PHP,JavaScript,PHP,,моя организация разрабатывает только на этом языке,Нет,,,4,нет
11/15/2010 11:11:27,Python,,Python,"JavaScript, Shell",Python,"Python, Objective-C, Ruby, JavaScript, Lisp, Lua",зависит от проекта,Нет,,,4,нет
11/15/2010 11:11:30,Pascal/Delphi,,C#,C#,C#,"PHP, C#, Ruby",совместным решением,Нет,,,10 и больше,да
11/15/2010 11:11:34,C/C++,,C#,JavaScript,C#,,совместным решением,Нет,,,2,да
11/15/2010 11:11:38,Pascal/Delphi,,PHP,JavaScript,PHP,,совместным решением,Нет,,,10 и больше,да
11/15/2010 11:11:42,PHP,,Python,"Java, C/C++, PHP, Python, Objective-C, JavaScript, Pascal/Delphi",Python,PHP,заказчиком,Нет,,,6,да
11/15/2010 11:11:46,Perl,,Ruby,"Python, JavaScript, OCaml",другой,"Python, Ruby, JavaScript, Lua, Scala, OCaml",совместным решением,Нет,,,7,да
11/15/2010 11:11:47,C#,,C#,,C#,C#,зависит от проекта,Нет,,,2,да
11/15/2010 11:11:53,C/C++,,PHP,"PHP, Ruby",Python,PHP,заказчиком,Да,,,9,да
11/15/2010 11:11:58,Pascal/Delphi,,Java,"Java, C/C++, C#",Java,,совместным решением,Да,,,10 и больше,нет
11/15/2010 11:12:01,PHP,,PHP,"PHP, JavaScript",Python,"Java, Python",моя организация разрабатывает только на этом языке,Да,,,3,да
11/15/2010 11:12:07,PHP,,Ruby,"Objective-C, JavaScript",Ruby,Ruby,зависит от проекта,Да,,,5,да
11/15/2010 11:12:08,PHP,,PHP,,Python,,моя организация разрабатывает только на этом языке,Да,,,2,да,ыч
11/15/2010 11:12:10,PHP,,Python,"Python, JavaScript",Python,Python,моя организация разрабатывает только на этом языке,Нет,,,4,да,"Интересуюсь многим, но все, что связано с работой или своими проектами покрывает с головой питон."
11/15/2010 11:12:24,Python,,Python,Python,Lisp,"Python, erlang",зависит от проекта,Да,,,8,да
11/15/2010 11:12:24,Pascal/Delphi,,Python,"PHP, Perl, Ruby",Python,"Python, Perl",зависит от проекта,Нет,,,3,нет
11/15/2010 11:12:33,PHP,,PHP,JavaScript,PHP,PHP,совместным решением,Нет,,,3,да
11/15/2010 11:12:34,C#,,C#,"C#, Python, JavaScript, DBase-подобные",Python,"Python, JavaScript, DBase-подобные",исполнителем,Нет,,,4,да
11/15/2010 11:12:36,Java,,Java,JavaScript,Java,"Java, C/C++, C#, Python, Perl, JavaScript",зависит от проекта,Нет,,,5,да
11/15/2010 11:12:42,C/C++,,Python,"PHP, JavaScript, Lisp",Lisp,Lisp,зависит от проекта,Да,,,6,да
11/15/2010 11:12:47,Pascal/Delphi,,Java,"Java, C/C++, C#, Objective-C, Pascal/Delphi",Java,,совместным решением,Нет,,,10 и больше,нет
11/15/2010 11:12:48,Pascal/Delphi,,C#,JavaScript,C#,C#,моя организация разрабатывает только на этом языке,Нет,,,6,да
11/15/2010 11:12:51,Python,,Ruby,"PHP, Python, JavaScript",Ruby,"Python, Objective-C, Ruby, JavaScript",моя организация разрабатывает только на этом языке,Нет,,,4,да
11/15/2010 11:12:52,Pascal/Delphi,,C/C++,"Java, C#, Objective-C",C#,C/C++,исполнителем,Нет,,,3,да
11/15/2010 11:12:54,C#,,C#,PHP,C#,"PHP, C#",совместным решением,Нет,,,3,да
11/15/2010 11:12:55,C/C++,,C#,,C#,"PHP, C#",исполнителем,Нет,,,7,да
11/15/2010 11:12:56,PHP,,PHP,"PHP, JavaScript",Objective-C,"PHP, JavaScript",совместным решением,Нет,,,5,да
11/15/2010 11:12:58,PHP,,Ruby,"Java, Perl",Ruby,,совместным решением,Нет,,,2,нет
11/15/2010 11:13:04,C/C++,,Python,"C/C++, Lisp, Erlang",Python,"C/C++, Python, Erlang",совместным решением,Нет,,,4,да
11/15/2010 11:13:08,другой,,C#,,C#,,зависит от проекта,Нет,,,8,да
11/15/2010 11:13:13,Pascal/Delphi,,Python,,Python,"Java, Python",моя организация разрабатывает только на этом языке,Нет,,,5,да
11/15/2010 11:13:22,Pascal/Delphi,,C#,"Java, JavaScript",Java,,заказчиком,Нет,,,7,да
11/15/2010 11:13:40,Fortran,,C/C++,"Java, C#",C/C++,"Java, C/C++",зависит от проекта,Нет,,,10 и больше,да
11/15/2010 11:13:46,Perl,,Pascal/Delphi,PHP,Python,"Python, Pascal/Delphi",заказчиком,Да,,,10 и больше,да
