Timestamp,FirstLanguage,NowLanguage,AdditionalLanguages,NextLanguage,PetProjectsLanguages,Choosing,e1,e2,e3,e4,e5,InUA,InPrev,Age,ExperienceInProgramming,ExperienceInLanguage
05.07.2011 21:15:39,Basic,Scala,"Java, PHP, JavaScript, Perl, Basic",Scala,"Java, C, C++, JavaScript, Scala",Совместным решением,,,,,,да,да,"[30, 40)",10+,4
12.07.2011 15:04:02,Basic,С#,JavaScript,C#,"C#, JavaScript",Исполнителем,,,,,,да,нет,"[20, 30)",5,5
12.07.2011 15:04:05,Focal,Java,"Java, JavaScript",Scala,,Совместным решением,,,,,,да,нет,"[30, 40)",10+,8
12.07.2011 15:04:09,Basic,Python,"PHP, JavaScript",Python,"Python, JavaScript",Исполнителем,,,,,,да,нет,"[20, 30)",5,3
12.07.2011 15:04:21,PHP,Python,"PHP, Python, JavaScript",Python,Python,Совместным решением,,,,,,да,нет,< 20,3,1
12.07.2011 15:04:38,Pascal/Delphi,Objective-C,"C#, PHP, Python, JavaScript",Objective-C,"Python, Objective-C, JavaScript",Совместным решением,,,,,,да,нет,"[20, 30)",8,2
12.07.2011 15:05:18,Pascal/Delphi,Java,Groovy,Java,"Java, Groovy, Scala",Исполнителем,,,,,,да,да,"[30, 40)",10+,6
12.07.2011 15:05:28,Basic,С#,"C#, JavaScript",C#,"C#, C++, Pascal/Delphi",Совместным решением,,,,,,да,нет,"[20, 30)",9,7
12.07.2011 15:05:34,Perl,Pascal/Delphi,"PHP, Python",Python,,Заказчиком,,,,,,да,да,"[30, 40)",10+,1
12.07.2011 15:05:50,Pascal/Delphi,Python,JavaScript,Lisp,"Python, Lisp",Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",1,8
12.07.2011 15:06:18,C#,С#,C#,C#,,Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",5,5
12.07.2011 15:06:21,C#,С#,JavaScript,C#,C#,Совместным решением,,,,,,да,нет,"[30, 40)",7,7
12.07.2011 15:06:32,Pascal/Delphi,Ruby,"Java, C, C++, Python, Lisp",Ruby,"Java, Python, Ruby",Исполнителем,,,,,,да,нет,"[20, 30)",3,1
12.07.2011 15:06:34,PHP,PHP,"PHP, JavaScript",PHP,PHP,Исполнителем,,,,,,нет,да,"[20, 30)",8,7
12.07.2011 15:07:01,C++,PHP,JavaScript,PHP,,Заказчиком,,,,,,нет,нет,"[20, 30)",6,3
12.07.2011 15:07:15,Pascal/Delphi,JavaScript,Java,Java,JavaScript,Совместным решением,,,,,,да,да,"[30, 40)",7,3
12.07.2011 15:07:37,C++,C++,"C, Python",C++,"C, C++, Python",Исполнителем,,,,,,да,да,"[20, 30)",5,5
12.07.2011 15:08:03,Pascal/Delphi,С#,"C#, JavaScript",C#,"C#, Python",Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",1,6
12.07.2011 15:08:09,Pascal/Delphi,С#,SQL,C#,"C#, PHP",Заказчиком,,,,,,да,да,"[20, 30)",4,4
