Timestamp,FirstLanguage,FirstLanguage1,Q2,MainLanguage,Q2I1,NowLanguage,AdditionalLanguages1,NowLanguages2,NextLanguage,AdditionalLanguages3,PetProjectsLanguages,Choosing,ExperienceInProgramming,ExperienceInLanguage,InUA,Age,InPrev 
09.04.2012 13:48:24,Pascal/Delphi,,,Да,,С#,"PHP, JavaScript",,С#,,С#,Моя организация разрабатывает только на этом языке,<1,<1,Да,"[20,30)",Нет
09.04.2012 13:48:37,Basic,,,Нет,,,,"Java, C++",Java,"Python, Tcl",,Заказчиком,2,<1,Да,"[20,30)",Да
09.04.2012 13:49:46,Pascal/Delphi,,,Да,,Java,"Java, C++, JavaScript",,Java,,"Java, C++, Scala",Заказчиком,5,3,Да,"[20,30)",Да
09.04.2012 13:50:07,Pascal/Delphi,,,Да,,Objective-C,"C++, Python, C",,Objective-C,,"C++, Python, Objective-C, C",Совместным решением,3,2,Да,"[20,30)",Нет
09.04.2012 13:50:13,Pascal/Delphi,,,Да,,Java,C++,,Java,,С#,Исполнителем,6,3,Нет,"[20,30)",Нет
09.04.2012 13:50:21,Basic,,,Да,,PHP,JavaScript,,Python,,"PHP, Python, Ruby, JavaScript, Delphi",Моя организация разрабатывает только на этом языке,3,3,Да,"[30,40)",Нет
09.04.2012 13:50:24,Pascal/Delphi,,,Да,,T-SQL,,,Java,,,Заказчиком,9,8,Да,"[30,40)",Да
09.04.2012 13:50:25,Basic,,,Нет,,,,"С#, C++, JavaScript, ASM",C++,"PHP, Python, Ruby","C++, Python, Ruby",Исполнителем,5,3,Да,"[20,30)",Нет
09.04.2012 13:50:51,Basic,,,Нет,,,,"Java, Lisp",Lisp,JavaScript,Lisp,Совместным решением,<1,5,Да,"[20,30)",Да
09.04.2012 13:50:52,Basic,,,Да,,C++,"Ruby, Objective-C, Haskell",,C++,,C++,Не знаю,5,7,Да,"[20,30)",Нет
09.04.2012 13:50:56,C,,,Да,,JavaScript,"Ruby, JavaScript",,Ruby,,"Ruby, JavaScript",Совместным решением,4,3,Да,"[20,30)",Да
09.04.2012 13:51:01,Pascal/Delphi,,,Да,,PHP,"Python, Ruby",,Ruby,,"PHP, Ruby",Заказчиком,6,5,Да,"[20,30)",Нет
09.04.2012 13:51:04,Basic,,,Да,,Objective-C,"C++, C",,Objective-C,,"C++, Objective-C, C",Совместным решением,4,3,Да,"[20,30)",Да
09.04.2012 13:51:06,Basic,,,Да,,С#,JavaScript,,С#,,"С#, Python, Ruby, JavaScript, C",Совместным решением,5,5,Да,"[20,30)",Да
09.04.2012 13:51:10,Basic,,,Да,,Ruby,"PHP, JavaScript, Shell",,Ruby,,Ruby,Исполнителем,<1,1,Да,"[20,30)",Да
09.04.2012 13:51:16,Pascal/Delphi,,,Да,,С#,"JavaScript, PL/SQL",,С#,,,Заказчиком,5,5,Да,"[20,30)",Нет
09.04.2012 13:51:20,Pascal/Delphi,,,Да,,Ruby,"Objective-C, JavaScript",,Ruby,,"Ruby, Objective-C, JavaScript",Моя организация разрабатывает только на этом языке,6,3,Да,"[20,30)",Да
09.04.2012 13:51:34,Pascal/Delphi,,,Да,,С#,"PHP, C++, Python, Ruby, Erlang",,С#,,"С#, Ruby",Не знаю,6,6,Да,"[20,30)",Нет
09.04.2012 13:51:57,C++,,,Да,,C++,"C++, Objective-C, C, Lisp",,C++,,"C++, Objective-C, Lisp",Заказчиком,3,3,Да,"[20,30)",Да
09.04.2012 13:52:04,C++,,,Да,,C++,"Java, C",,C++,,C,Заказчиком,5,5,Да,"[20,30)",Да
09.04.2012 13:52:07,Basic,,,Да,,С#,"Python, JavaScript, F#",,С#,,"С#, JavaScript, F#",Заказчиком,8,8,Да,"[20,30)",Да
09.04.2012 13:52:25,Java,,,Да,,Java,,,Java,,,Заказчиком,<1,<1,Да,"[20,30)",Нет
09.04.2012 13:52:36,Pascal/Delphi,,,Да,,С#,"Python, JavaScript, PL/SQL",,С#,,"Python, JavaScript",Заказчиком,6,5,Да,"[20,30)",Да
09.04.2012 13:52:41,C,,,Да,,Java,"С#, C++, C",,Java,,"Java, Python",Исполнителем,3,2,Да,"[20,30)",Да
09.04.2012 13:52:47,Pascal/Delphi,,,Нет,,,,"С#, C++",С#,ASM,С#,Заказчиком,2,2,Да,"[20,30)",Нет
09.04.2012 13:53:00,Objective-C,,,Да,,Objective-C,"C++, JavaScript, C",,Objective-C,,,Исполнителем,2,2,Да,"[20,30)",Нет
09.04.2012 13:53:06,PHP,,,Да,,Objective-C,"PHP, JavaScript",,Ruby,,"Java, PHP, Objective-C, JavaScript",Исполнителем,4,2,Да,"[20,30)",Да
09.04.2012 13:53:14,Basic,,,Нет,,,,"Python, JavaScript",Haskell,,"JavaScript, Erlang",Совместным решением,10+,3,Да,"[30,40)",Нет
09.04.2012 13:53:19,Pascal/Delphi,,,Да,,Java,Python,,Python,,"Java, Python",Не знаю,<1,<1,Да,"[20,30)",Нет
09.04.2012 13:53:22,Basic,,,Да,,Java,JavaScript,,Java,,"Java, JavaScript",Не знаю,9,6,Да,"[30,40)",Да
09.04.2012 13:53:23,Java,,,Да,,Python,JavaScript,,Python,,"Python, JavaScript",Исполнителем,6,5,Да,"[20,30)",Да
09.04.2012 13:53:23,Pascal/Delphi,,,Да,,Objective-C,"C++, C",,C++,,"C++, Objective-C, C",Совместным решением,3,3,Да,"[20,30)",Нет
09.04.2012 13:53:24,C++,,,Да,,Objective-C,,,Objective-C,,,Заказчиком,<1,<1,Да,"[20,30)",Нет
09.04.2012 13:53:25,Pascal/Delphi,,,Да,,Java,JavaScript,,Java,,"Java, JavaScript",Моя организация разрабатывает только на этом языке,1,1,Да,"[20,30)",Нет
09.04.2012 13:53:33,Basic,,,Да,,C++,"С#, Python",,С#,,С#,Исполнителем,6,4,Да,"[20,30)",Да
