Timestamp,Q1,MainLanguage,FirstLanguage,NowLanguage,AdditionalLanguages1,NowLanguages2,AdditionalLanguages3,NextLanguage,PetProjectsLanguages,ExperienceInProgramming,ExperienceInLanguage,Age,InUA,InPrev
10.01.2013 9:29:03,,Да,Asm,Scala,JavaScript,,,Scala,"Java, C, Scala",10+,4,"[40,50)",Да,Да
10.01.2013 15:09:44,,Да,Pascal/Delphi,Java,JavaScript,,,Java,Java,8,8,"[20,30)",Да,Да
10.01.2013 15:10:24,,Да,C,C#,JavaScript,,,C#,"C#, JavaScript",3,2,"[20,30)",Да,Нет
10.01.2013 15:10:51,,Да,Pascal/Delphi,Java,"Python, JavaScript, C",,,Clojure,"Java, Clojure",4,4,"[20,30)",Да,Да
10.01.2013 15:11:33,,Да,Pascal/Delphi,C#,JavaScript,,,C#,"Java, C#, JavaScript",4,3,"[20,30)",Да,Нет
10.01.2013 15:11:37,,Да,Pascal/Delphi,C#,T-SQL,,,C#,C#,5,5,"[20,30)",Да,Да
10.01.2013 15:11:40,,Да,Visual Basic,C#,JavaScript,,,C#,,7,7,"[20,30)",Да,Да
10.01.2013 15:12:10,,Да,Basic,Java,"JavaScript, Pascal/Delphi, PL/SQL",,,Java,Pascal/Delphi,5,1,"[30,40)",Да,Нет
10.01.2013 15:12:14,,Да,C,C#,JavaScript,,,C#,C#,2,2,"[20,30)",Да,Да
10.01.2013 15:12:35,,Да,Basic,Java,"C#, JavaScript",,,Java,Java,5,4,"[20,30)",Да,Да
10.01.2013 15:13:05,,Да,Basic,Java,JavaScript,,,Java,"Java, PHP",6,3,"[20,30)",Да,Нет
10.01.2013 15:13:55,,Да,Basic,C#,"PHP, C++, JavaScript, PL/SQL",,,C#,,7,5,"[30,40)",Да,Нет
10.01.2013 15:14:04,,Нет,Pascal/Delphi,,,"Java, Python","Java, PHP, Python, JavaScript",Python,"Python, Go",5,2,"[20,30)",Да,Да
10.01.2013 15:15:05,,Да,Pascal/Delphi,PHP,JavaScript,,,Ruby,"Java, Ruby",2,2,"[20,30)",Да,Да
10.01.2013 15:15:10,,Нет,PHP,,,PHP,JavaScript,PHP,PHP,5,5,"[20,30)",Да,Нет
10.01.2013 15:15:26,,Да,Pascal/Delphi,PL/SQL,C#,,,PL/SQL,C#,7,5,"[30,40)",Да,Да
10.01.2013 15:15:30,,Да,Basic,PHP,JavaScript,,,PHP,"PHP, JavaScript",3,3,"[30,40)",Да,Да
10.01.2013 15:15:50,,Да,Basic,PHP,"PHP, C++, JavaScript, C, PL/SQL, Erlang",,,PHP,"PHP, C++, JavaScript, Erlang",7,5,"[20,30)",Да,Да
10.01.2013 15:15:51,,Да,Pascal/Delphi,C#,"JavaScript, PL/SQL",,,C#,"C#, JavaScript",5,7,"[20,30)",Да,Да
10.01.2013 15:15:54,,Да,C++,C#,JavaScript,,,C#,"C#, JavaScript",3,3,"[20,30)",Да,Да
10.01.2013 15:16:04,,Да,Pascal/Delphi,Java,Pascal/Delphi,,,Java,Java,6,3,"[20,30)",Да,Да
10.01.2013 15:16:15,,Да,Basic,Java,Ruby,,,Java,Java,5,5,"[20,30)",Да,Да
10.01.2013 15:16:27,,Да,Pascal/Delphi,Pascal/Delphi,"Python, JavaScript, PL/SQL",,,C#,"Python, Pascal/Delphi",10+,9,"[30,40)",Да,Да
10.01.2013 15:16:29,,Нет,Pascal/Delphi,,,"Ruby, JavaScript",,Ruby,,4,<1,"[20,30)",Да,Да
10.01.2013 15:16:37,,Да,JavaScript,Java,"Java, Ruby, JavaScript, Scala, Groovy",,,Scala,"Java, JavaScript, Scala, Groovy",7,7,"[20,30)",Да,Да
10.01.2013 15:16:46,,Да,JavaScript,JavaScript,Python,,,JavaScript,"Python, JavaScript",5,5,"[20,30)",Да,Нет
10.01.2013 15:17:00,,Да,Pascal/Delphi,PHP,"Python, Ruby",,,Ruby,Ruby,6,6,"[20,30)",Да,Нет
10.01.2013 15:17:14,,Да,Python,Java,Python,,,Python,Python,3,<1,"[20,30)",Да,Да
10.01.2013 15:17:15,,Нет,Pascal/Delphi,,,"PHP, JavaScript, Pascal/Delphi",,C#,"PHP, JavaScript",2,1,"[20,30)",Да,Да
10.01.2013 15:17:19,,Да,Pascal/Delphi,C#,"C#, Objective-C",,,Objective-C,"C#, Objective-C",5,4,"[20,30)",Да,Нет
10.01.2013 15:17:25,,Да,Basic,C#,"C#, JavaScript",,,C#,C#,8,6,"[20,30)",Да,Да
10.01.2013 15:17:29,,Да,Pascal/Delphi,JavaScript,JavaScript,,,JavaScript,JavaScript,2,1,"[20,30)",Да,Нет
10.01.2013 15:17:33,,Да,Basic,JavaScript,"PHP, Ruby",,,Ruby,JavaScript,4,4,"[20,30)",Да,Да
10.01.2013 15:17:36,,Да,Basic,Python,"C, PL/SQL, Erlang",,,Python,,8,7,"[20,30)",Да,Да
10.01.2013 15:17:37,,Да,Pascal/Delphi,Objective-C,"JavaScript, C",,,Objective-C,PHP,1,1,"[20,30)",Да,Да
10.01.2013 15:17:38,,Да,Pascal/Delphi,Java,JavaScript,,,Java,,8,6,"[20,30)",Да,Да
10.01.2013 15:17:48,,Да,Pascal/Delphi,Apex  (Salesforce),JavaScript,,,Apex,"JavaScript, Apex",5,1,"[20,30)",Да,Да
10.01.2013 15:17:59,,Нет,Pascal/Delphi,,,"Ruby, JavaScript",,Ruby,Ruby,1,<1,"[20,30)",Да,Нет
10.01.2013 15:18:01,,Да,Pascal/Delphi,JavaScript,"Python, Go, Clojure",,,Clojure,"Python, JavaScript, Objective-C, Lisp, Go, Clojure",6,5,"[20,30)",Да,Да
10.01.2013 15:18:10,,Да,Basic,Python,JavaScript,,,Python,"Python, JavaScript, Objective-C, Erlang, Lisp, Clojure",3,2,"[20,30)",Нет,Да
10.01.2013 15:18:14,,Да,C#,C#,"C#, JavaScript",,,C#,C#,<1,2,"[20,30)",Да,Нет
10.01.2013 15:18:18,,Да,Pascal/Delphi,Java,JavaScript,,,Java,"Java, JavaScript",6,5,"[20,30)",Да,Нет
10.01.2013 15:18:19,,Да,Basic,JavaScript,"Python, Ruby",,,JavaScript,JavaScript,5,2,"[20,30)",Да,Да
10.01.2013 15:18:22,,Да,Pascal/Delphi,JavaScript,"C#, PHP, Objective-C",,,JavaScript,"C#, Python, JavaScript",4,1,"[20,30)",Да,Да
10.01.2013 15:18:22,,Да,C++,Objective-C,"Ruby, C, Perl",,,Objective-C,"Ruby, Objective-C",2,2,"[20,30)",Да,Нет
10.01.2013 15:18:23,,Да,Pascal/Delphi,x++,"C#, C++, C, D",,,D,"C#, D",1,1,"[20,30)",Да,Да
10.01.2013 15:18:26,,Да,Basic,Objective-C,"C++, C",,,Objective-C,Objective-C,10+,9,"[30,40)",Да,Нет
10.01.2013 15:18:33,,Да,Basic,C++,"Python, Haskell",,,Haskell,C++,10+,8,"[20,30)",Да,Да
10.01.2013 15:18:34,,Да,PHP,PHP,"Java, PHP, JavaScript, PL/SQL",,,PHP,"PHP, JavaScript",1,1,"[30,40)",Да,Нет
10.01.2013 15:18:37,,Нет,DBase-подобный ,,,"C#, FoxPro",Pascal/Delphi,C#,"C#, FoxPro",10+,10+,"[30,40)",Да,Да
10.01.2013 15:18:41,,Да,Basic,Ruby,"PHP, Python, Ruby",,,Ruby,PHP,5,2,"[20,30)",Да,Нет
10.01.2013 15:18:44,,Да,Pascal/Delphi,Python,"Python, Ruby",,,Scala,"Python, Ruby",5,2,"[20,30)",Да,Да
10.01.2013 15:18:44,,Да,Pascal/Delphi,JavaScript,Java,,,Java,JavaScript,10+,2,"[30,40)",Да,Да
10.01.2013 15:18:52,,Да,Basic,JavaScript,"Python, Go",,,JavaScript,"Python, JavaScript",8,3,"[20,30)",Да,Да
10.01.2013 15:19:00,,Да,Basic,Python,C,,,Scala,,9,4,"[30,40)",Да,Нет
10.01.2013 15:19:05,,Да,Pascal/Delphi,PHP,JavaScript,,,PHP,"PHP, JavaScript",8,8,"[20,30)",Да,Да
10.01.2013 15:19:08,,Да,Pascal/Delphi,Python,JavaScript,,,Python,Python,5,3,"[20,30)",Да,Да
10.01.2013 15:19:08,,Да,C,C++,Python,,,C++,"C++, Python",10+,10+,"[30,40)",Да,Да
10.01.2013 15:19:11,,Да,Basic,Objective-C,"C#, Ruby",,,Objective-C,Objective-C,6,1,"[20,30)",Да,Нет
10.01.2013 15:19:20,,Нет,PHP,,,PHP,JavaScript,Java,"PHP, JavaScript",4,4,"[30,40)",Да,Нет
10.01.2013 15:19:36,,Да,C,Objective-C,"Python, C",,,Objective-C,,3,2,"[20,30)",Да,Да
10.01.2013 15:19:36,,Да,Pascal/Delphi,PHP,JavaScript,,,PHP,"PHP, C++",2,2,"[20,30)",Да,Да
10.01.2013 15:19:54,,Да,Pascal/Delphi,C#,"C++, JavaScript, Scala, Haskell, F#",,,F#,C#,10+,10+,"[30,40)",Да,Да
10.01.2013 15:19:55,,Нет,Pascal/Delphi,,,"C#, JavaScript",PL/SQL,C#,"C#, JavaScript, Haskell",8,8,"[20,30)",Да,Да
10.01.2013 15:19:55,,Да,Pascal/Delphi,C,"Java, C++, Python",,,C,,<1,<1,"[20,30)",Да,Нет
10.01.2013 15:19:58,,Да,Pascal/Delphi,Java,JavaScript,,,Java,,<1,<1,"[20,30)",Да,Нет
10.01.2013 15:19:59,,Да,Basic,PHP,"C++, Python",,,PHP,,5,4,"[20,30)",Да,Да
10.01.2013 15:20:20,,Да,Pascal/Delphi,PHP,JavaScript,,,PHP,"Java, PHP, JavaScript",3,3,"[20,30)",Да,Нет
10.01.2013 15:20:28,,Да,Basic,Java,"Python, PL/SQL",,,Java,Python,3,3,"[20,30)",Да,Да
10.01.2013 15:20:33,,Да,Basic,C++,C,,,C++,C++,5,4,"[20,30)",Да,Нет
10.01.2013 15:20:53,,Да,Pascal/Delphi,C#,JavaScript,,,C#,C#,<1,<1,"[20,30)",Да,Да
10.01.2013 15:21:04,,Да,Pascal/Delphi,Java,"C#, JavaScript",,,Java,Java,6,5,"[20,30)",Да,Да
10.01.2013 15:21:08,,Да,Basic,PHP,"Java, PHP, Python, Ruby, Objective-C, Perl",,,Ruby,"Java, PHP, Ruby",10+,10+,"[20,30)",Да,Да
10.01.2013 15:21:11,,Да,Basic,Java,C++,,,Java,"Java, C++",1,1,"[20,30)",Да,Нет
10.01.2013 15:21:14,,Да,Basic,Java,"JavaScript, Scala",,,Scala,"Java, C++",<1,<1,"[20,30)",Да,Нет
10.01.2013 15:21:17,,Да,C#,C#,"C#, JavaScript",,,C#,C#,10+,10+,"[30,40)",Да,Нет
10.01.2013 15:21:20,,Да,Pascal/Delphi,Java,"JavaScript, PL/SQL",,,Java,Java,5,3,"[20,30)",Да,Нет
10.01.2013 15:21:21,,Да,Pascal/Delphi,Ruby,"Java, PHP, C++, Python, Ruby, JavaScript, Objective-C, C, PL/SQL, Scala, Erlang",,,Ruby,"Java, PHP, Ruby, Objective-C, C, Groovy",6,3,"[20,30)",Да,Да
10.01.2013 15:21:46,,Да,C,Python,JavaScript,,,Python,,<1,<1,"[20,30)",Да,Нет
10.01.2013 15:21:49,,Да,Pascal/Delphi,Java,"Java, JavaScript, PL/SQL, Perl",,,Java,"Java, C#, PL/SQL",6,6,"[20,30)",Да,Да
