Timestamp,FirstLanguage,MainLanguage,NowLanguage,AdditionalLanguages1,NowLanguages2,AdditionalLanguages3,NextLanguage,PetProjectsLanguages,ExperienceInProgramming,ExperienceInLanguage,Age,InUA,InPrev
1/8/2014 5:00:25,Java,Да,C,"Python, Shell",,,Python,"Python, C",7,7,"[20,30)",Да,Да
1/8/2014 5:00:37,Pascal/Delphi,Да,Objective-C,"Java, JavaScript, Shell",,,Objective-C,Objective-C,3,3,"[20,30)",Да,Да
1/8/2014 5:00:40,PHP,Да,PHP,"PHP, JavaScript",,,PHP,PHP,2,2,"[20,30)",Да,Нет
1/8/2014 5:01:31,Basic,Нет,,,"JavaScript, Ruby","PHP, Erlang",Python,Python,10+,4,"[20,30)",Да,Да
1/8/2014 5:01:38,1C,Нет,,,"C#, 1C, T-SQL",,Ruby,"C#, Ruby",5,2,"[20,30)",Да,Нет
1/8/2014 5:01:38,Pascal/Delphi,Да,Ruby,"JavaScript, CoffeeScript",,,Ruby,,7,5,"[20,30)",Да,Да
1/8/2014 5:01:38,Pascal/Delphi,Да,JavaScript,,,,JavaScript,"Java, JavaScript",5,3,"[20,30)",Да,Да
1/8/2014 5:01:46,C,Нет,,,"C++, JavaScript",,C++,C++,<1,<1,"[20,30)",Да,Нет
1/8/2014 5:01:50,Pascal/Delphi,Да,PHP,"JavaScript, PL/SQL",,,Python,PHP,5,5,"[20,30)",Нет,Нет
1/8/2014 5:01:53,C,Да,C++,"C#, C, T-SQL",,,C++,C++,8,6,"[30,40)",Да,Да
1/8/2014 5:02:03,Basic,Да,Objective-C,"C++, JavaScript, Shell",,,Python,Ruby,9,4,"[30,40)",Да,Да
1/8/2014 5:02:16,C++,Да,Java,JavaScript,,,Java,Java,6,5,"[20,30)",Да,Нет
1/8/2014 5:02:18,C++,Да,C++,"Java, Python",,,C++,"Java, C++, Python",5,5,"[30,40)",Да,Нет
1/8/2014 5:02:32,Pascal/Delphi,Да,PHP,"PHP, JavaScript, Shell",,,Erlang,,10+,10+,"[30,40)",Нет,Нет
1/8/2014 5:03:01,Basic,Да,Python,JavaScript,,,Python,"Python, JavaScript",5,2,"[20,30)",Да,Да
1/8/2014 5:03:17,Basic,Да,Scala,"Python, Erlang, CoffeeScript, Lisp, Clojure, Haskell",,,Scala,"Java, Scala, Lisp, Haskell",5,3,"[20,30)",Нет,Да
1/8/2014 5:03:27,Pascal/Delphi,Да,Objective-C,Shell,,,Objective-C,"C#, C++, Objective-C",2,2,"[20,30)",Да,Да
1/8/2014 5:03:48,Pascal/Delphi,Да,Python,"JavaScript, Shell",,,Python,"Python, JavaScript",2,2,"[20,30)",Да,Да
1/8/2014 5:03:56,PHP,Да,PHP,JavaScript,,,PHP,PHP,1,1,"[30,40)",Да,Нет
1/8/2014 5:04:05,Basic,Да,C#,T-SQL,,,C#,"C#, T-SQL",10+,9,"[30,40)",Да,Нет
1/8/2014 5:04:17,Pascal/Delphi,Нет,,,"JavaScript, Erlang",,Lisp,"Python, JavaScript, Erlang, Lisp",3,2,"[30,40)",Да,Да
1/8/2014 5:04:25,Basic,Да,PHP,"JavaScript, PL/SQL",,,PHP,"PHP, JavaScript",7,5,"[20,30)",Да,Нет
1/8/2014 5:04:36,PHP,Да,PHP,Python,,,Python,,3,3,"[20,30)",Да,Нет
1/8/2014 5:04:46,PHP,Нет,,,"Java, PHP, JavaScript, Ruby","Perl, Groovy, CoffeeScript, Shell",PHP,JavaScript,3,3,"[20,30)",Да,Да
