Timestamp,FirstLanguage,MainLanguage,NowLanguage,AdditionalLanguages1,NowLanguages2,AdditonalLanguages3,NextLanguage,PetProjectsLanguages,ExperienceInProgramming,ExperienceInLanguage,Birthday,InUA,InPrev
1/12/2015 1:40:15,Basic,Да,JavaScript,PHP,,,JavaScript,"PHP, JavaScript",<1,<1,,Да,Нет
1/12/2015 13:17:22,PHP,Да,Ruby,JavaScript,,,Ruby,"JavaScript, Ruby",2,1,8/30/1993,Да,Нет
1/12/2015 13:17:25,Pascal/Delphi,Да,PHP,JavaScript,,,PHP,"PHP, JavaScript, Python",2,2,9/20/1991,Да,Да
1/12/2015 13:17:29,Basic,Да,Java,,,,Java,Java,5,4,6/1/1988,Да,Не помню
1/12/2015 13:18:18,Basic,Да,Python,JavaScript,,,Python,"JavaScript, Python",4,2,12/20/1991,Да,Нет
1/12/2015 13:18:25,Basic,Да,C++,"Python, C, Perl",,,Java,C++,10+,10+,1/1/1980,Да,Не помню
1/12/2015 13:18:43,C#,Да,C#,JavaScript,,,C#,C#,4,5,3/1/1990,Да,Да
1/12/2015 13:18:57,Delphi,Да,C++,"Java, C",,,,"Java, C++",3,3,5/25/1988,Да,Не помню
1/12/2015 13:19:04,C#,Да,C#,C++,,,C#,"C#, C++, C",<1,2,8/9/1991,Да,Нет
1/12/2015 13:19:29,Basic,Да,PHP,"PHP, JavaScript",,,PHP,"PHP, JavaScript",9,8,4/13/1984,Да,Да
1/12/2015 13:19:34,Basic,Да,Ruby,JavaScript,,,Scala,"JavaScript, Ruby, Scala",2,2,11/16/1993,Да,Не помню
1/12/2015 13:20:01,C++,Да,C#,"JavaScript, T-SQL",,,C#,C#,3,3,,Да,Не помню
1/12/2015 13:20:55,Basic,Да,Python,"Java, JavaScript",,,Python,"Java, Python",2,2,7/15/1989,Да,Нет
1/12/2015 13:21:09,Asm,Нет,,,"Java, C, Scala",,Scala,"Java, C, Scala, R",10+,10+,7/17/1972,Да,Да
1/12/2015 13:21:16,Basic,Да,C#,JavaScript,,,C#,C#,7,7,2/16/1980,Да,Не помню
1/12/2015 13:21:52,PHP,Да,JavaScript,Java,,,JavaScript,JavaScript,1,1,12/15/1993,Да,Да
1/12/2015 13:21:54,C++,Да,Java,"JavaScript, PL/SQL, T-SQL",,,Java,,2,2,4/8/1987,Да,Нет
1/12/2015 13:22:29,C,Да,Python,JavaScript,,,Python,,3,3,5/23/1990,Да,Да
1/12/2015 13:23:03,Basic,Да,C#,JavaScript,,,C#,"C#, JavaScript",2,2,10/4/1994,Да,Нет
1/12/2015 13:23:12,Pascal/Delphi,Да,C#,,,,C#,C#,1,1,4/22/1992,Да,Нет
1/12/2015 13:23:43,C,Да,PHP,"JavaScript, Python, Ruby, PL/SQL",,,Python,,7,5,4/16/1985,Да,Нет
1/12/2015 13:23:44,Pascal/Delphi,Нет,,,"PHP, JavaScript",Ruby,JavaScript,JavaScript,5,5,11/6/1989,Нет,Да
1/12/2015 13:23:55,Pascal/Delphi,Да,Java,C#,,,C++,"Java, C++",<1,2,3/4/1993,Да,Нет
1/12/2015 13:24:24,Pascal/Delphi,Да,Java,"JavaScript, PL/SQL",,,Java,,5,5,8/24/1989,Нет,Нет
1/12/2015 13:24:33,PHP,Да,Java,Python,,,Java,Java,1,1,3/3/1988,Да,Нет
1/12/2015 13:24:37,PHP,Нет,,,JavaScript,Pascal/Delphi,JavaScript,,3,<1,12/3/1983,Да,Нет
1/12/2015 13:24:41,Basic,Да,Java,,,,Java,Java,2,2,7/15/1984,Да,Не помню
1/12/2015 13:25:06,Pascal/Delphi,Да,JavaScript,,,,JavaScript,JavaScript,<1,1,8/1/1994,Да,Нет
1/12/2015 13:25:30,C#,Да,C#,C#,,,C#,C#,3,3,3/16/1990,Да,Нет
1/12/2015 13:25:31,C++,Нет,,,Objective-C,,C#,,<1,<1,8/14/1996,Да,Нет
1/12/2015 13:25:48,Pascal/Delphi,Да,Python,"Clojure, Hy",,,Clojure,"Python, Clojure, ML",7,5,6/4/1985,Да,Не помню
1/12/2015 13:25:55,Pascal/Delphi,Да,Java,PL/SQL,,,Java,"Java, C, Pascal/Delphi",<1,<1,10/22/1995,Да,Нет
1/12/2015 13:25:52,PHP,Да,JavaScript,,,,JavaScript,JavaScript,3,2,1/1/1990,Да,Не помню
1/12/2015 13:26:01,C,Да,Java,Scala,,,Rust,"Java, Scala",6,3,8/12/1988,Нет,Нет
1/12/2015 13:26:33,PHP,Да,PHP,"Java, PHP, JavaScript",,,,"Java, PHP, JavaScript",<1,<1,4/7/1993,Да,Нет
1/12/2015 13:26:34,C#,Да,C#,,,,,,<1,<1,3/31/1991,Да,Нет
1/12/2015 13:26:37,JavaScript,Да,JavaScript,PHP,,,JavaScript,PHP,3,3,,Да,Нет
1/12/2015 13:26:41,C++,Да,C#,"C++, JavaScript, T-SQL, Groovy",,,C#,"C#, C++",8,6,9/4/1986,Да,Не помню
1/12/2015 13:27:12,Fortran,Да,JavaScript,Java,,,PHP,,<1,<1,7/5/1991,Да,Нет
1/12/2015 13:27:31,Shell,Да,Shell,"PL/SQL, Perl",,,Shell,Java,<1,4,7/12/1990,Да,Нет
1/12/2015 13:27:49,Pascal/Delphi,Да,Ruby,"JavaScript, Ruby, PL/SQL, CoffeScript",,,Ruby,"Ruby, PL/SQL, CoffeScript",10+,5,,Да,Да
1/12/2015 13:27:53,Pascal/Delphi,Да,Java,"Java, JavaScript, Python, Ruby, Scala",,,Scala,"Java, Scala",5,5,,Да,Да
1/12/2015 13:27:57,Java,Да,Java,"Java, Groovy",,,Java,"Java, Python, Go",4,3,9/8/1990,Да,Нет
1/12/2015 13:27:58,PHP,Да,Ruby,"PHP, JavaScript, CoffeScript",,,Ruby,"Ruby, CoffeScript",2,<1,2/4/1989,Да,Не помню
1/12/2015 13:28:18,Basic,Да,PHP,JavaScript,,,PHP,"PHP, JavaScript, ActionScript",2,2,9/4/1988,Да,Нет
1/12/2015 13:28:19,Basic,Да,C#,"Java, C#, JavaScript, Python, T-SQL",,,C#,"Java, C#",1,1,1/25/1994,Да,Да
1/12/2015 13:28:20,Asm,Да,C++,C#,,,C++,"Java, C#, C++, C",10+,10+,1/12/2015,Да,Да
1/12/2015 13:28:21,JavaScript,Да,JavaScript,C++,,,Python,JavaScript,<1,<1,,Да,Нет
1/12/2015 13:28:22,Basic,Да,Objective-C,"Python, Swift",,,Swift,"Python, Objective-C, Swift",10+,4,10/20/1979,Да,Не помню
1/12/2015 13:28:26,C++,Да,PHP,"JavaScript, CoffeScript, R",,,Java,PHP,4,4,12/27/1995,Да,Нет
1/12/2015 13:28:37,Basic,Да,PHP,JavaScript,,,PHP,"PHP, JavaScript",7,7,8/13/1986,Да,Да
1/12/2015 13:28:43,Pascal/Delphi,Да,Java,"C#, JavaScript, PL/SQL",,,Java,"Java, C#",2,1,8/4/1995,Да,Нет
1/12/2015 13:28:54,C++,Да,Java,C++,,,Java,,2,2,2/25/1993,Да,Да
1/12/2015 13:28:57,Pascal/Delphi,Да,C#,C++,,,C#,Ruby,3,2,7/1/1994,Да,Нет
1/12/2015 13:29:03,PHP,Да,Ruby,"JavaScript, CoffeScript",,,Ruby,"PHP, JavaScript, Ruby",6,3,6/16/1987,Да,Нет
1/12/2015 13:29:13,PHP,Да,Java,PHP,,,Java,"Java, PHP",8,4,9/27/1985,Да,Да
1/12/2015 13:29:29,JavaScript,Да,JavaScript,"Scala, CoffeScript",,,Coffescript,"JavaScript, Scala, CoffeScript",1,1,12/15/1988,Да,Нет
1/12/2015 13:29:33,JavaScript,Да,JavaScript,,,,JavaScript,JavaScript,3,2,6/26/1990,Да,Не помню
1/12/2015 13:29:36,C,Да,PHP,JavaScript,,,PHP,"PHP, JavaScript",5,5,2/21/1984,Да,Не помню
