Timestamp,FirstLanguage,MainLanguage,NowLanguage,AdditionalLanguages1,NowLanguages2,AdditionalLanguages3,NextLanguage,PetProjectsLanguages,ExperienceInProgramming,ExperienceInLanguage,AgeYears,InUA,InPrev,,,
1/5/2016 10:13:52,Python,Да,Java,Python,,,Python,,2,<1,25,Да,Нет,,,
1/5/2016 10:13:59,PHP,Да,PHP,"PHP, JavaScript",,,PHP,"PHP, JavaScript",1,2,26,Да,Нет,,,
1/5/2016 10:14:04,Pascal/Delphi,Да,Java,JavaScript,,,Java,"Java, JavaScript",2,2,27,Да,Не помню,,,
1/5/2016 10:14:15,Pascal/Delphi,Да,Java,"C#, PHP, JavaScript, T-SQL",,,Java,Java,7,5,31,Нет,Да,,,
1/5/2016 10:14:34,Pascal/Delphi,Да,C#,JavaScript,,,C#,,2,1,,Да,Нет,,,
1/5/2016 10:15:11,Pascal/Delphi,Да,Python,JavaScript,,,Python,Python,2,2,21,Да,Не помню,,,
1/5/2016 10:15:26,Pascal/Delphi,Да,Swift,"JavaScript, C++, Objective-C, C",,,Swift,,4,<1,,Да,Да,,,
1/5/2016 10:15:31,PHP,Да,Ruby,"JavaScript, CoffeeScript",,,Ruby,"JavaScript, Ruby, CoffeeScript",2,<1,19,Да,Нет,,,
1/5/2016 10:15:35,JavaScript,Да,JavaScript,,,,JavaScript,"PHP, JavaScript",2,2,29,Да,Нет,,,
1/5/2016 10:15:35,Pascal/Delphi,Да,PHP,"JavaScript, Ruby",,,Java,"PHP, JavaScript",5,5,30,Да,Да,,,
1/5/2016 10:15:41,Pascal/Delphi,Да,Python,,,,Java,Python,1,1,27,Да,Нет,,,
1/5/2016 10:15:54,Java,Да,Java,"JavaScript, Ruby, PL-SQL",,,Java,"Java, Scala",3,3,24,Да,Не помню,,,
1/5/2016 10:16:37,C++,Да,C++,,,,C++,,<1,<1,28,Да,Нет,,,
1/5/2016 10:16:57,C#,Да,C#,C#,,,C#,C#,,,,,,,,
1/5/2016 10:16:57,Pascal/Delphi,Да,Ruby,JavaScript,,,Ruby,,8,6,,Да,Не помню,,,
1/5/2016 10:17:10,Pascal/Delphi,Нет,,,C#,JavaScript,C#,C++,,,,Да,Не помню,,,
1/5/2016 10:17:15,C,Да,C#,JavaScript,,,C#,C#,3,3,22,Да,Да,,,
1/5/2016 10:17:19,C++,Да,JavaScript,,,,JavaScript,,,,,Да,Да,,,
1/5/2016 10:17:28,Pascal/Delphi,Да,Java,,,,Java,C#,<1,<1,27,Да,Нет,,,
1/5/2016 10:17:34,C++,Да,Java,"Java, JavaScript",,,Scala,"Java, PHP, JavaScript",3,2,21,Да,Нет,,,
1/5/2016 10:17:38,Basic,Да,PHP,JavaScript,,,PHP,PHP,6,4,28,Да,Да,,,
1/5/2016 10:17:41,Basic,Да,Java,PL-SQL,,,Java,Java,<1,<1,27,Да,Нет,,,
1/5/2016 10:17:59,C#,Да,R,Python,,,R,"Python, R, Clojure",3,2,40,Да,Не помню,,,
1/5/2016 10:18:00,Basic,Да,Java,JavaScript,,,Java,"Java, C#",1,1,22,Да,Нет,,,
1/5/2016 10:18:02,Python,Да,Python,Java,,,Java,Python,3,2,32,Нет,Не помню,,,
1/5/2016 10:18:36,Pascal/Delphi,Нет,,,"C#, C++",JavaScript,C#,"C#, JavaScript",1,<1,21,Да,Нет,,,
1/5/2016 10:18:15,PHP,Нет,,,PHP,JavaScript,PHP,"PHP, JavaScript",3,3,30,Да,Нет,,,
1/5/2016 10:18:18,Basic,Да,Java,"JavaScript, PL-SQL",,,Java,"Java, JavaScript, PL-SQL",4,3,25,Да,Не помню,,,
1/5/2016 10:18:19,Basic,Да,JavaScript,C#,,,JavaScript,JavaScript,2,<1,24,Да,Не помню,,,
1/5/2016 10:18:34,PHP,Да,PHP,"PHP, JavaScript",,,Java,"PHP, JavaScript",<1,<1,,Да,Нет,,,
1/5/2016 10:18:36,Pascal/Delphi,Да,Python,"JavaScript, C++, C",,,Python,"Python, C++",8,5,28,Да,Да,,,
1/5/2016 10:18:37,Basic,Да,Python,JavaScript,,,Scala,Python,<1,<1,19,Да,Нет,,,
1/5/2016 10:18:51,C#,Да,C#,"JavaScript, T-SQL",,,C#,,,,27,Да,Не помню,,,
1/5/2016 10:18:52,Basic,Да,Java,Python,,,Java,,4,4,28,Да,Нет,,,
1/5/2016 10:18:54,Pascal/Delphi,Да,Java,"JavaScript, T-SQL, Kotlin",,,Kotlin,"Swift, Kotlin",9,6,31,Нет,Да,,,
1/5/2016 10:19:03,C#,Нет,,,"C#, JavaScript",T-SQL,C#,C#,3,3,26,Да,Да,,,
1/5/2016 10:19:10,Pascal/Delphi,Нет,,,"Java, C#, 1C","Java, C#, JavaScript, Python, 1C, T-SQL",C#,"Java, C#, 1C",8,6,30,Да,Да,,,
1/5/2016 10:19:14,Basic,Да,Java,"JavaScript, Objective-C, Swift",,,Java,JavaScript,5,3,28,Да,Да,,,
1/5/2016 10:19:27,C,Да,Java,"C#, Python, C++",,,Java,"Java, C#, Python, C++",1,<1,19,Да,Нет,,,
1/5/2016 10:19:27,Pascal/Delphi,Нет,,,JavaScript,Java,JavaScript,,<1,<1,22,Да,Не помню,,,
1/5/2016 10:19:31,Pascal/Delphi,Да,Pascal/Delphi,"PHP, JavaScript",,,PHP,PHP,10+,6,35,Да,Нет,,,
1/5/2016 10:19:48,Pascal/Delphi,Да,JavaScript,C#,,,JavaScript,"JavaScript, Ruby, Go",<1,<1,21,Да,Нет,,,
1/5/2016 10:19:50,Pascal/Delphi,Да,C#,,,,C#,,1,1,33,Да,Да,,,
1/5/2016 10:19:58,Pascal/Delphi,Да,PHP,"JavaScript, Python, Go",,,Python,"JavaScript, Python",7,7,27,Да,Да,,,
1/5/2016 10:19:59,C++,Да,C#,"C++, Basic",,,C#,C#,8,6,,Да,Не помню,,,
1/5/2016 10:19:59,Pascal/Delphi,Да,Java,C++,,,Java,,<1,<1,19,Да,Не помню,,,
1/5/2016 10:20:00,Java,Да,Java,JavaScript,,,Java,Java,1,<1,20,Да,Не помню,,,
1/5/2016 10:20:02,C#,Да,C#,"JavaScript, T-SQL",,,JavaScript,"C#, JavaScript, C++, PL-SQL, T-SQL",7,5,28,Да,Да,,,
1/5/2016 10:20:06,Java,Да,JavaScript,Java,,,JavaScript,Java,3,2,28,Нет,Нет,,,
1/5/2016 10:20:07,C++,Да,C++,C++,,,C++,C++,2,1,20,Да,Нет,,,
1/5/2016 10:20:14,Pascal/Delphi,Да,Python,"Java, Python, Erlang",,,Python,"Python, Erlang",10+,3,,Нет,Да,,,
1/5/2016 10:20:18,Pascal/Delphi,Да,Ruby,JavaScript,,,Ruby,"JavaScript, Ruby, Elixir",3,3,20,Да,Да,,,
1/5/2016 10:20:21,JavaScript,Да,Python,JavaScript,,,Perl,R,<1,<1,,,Нет,,,
1/5/2016 10:20:33,Java,Да,Java,JavaScript,,,Java,,<1,<1,21,Да,Нет,,,
1/5/2016 10:20:35,C,Да,Java,"JavaScript, ActionScript, T-SQL, CoffeeScript",,,go,"Java, ActionScript, T-SQL",7,4,28,Нет,Да,,,
1/5/2016 10:20:37,Pascal/Delphi,Да,Java,"JavaScript, Python",,,Java,"Java, JavaScript, Python",5,2,28,Да,Да,,,
1/5/2016 10:20:40,Pascal/Delphi,Да,Java,JavaScript,,,Java,Java,<1,<1,23,Да,Нет,,,
1/5/2016 10:20:41,PHP,Да,Java,"JavaScript, Python",,,Java,"Java, JavaScript, Python",1,1,21,Да,Нет,,,
1/5/2016 10:20:49,C#,Да,C#,JavaScript,,,C#,C#,<1,<1,27,Да,Нет,,,
1/5/2016 10:20:58,Pascal/Delphi,Да,C#,Python,,,Python,Python,2,1,23,Да,Да,,,
1/5/2016 10:21:02,Objective-C,Да,Objective-C,Swift,,,Swift,,5,3,26,Да,Не помню,,,
1/5/2016 10:21:05,Pascal/Delphi,Да,JavaScript,,,,JavaScript,JavaScript,<1,<1,25,Да,Нет,,,
1/5/2016 10:21:06,C,Да,JavaScript,"Java, PHP, R",,,JavaScript,"PHP, JavaScript",2,2,,Да,Да,,,
