Timestamp,Лучший сайт для поиска работы?,Лучшее профильное мероприятие года в Украине?,Самое значимое событие года?,Лучший проект в сфере ИТ-образования?,Как вы оцениваете этот год лично для себя?,Какие у вас ожидания от 2016?,Кто вы?
,,,,,,,
11/22/2015 20:34:55,,IT Fest (Киев),Девальвация гривны,,Один из лучших в моей жизни,"Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:05:27,Джинн,Не слежу за мероприятиями,Прекращение активных боевых действий на Донбассе,JavaRush,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:06:11,,,"Личное (новая работа, повышение, свадьба, ...)",,Один из лучших в моей жизни,Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:07:20,Rabota.ua,IT Fest (Киев),Обыски в офисах ИТ-компаний,GoIT,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 10:08:16,LinkedIn,Не слежу за мероприятиями,Запуск 3G в Украине,GoIT,Один из лучших в моей жизни,Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 10:09:05,DOU.ua,JavaDay Kyiv,"Личное (новая работа, повышение, свадьба, ...)",IT Labs,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:09:19,DOU.ua,Lviv IT Arena,Запуск 3G в Украине,Prometheus,"Трудный год, но в целом все хорошо","Все плохо, пора валить",
11/23/2015 10:10:53,LinkedIn,Не слежу за мероприятиями,Девальвация гривны,BrainAcademy / Coding for Future,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Синьор (5-10 лет опыта)
11/23/2015 10:11:10,DOU.ua,Lviv IT Arena,Прекращение активных боевых действий на Донбассе,CyberBionic Systematics,"Трудный год, но в целом все хорошо",Все будет хорошо,Мега-синьор (10+ лет опыта)
11/23/2015 10:11:26,LinkedIn,Не слежу за мероприятиями,Девальвация гривны,Компьютерная Академия ШАГ,"Неудачный год, все плохо","Все плохо, пора валить",Миддл (2-5 лет опыта)
11/23/2015 10:11:31,StackOverflow,PM-Карпаты,Прекращение активных боевых действий на Донбассе,Lviv IT school (LITS),"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:11:34,LinkedIn,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Мега-синьор (10+ лет опыта)
11/23/2015 10:11:52,Work.ua,AI Ukraine (Харьков),"Личное (новая работа, повышение, свадьба, ...)",Prometheus,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 10:12:37,Джинн,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",GoIT,"Трудный год, но в целом все хорошо",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 10:13:06,DOU.ua,UA Web Challenge,Выход Fallout 4,Bionic University,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:13:09,LinkedIn,Не слежу за мероприятиями,Прекращение активных боевых действий на Донбассе,Bionic University,"Нормальный год, все как обычно","Все плохо, пора валить",Миддл (2-5 лет опыта)
11/23/2015 10:13:10,LinkedIn,TernopilJS,Девальвация гривны,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:13:38,Джинн,Не слежу за мероприятиями,Обыски в офисах ИТ-компаний,GoIT,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:13:50,StackOverflow,,"Волонтерский десант в органах власти (МО, Одесса и пр)",Prometheus,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:13:50,LinkedIn,ITEM-2015 (Днепропетровск),"Личное (новая работа, повышение, свадьба, ...)",BrainAcademy / Coding for Future,"Нормальный год, все как обычно",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:14:42,Джинн,IT Jam 2015 (Киев),Покупка Looksery за $150M,CyberBionic Systematics,"Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 10:15:03,LinkedIn,Не слежу за мероприятиями,Покупка Looksery за $150M,Prometheus,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:15:46,DOU.ua,Не слежу за мероприятиями,Запуск 3G в Украине,Prometheus,"Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 10:15:50,StackOverflow,null,Primavera is fifteen,Web Academy,Один из лучших в моей жизни,"Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 10:16:11,LinkedIn,Не слежу за мероприятиями,Запуск 3G в Украине,Bionic University,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:16:18,LinkedIn,Black Sea SummIT (Одесса),Выход Fallout 4,JavaRush,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:16:24,Work.ua,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:16:26,Rabota.ua,Не слежу за мероприятиями,Запуск 3G в Украине,GoIT,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 10:16:37,Джинн,Software Engineering 2015 (seconf org ua),Запуск 3G в Украине,CyberBionic Systematics,"Нормальный год, все как обычно",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:16:37,Джинн,Lviv IT Arena,Девальвация гривны,,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Синьор (5-10 лет опыта)
11/23/2015 10:16:40,LinkedIn,OdessaJS/LvivJS/KharkivJS/KyivJS,Запуск 3G в Украине,,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:16:58,Work.ua,Не слежу за мероприятиями,Прекращение активных боевых действий на Донбассе,skillUp,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 10:17:02,DOU.ua,ITEM-2015 (Днепропетровск),Шестая волна мобилизации в ВСУ,Prometheus,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:17:02,Rabota.ua,Не слежу за мероприятиями,Покупка Looksery за $150M,PROG kiev ua,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:17:10,DOU.ua,Lviv IT Arena,Обыски в офисах ИТ-компаний,IT Labs,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:17:24,Джинн,Outsource People Kyiv,Обыски в офисах ИТ-компаний,GeekHub,Один из лучших в моей жизни,"Надеюсь на лучшее, но есть сомнения",
11/23/2015 10:17:24,Джинн,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",Prometheus,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:17:34,Джинн,Не слежу за мероприятиями,Девальвация гривны,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 10:17:35,Джинн,Lviv IT Arena,Прекращение активных боевых действий на Донбассе,GoIT,"Нормальный год, все как обычно",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:18:00,,Не слежу за мероприятиями,Прекращение активных боевых действий на Донбассе,,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Миддл (2-5 лет опыта)
11/23/2015 10:18:07,,Не слежу за мероприятиями,Покупка Looksery за $150M,,"Нормальный год, все как обычно",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 10:18:14,Rabota.ua,Не слежу за мероприятиями,Шестая волна мобилизации в ВСУ,Bionic University,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 10:18:16,LinkedIn,IT Fest (Киев),Девальвация гривны,IT Labs,"Трудный год, но в целом все хорошо",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 10:18:18,DOU.ua,,Выход Fallout 4,,"Нормальный год, все как обычно","Все плохо, пора валить",Синьор (5-10 лет опыта)
11/23/2015 10:18:18,Rabota.ua,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",Все курсы шлак,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 10:18:19,DOU.ua,OdessaJS/LvivJS/KharkivJS/KyivJS,"Волонтерский десант в органах власти (МО, Одесса и пр)",Prometheus,"Нормальный год, все как обычно",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 10:18:19,LinkedIn,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",GoIT,Один из лучших в моей жизни,Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:18:21,DOU.ua,Lviv IT Arena,Запуск 3G в Украине,GoIT,Один из лучших в моей жизни,"Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:18:28,HH.ua,,Запуск 3G в Украине,,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:18:48,DOU.ua,Не слежу за мероприятиями,Запуск 3G в Украине,U-Rise,"Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 10:18:49,DOU.ua,OdessaJS/LvivJS/KharkivJS/KyivJS,Запуск 3G в Украине,Web Academy,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:18:57,Rabota.ua,,Запуск 3G в Украине,,"Нормальный год, все как обычно",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:18:57,Rabota.ua,UA Web Challenge,Запуск 3G в Украине,GoIT,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:19:07,Rabota.ua,Не слежу за мероприятиями,Выход Fallout 4,Bionic University,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:19:12,,,Девальвация гривны,,"Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 10:19:22,Джинн,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",Prometheus,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:19:27,Work.ua,Не слежу за мероприятиями,"Волонтерский десант в органах власти (МО, Одесса и пр)",Java курсы Ивана Головача,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 10:19:36,,DevDay Kyiv от Microsoft,Девальвация гривны,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:20:13,Джинн,OdessaJS/LvivJS/KharkivJS/KyivJS,Выход Fallout 4,Lviv IT school (LITS),"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 10:20:20,Work.ua,OdessaJS/LvivJS/KharkivJS/KyivJS,Обыски в офисах ИТ-компаний,,Один из лучших в моей жизни,Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:20:35,DOU.ua,IT Jam 2015 (Киев),Запуск 3G в Украине,BrainAcademy / Coding for Future,"Нормальный год, все как обычно",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 10:20:44,Rabota.ua,JavaDay Kyiv,"Личное (новая работа, повышение, свадьба, ...)",PROG kiev ua,Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:20:55,Джинн,JavaDay Kyiv,Девальвация гривны,,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 10:20:59,LinkedIn,Lviv IT Arena,"Личное (новая работа, повышение, свадьба, ...)",Lviv IT school (LITS),Один из лучших в моей жизни,Все будет хорошо,Мега-синьор (10+ лет опыта)
11/23/2015 10:21:10,DOU.ua,DevDay Kyiv от Microsoft,Запуск 3G в Украине,Prometheus,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Мега-синьор (10+ лет опыта)
11/23/2015 10:21:18,LinkedIn,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",Lviv IT school (LITS),"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:21:19,Джинн,Не слежу за мероприятиями,Обыски в офисах ИТ-компаний,Java курсы Ивана Головача,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Джуниор (меньше двух лет опыта)
11/23/2015 10:21:33,Джинн,ITEM-2015 (Днепропетровск),Шестая волна мобилизации в ВСУ,geekbrains,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 10:21:40,Джинн,,Обыски в офисах ИТ-компаний,Java курсы Ивана Головача,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Джуниор (меньше двух лет опыта)
11/23/2015 10:21:40,DOU.ua,iForum,Прекращение активных боевых действий на Донбассе,Bionic University,Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:21:45,LinkedIn,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",Web Academy,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 10:22:01,LinkedIn,Не слежу за мероприятиями,"Волонтерский десант в органах власти (МО, Одесса и пр)",не знаю,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Мега-синьор (10+ лет опыта)
11/23/2015 10:22:09,Work.ua,,Запуск 3G в Украине,,Один из лучших в моей жизни,"Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 10:22:16,Джинн,UA Web Challenge,Запуск 3G в Украине,Prometheus,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:22:29,Rabota.ua,JavaDay Kyiv,Покупка Looksery за $150M,Bionic University,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Джуниор (меньше двух лет опыта)
11/23/2015 10:22:32,DOU.ua,UA Web Challenge,"Волонтерский десант в органах власти (МО, Одесса и пр)",,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:22:37,Rabota.ua,Не слежу за мероприятиями,Прекращение активных боевых действий на Донбассе,Bionic University,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:22:44,LinkedIn,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",Stackoverflow,"Нормальный год, все как обычно",Все будет хорошо,Мега-синьор (10+ лет опыта)
11/23/2015 10:22:51,DOU.ua,OdessaJS/LvivJS/KharkivJS/KyivJS,Покупка Looksery за $150M,Компьютерная Академия ШАГ,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Миддл (2-5 лет опыта)
11/23/2015 10:22:53,DOU.ua,JavaDay Kyiv,Девальвация гривны,PROG kiev ua,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:22:59,LinkedIn,Не слежу за мероприятиями,Шестая волна мобилизации в ВСУ,Bionic University,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Синьор (5-10 лет опыта)
11/23/2015 10:23:13,DOU.ua,Не слежу за мероприятиями,Девальвация гривны,Bionic University,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:23:19,Джинн,JavaDay Kyiv,Запуск 3G в Украине,JavaRush,Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:23:21,LinkedIn,Не слежу за мероприятиями,Запуск 3G в Украине,,"Трудный год, но в целом все хорошо","Все плохо, пора валить",Синьор (5-10 лет опыта)
11/23/2015 10:23:35,StackOverflow,iForum,Запуск 3G в Украине,,Один из лучших в моей жизни,Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 10:23:44,Джинн,JavaDay Kyiv,Прекращение активных боевых действий на Донбассе,Java курсы Ивана Головача,Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:23:50,Джинн,Не слежу за мероприятиями,Девальвация гривны,PROG kiev ua,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 10:23:52,Work.ua,Не слежу за мероприятиями,Обыски в офисах ИТ-компаний,Prometheus,"Нормальный год, все как обычно",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:23:54,Джинн,Не слежу за мероприятиями,Обыски в офисах ИТ-компаний,,"Нормальный год, все как обычно",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:24:05,DOU.ua,Не слежу за мероприятиями,Запуск 3G в Украине,Prometheus,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 10:24:37,DOU.ua,Не слежу за мероприятиями,Запуск 3G в Украине,Prometheus,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:24:47,DOU.ua,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",CyberBionic Systematics,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:25:00,Work.ua,Не слежу за мероприятиями,Обыски в офисах ИТ-компаний,Prometheus,"Трудный год, но в целом все хорошо",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 10:25:19,Work.ua,OdessaJS/LvivJS/KharkivJS/KyivJS,Выход Fallout 4,Компьютерная Академия ШАГ,"Нормальный год, все как обычно","Все плохо, пора валить",Миддл (2-5 лет опыта)
11/23/2015 10:25:19,Джинн,AI Ukraine (Харьков),Девальвация гривны,http://skillsup.ua/,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:25:23,Джинн,JavaDay Kyiv,Выход Fallout 4,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 10:25:30,Джинн,FrameworksDays,Запуск 3G в Украине,kottans.org,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:25:41,DOU.ua,Не слежу за мероприятиями,Девальвация гривны,Bionic University,Один из лучших в моей жизни,"Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:25:57,DOU.ua,Selenium Conf,Девальвация гривны,JavaRush,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:26:01,Джинн,,Запуск 3G в Украине,,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:26:05,DOU.ua,JavaDay Kyiv,Прекращение активных боевых действий на Донбассе,Java курсы Ивана Головача,Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:26:18,DOU.ua,Не слежу за мероприятиями,Девальвация гривны,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 10:26:59,Rabota.ua,QA Fest,Шестая волна мобилизации в ВСУ,JavaRush,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:27:17,LinkedIn,DevDay Kyiv от Microsoft,Обыски в офисах ИТ-компаний,MVA,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 10:27:23,LinkedIn,JavaDay Kyiv,Девальвация гривны,Bionic University,"Нормальный год, все как обычно","Все плохо, пора валить",Синьор (5-10 лет опыта)
11/23/2015 10:27:26,Work.ua,,Шестая волна мобилизации в ВСУ,Prometheus,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",
11/23/2015 10:27:35,DOU.ua,,Девальвация гривны,IDAP College (iOS),"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Джуниор (меньше двух лет опыта)
11/23/2015 10:27:42,LinkedIn,UA Web Challenge,Покупка Looksery за $150M,GoIT,"Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:27:50,Джинн,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",Prometheus,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:28:03,LinkedIn,Не слежу за мероприятиями,Запуск 3G в Украине,,"Трудный год, но в целом все хорошо",Все будет хорошо,Мега-синьор (10+ лет опыта)
11/23/2015 10:28:20,Джинн,JavaDay Kyiv,Шестая волна мобилизации в ВСУ,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",
11/23/2015 10:28:43,LinkedIn,Не слежу за мероприятиями,Запуск 3G в Украине,Lviv IT school (LITS),"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
