"Отметка времени","Самое значимое для вас событие года?","Посещали ли вы IT-конференции в 2016 году?","Лучшее профильное мероприятие года в Украине (800+ посетителей)?","Лучшее профильное мероприятие года в Украине (400+ посетителей)?","Как вы оцениваете этот год лично для себя?","Какие у вас ожидания от 2017?","Кто вы?"
"2016/12/08 10:01:13 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все плохо, пора валить","Мега-синьор (10+ лет опыта)"
"2016/12/08 10:01:32 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/08 10:02:14 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:02:38 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:04:11 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","PHP Frameworks Day","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:05:05 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:05:42 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:06:16 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Outsource People 2016 Kyiv","KharkivJS#7","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/08 10:06:26 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:06:33 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
