"Отметка времени","Самое значимое для вас событие года?","Посещали ли вы крупные IT-конференции в 2017 году?","Лучшее профильное мероприятие года в Украине (800+ посетителей)?","Лучшее профильное мероприятие года в Украине (400+ посетителей)?","Как вы оцениваете этот год лично для себя?","Какие у вас ожидания от 2018?","Кто вы?"
"2017/12/11 1:00:57 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:01:03 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:01:53 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:02:02 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:02:24 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:02:27 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:02:35 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:03:13 PM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:03:16 PM GMT+2","Начал действовать безвизовый режим","Да","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:03:34 PM GMT+2","Начал действовать безвизовый режим","Да","Lviv IT Arena 2017","Data Science UA 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:03:46 PM GMT+2","Bitcoin по $18K","Да","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:04:52 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:04:59 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:05:20 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:05:20 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:05:29 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:06:22 PM GMT+2","переезд","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:06:26 PM GMT+2","-","Да","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:06:28 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:06:35 PM GMT+2","Bitcoin по $18K","Да","","PyCon Ukraine 2017","Нормальный год, все как обычно","Все будет плохо, но вы держитесь","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:06:51 PM GMT+2","-","Да","","XP Days Ukraine 2017","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:06:53 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:07:28 PM GMT+2","Начал действовать безвизовый режим","Да","","PyCon Ukraine 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:07:33 PM GMT+2","Bitcoin по $18K","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:07:52 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:07:54 PM GMT+2","Начал действовать безвизовый режим","Да","JEEConf","XP Days Ukraine 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:07:57 PM GMT+2","Bitcoin по $18K","Да","SQLSaturday Kyiv","Data Science UA 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:08:12 PM GMT+2","Запрет «маски-шоу» и изъятие серверов при обыске","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:08:30 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:08:32 PM GMT+2","Bitcoin по $18K","Нет","","","Неудачный год, все плохо","Все будет плохо, но вы держитесь","Миддл (2-5 лет опыта)"
"2017/12/11 1:08:40 PM GMT+2","Начал действовать безвизовый режим","Да","Lviv IT Arena 2017","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:08:51 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:08:52 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:08:58 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:09:04 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:09:28 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:09:32 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:09:37 PM GMT+2","Начал действовать безвизовый режим","Да","Kyiv Outsourcing Forum 2017",".NET Fest","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:09:45 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:09:47 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:09:53 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:09:55 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:10:02 PM GMT+2","Начал действовать безвизовый режим","Да","HackIT-2017","AI Ukraine ’17","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:10:02 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Неудачный год, все плохо","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:10:08 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","Lviv IT Arena 2017","LvivJS 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:10:17 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:10:22 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:10:30 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","IT Weekend Ukraine","Lviv Project Management Day","Неудачный год, все плохо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:10:47 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","IT Weekend Ukraine","PHP fwdays","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:10:49 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:11:21 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:11:32 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:11:39 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:11:40 PM GMT+2","Запрет «маски-шоу» и изъятие серверов при обыске","Да","","PHP fwdays","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:11:42 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:11:42 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:11:49 PM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:11:59 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:12:07 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","QA Fest 2017",".NET Fest","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:12:30 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:12:34 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Нормальный год, все как обычно","Все будет плохо, но вы держитесь","Миддл (2-5 лет опыта)"
"2017/12/11 1:12:37 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:12:48 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:12:57 PM GMT+2","Начал действовать безвизовый режим","Да","Lviv IT Arena 2017","PyCon Ukraine 2017","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:13:07 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","IT Weekend Ukraine","PHP fwdays","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:13:08 PM GMT+2","Начал действовать безвизовый режим","Да","Lviv IT Arena 2017","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:13:15 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:13:21 PM GMT+2","Bitcoin по $18K","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:13:28 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:13:33 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:13:40 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:13:44 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:13:45 PM GMT+2","Bitcoin по $18K","Да","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:13:51 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:13:53 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:14:07 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:14:15 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Нормальный год, все как обычно","Все будет плохо, но вы держитесь","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:14:16 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:14:50 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:14:56 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:15:02 PM GMT+2","Запрет «маски-шоу» и изъятие серверов при обыске","Да","iForum-2017","Highload fwdays","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:15:03 PM GMT+2","Bitcoin по $18K","Да","GDG DevFest Ukraine 2017","AI Ukraine ’17","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:15:11 PM GMT+2","Начал действовать безвизовый режим","Да","GDG DevFest Ukraine 2017","Highload fwdays","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:15:25 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:15:59 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:16:09 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:16:15 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:16:29 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:16:43 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","",".NET Fest","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:16:44 PM GMT+2","Bitcoin по $18K","Да","SE2017 Conference","Highload fwdays","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:17:00 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:17:07 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:17:09 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:17:10 PM GMT+2","Начал действовать безвизовый режим","Да","KharkivJS","JavaScript fwdays","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:17:11 PM GMT+2","Начал действовать безвизовый режим","Да","QA Fest 2017","Blockchain Summit Kyiv 2017","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:17:17 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:17:18 PM GMT+2","Начал действовать безвизовый режим","Да","Lviv IT Arena 2017","LvivJS 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:17:29 PM GMT+2","все тлен","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:17:34 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:17:36 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:17:38 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:17:59 PM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:18:00 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:18:04 PM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:18:36 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:18:44 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:18:44 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:18:48 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Неудачный год, все плохо","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:18:49 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:18:59 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:19:13 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","SE2017 Conference","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:19:20 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:19:24 PM GMT+2","Кибератака в Украине (вирус Petya)","Да","iForum-2017","Web Standard Days 2017","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:19:34 PM GMT+2","Bitcoin по $18K","Да","QA Fest 2017","TestingStage’17","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:19:37 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:19:38 PM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:19:44 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:19:46 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:19:49 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","Games Gathering 2017","GameDev Conference 2017","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
