Город,Общий стаж работы по специальности,Стаж на текущем месте работы,Специализация,Зарплата за последний месяц,Прибавка к зарплате,Размер компании,Стаж,Стаж на текущем месте работы,ЗП,,,,,
другой,3,1,Flex/Flash/AIR,100,,меньше 10 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
Львов,4,3,PHP,100,400,меньше 10 человек,"(3, 7]","(1.5, 3]",≤ 600,,,,,
другой,6,4,Java,100,0,больше 200 человек,"(3, 7]",> 3,≤ 600,,,,,
другой,1,0.5,PHP,173.75,250,меньше 10 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,6,3,C#/.NET,190,200,10 - 50 человек,"(3, 7]","(1.5, 3]",≤ 600,,,,,
Харьков,0.25,0.25,Java,200,300,50 - 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,3,0.5,Java,200,100,меньше 10 человек,"(1, 3]",≤ 0.5,≤ 600,,,,,
Киев,3,2,Java,200,150,10 - 50 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
другой,5,2,Project manager,200,0,10 - 50 человек,"(3, 7]","(1.5, 3]",≤ 600,,,,,
Львов,1,0.3,PHP,220,400,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,0,0,C#/.NET,250,250,50 - 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Киев,0.8,0.1,PHP,250,375,меньше 10 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,0.5,0.5,PHP,250,250,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,1,1,Python,250,250,больше 200 человек,≤ 1,"(0.5, 1.5]",≤ 600,,,,,
другой,3,2,HTML/CSS/JavaScript,250,250,меньше 10 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
Харьков,3,3,PHP,260,100,больше 200 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
другой,0,0.1,Java,300,,50 - 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Киев,1,0.2,Java,300,200,50 - 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Львов,0.25,0.25,Java,300,300,больше 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Харьков,0.3,0.3,Mobile,300,200,50 - 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Киев,1,0.4,C#/.NET,300,,больше 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,0.5,0.5,C#/.NET,300,300,10 - 50 человек,≤ 1,≤ 0.5,≤ 600,,,,,
Харьков,0.5,0.5,QA/Testing,300,300,50 - 200 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,0.5,0.5,Java,300,100,меньше 10 человек,≤ 1,≤ 0.5,≤ 600,,,,,
другой,2,0.7,Java,300,250,меньше 10 человек,"(1, 3]","(0.5, 1.5]",≤ 600,,,,,
Львов,3,3,QA/Testing,300,100,больше 200 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
Киев,10,3,C#/.NET,300,50,50 - 200 человек,> 7,"(1.5, 3]",≤ 600,,,,,
другой,3,2,PHP,310,150,меньше 10 человек,"(1, 3]","(1.5, 3]",≤ 600,,,,,
