"","X","Возраст","Пол","Должность","Образование","Язык.программирования","Индустрия","Предметная.область","Доп..специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Средняя.зарплата.в.месяц","Валюта","Годовые.премии.и.бонусы","Валюта.1","Размер.компании","Город","Уровень.английского","Дата.заполнения","User.Agent","exp","loc","salary","cls"
"1",NA,26,"m","Senior Software Engineer","Высшее","Java","Нету",NA,"","5","5",2000,"d",0,"d","до 100 человек","Киев","средний","13/12/2011 13:40:02","Mozilla/5.0 (Windows NT 6.1; rv:8.0) Gecko/20100101 Firefox/8.0",5,"Киев",2000,"DEV"
"2",NA,25,"m","QA Tech Lead","Высшее","","Нету",NA,"Manual QA","5.5","1.75",2800,"d",0,"d","до 10 человек","Харьков","продвинутый","13/12/2011 13:40:31","Mozilla/5.0 (Windows NT 6.1; rv:8.0.1) Gecko/20100101 Firefox/8.0.1",5.5,"Харьков",2800,"QA"
"3",NA,30,"m","Senior Software Engineer","Высшее","C","Нету",NA,"","10 и более лет","2.5",4000,"d",0,"d","до 100 человек","Киев","ниже среднего","13/12/2011 13:40:40","Mozilla/5.0 (Windows; U; Windows NT 5.1; en-GB; rv:1.9.2.21) Gecko/20110830 Firefox/3.6.21 ( .NET CLR 3.5.30729; .NET4.0E)",10,"Киев",4000,"DEV"
"4",NA,23,"m","Senior Software Engineer","Незаконченное высшее","Flex/Flash/AIR","Нету",NA,"","4","0.25",2500,"d",0,"d","до 10 человек","Киев","выше среднего","13/12/2011 13:40:59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",4,"Киев",2500,"DEV"
"5",NA,21,"m","Team lead","Незаконченное высшее","","Нету",NA,"","1","0.25",1000,"d",0,"d","до 10 человек","Киев","средний","13/12/2011 13:41:42","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",1,"Киев",1000,"PM"
"6",NA,34,"m","Software Engineer","Высшее","Perl","Нету",NA,"","1.5","0.25",10000,"h",0,"d","до 10 человек","Днепр.","выше среднего","13/12/2011 13:41:53","Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.186 Safari/535.1",1.5,"Днепр.",1250,"DEV"
"7",NA,29,"m","Team lead","Незаконченное высшее","","Нету",NA,"","7","3.5",2400,"d",1000,"d","до 1000 человек","Киев","средний","13/12/2011 13:42:01","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",7,"Киев",2400,"PM"
"8",NA,21,"m","Junior Software Engineer","Незаконченное высшее","Java","Нету",NA,"","0.75","0.25",1500,"d",0,"d","до 50 человек","Киев","средний","13/12/2011 13:42:29","Mozilla/5.0 (X11; Linux x86_64; rv:2.0) Gecko/20100101 Firefox/4.0",0.75,"Киев",1500,"DEV"
"9",NA,29,"m","Technical Lead","Высшее","C++","Нету",NA,"","9","1.75",2300,"d",0,"d","до 10 человек","Донецк","выше среднего","13/12/2011 13:43:22","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",9,"other",2300,"SDEV"
"10",NA,22,"m","Junior Software Engineer","Незаконченное высшее","Java","Нету",NA,"","0.5","0.5",300,"d",0,"d","до 200 человек","Киев","средний","13/12/2011 13:43:48","Mozilla/5.0 (Windows NT 6.1; rv:8.0) Gecko/20100101 Firefox/8.0",0.5,"Киев",300,"DEV"
"11",NA,28,"m","Software Engineer","Высшее","PHP","Нету",NA,"","6.5","2.5",1500,"d",0,"d","до 10 человек","Киев","средний","13/12/2011 13:43:53","Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",6.5,"Киев",1500,"DEV"
"12",NA,23,"m","Senior Software Engineer","Высшее","Python","Нету",NA,"","5","меньше 3 месяцев",3000,"d",0,"d","до 50 человек","Киев","выше среднего","13/12/2011 13:43:56","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:10.0a2) Gecko/20111211 Firefox/10.0a2",5,"Киев",3000,"DEV"
"13",NA,23,"m","Software Engineer","Незаконченное высшее","Ruby/Rails","Нету",NA,"","1","0.75",1500,"d",0,"d","до 10 человек","Киев","выше среднего","13/12/2011 13:43:56","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7",1,"Киев",1500,"DEV"
"14",NA,27,"f","QA engineer","Высшее","","Нету",NA,"General QA","1.5","0.25",800,"d",0,"d","до 200 человек","Донецк","продвинутый","13/12/2011 13:44:01","Mozilla/5.0 (Windows; U; Windows NT 5.1; ) AppleWebKit/534.12 (KHTML, like Gecko) Maxthon/3.0 Safari/534.12",1.5,"other",800,"QA"
"15",NA,32,"m","Senior Software Engineer","Высшее","Java","Нету",NA,"","10 и более лет","2",3500,"d",0,"d","до 50 человек","Харьков","средний","13/12/2011 13:44:04","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7",10,"Харьков",3500,"DEV"
"16",NA,23,"m","Junior Software Engineer","Незаконченное высшее","C#/.NET","Нету",NA,"","3","3",850,"d",0,"d","до 1000 человек","Львов","средний","13/12/2011 13:44:25","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",3,"Львов",850,"DEV"
"17",NA,26,"m","Senior Software Engineer","Высшее","C++","Нету",NA,"","5","1",2400,"d",0,"d","до 200 человек","Одесса","выше среднего","13/12/2011 13:44:28","Mozilla/5.0 (Windows NT 5.2; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",5,"other",2400,"DEV"
"18",NA,24,"f","Junior QA engineer","Высшее","","Нету",NA,"Manual QA","1.5","1.5",1000,"d",0,"d","до 100 человек","Киев","выше среднего","13/12/2011 13:44:29","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0) Gecko/20100101 Firefox/8.0",1.5,"Киев",1000,"QA"
"19",NA,22,"m","Software Engineer","Высшее","Java","Нету",NA,"","4","2",3000,"d",0,"d","до 10 человек","Киев","средний","13/12/2011 13:44:38","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",4,"Киев",3000,"DEV"
"20",NA,23,"m","Software Engineer","Высшее","PHP","Нету",NA,"","3","2.5",900,"d",0,"d","до 200 человек","Харьков","средний","13/12/2011 13:44:57","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",3,"Харьков",900,"DEV"
"21",NA,22,"m","QA engineer","Высшее","","Нету",NA,"Automation QA","1","1",1200,"d",0,"d","до 100 человек","Киев","средний","13/12/2011 13:45:02","Mozilla/5.0 (Windows NT 6.1; rv:8.0) Gecko/20100101 Firefox/8.0",1,"Киев",1200,"QA"
"22",NA,23,"m","Director of Engineering / Program Director","Высшее","","Нету",NA,"","4","3.5",2000,"d",0,"d","до 50 человек","Донецк","продвинутый","13/12/2011 13:45:02","Opera/9.80 (Macintosh; Intel Mac OS X 10.7.2; U; en) Presto/2.10.229 Version/11.60",4,"other",2000,"SPM"
"23",NA,25,"m","Системный администратор","Высшее","","Нету",NA,"","5","1",2500,"d",3600,"d","до 100 человек","Киев","продвинутый","13/12/2011 13:45:05","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0) Gecko/20100101 Firefox/8.0",5,"Киев",2500,"ADM"
"24",NA,25,"m","Software Engineer","Высшее","Objective-C","Нету",NA,"","1","1",1200,"d",0,"d","до 100 человек","Днепр.","средний","13/12/2011 13:45:07","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",1,"Днепр.",1200,"DEV"
"25",NA,24,"m","Верстальщик","Незаконченное высшее","","Нету",NA,"","4","меньше 3 месяцев",8000,"h",0,"d","до 50 человек","Киев","средний","13/12/2011 13:45:08","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.106 Safari/535.2",4,"Киев",1000,""
"26",NA,24,"m","Senior Software Engineer","Незаконченное высшее","Java","Нету",NA,"","3","5",2000,"d",4000,"d","до 1000 человек","Днепр.","выше среднего","13/12/2011 13:45:45","Mozilla/5.0 (Ubuntu; X11; Linux i686; rv:8.0) Gecko/20100101 Firefox/8.0",3,"Днепр.",2000,"DEV"
"27",NA,26,"m","Senior Project Manager / Program Manager","Высшее","","Нету",NA,"","4","0.5",3200,"d",0,"d","до 50 человек","Харьков","ниже среднего","13/12/2011 13:45:57","Opera/9.80 (Windows NT 6.1; U; ru) Presto/2.10.229 Version/11.60",4,"Харьков",3200,"SPM"
"28",NA,21,"m","QA engineer","Высшее","","Нету",NA,"Automation QA","0.75","0.25",1300,"d",0,"d","до 1000 человек","Киев","выше среднего","13/12/2011 13:45:59","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",0.75,"Киев",1300,"QA"
"29",NA,20,"m","Technical Lead","Незаконченное высшее","PHP","Нету",NA,"","2.5","0.75",1700,"d",0,"d","до 10 человек","Севастополь","элементарный","13/12/2011 13:46:07","Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.100 Safari/534.30",2.5,"other",1700,"SDEV"
"30",NA,22,"m","Software Engineer","Высшее","Java","Нету",NA,"","1.25","1.25",1600,"d",0,"d","до 100 человек","Киев","средний","13/12/2011 13:46:22","Opera/9.80 (Windows NT 6.1; U; en) Presto/2.10.229 Version/11.60",1.25,"Киев",1600,"DEV"
"31",NA,31,"m","Project manager","Высшее","","Нету",NA,"","3","1.5",1000,"d",1500,"d","до 10 человек","Киев","ниже среднего","13/12/2011 13:46:24","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.60 Safari/534.24",3,"Киев",1000,"PM"
"32",NA,28,"m","Senior Software Engineer","Высшее","Java","Нету",NA,"","6","4",2700,"d",600,"d","до 1000 человек","Киев","средний","13/12/2011 13:46:26","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0.1) Gecko/20100101 Firefox/8.0.1",6,"Киев",2700,"DEV"
"33",NA,23,"m","Senior Project Manager / Program Manager","Высшее","","Нету",NA,"","2.5","1.5",2000,"d",4000,"d","до 100 человек","Днепр.","продвинутый","13/12/2011 13:46:35","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",2.5,"Днепр.",2000,"SPM"
"34",NA,24,"m","QA engineer","Незаконченное высшее","","Нету",NA,"Manual QA","1","меньше 3 месяцев",600,"d",0,"d","до 100 человек","Киев","выше среднего","13/12/2011 13:46:57","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0.1) Gecko/20100101 Firefox/8.0.1",1,"Киев",600,"QA"
"35",NA,26,"m","Senior Software Engineer","Высшее","C#/.NET","Нету",NA,"","5","4",2100,"d",0,"d","до 200 человек","Харьков","выше среднего","13/12/2011 13:47:03","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7",5,"Харьков",2100,"DEV"
"36",NA,25,"m","Системный администратор","Высшее","","Нету",NA,"","5","0.5",2500,"d",6000,"d","до 100 человек","Киев","продвинутый","13/12/2011 13:47:08","Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7",5,"Киев",2500,"ADM"
"37",NA,25,"m","Software Engineer","Высшее","Delphi","Нету",NA,"","3.5","1.75",1300,"d",600,"d","до 50 человек","Киев","средний","13/12/2011 13:47:09","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",3.5,"Киев",1300,"DEV"
"38",NA,29,"m","Senior Software Engineer","Высшее","PHP","Нету",NA,"","8","3.5",2700,"d",0,"d","до 10 человек","Ивано-Франковск","выше среднего","13/12/2011 13:47:23","Opera/9.80 (X11; Linux i686; U; uk) Presto/2.9.168 Version/11.52",8,"other",2700,"DEV"
"39",NA,27,"m","Senior Software Engineer","Высшее","C#/.NET","Нету",NA,"","6.5","0.5",2600,"d",0,"d","до 200 человек","Харьков","выше среднего","13/12/2011 13:47:29","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",6.5,"Харьков",2600,"DEV"
"40",NA,28,"m","DBA / Администратор баз данных","Высшее","","Нету",NA,"","5","2.5",3600,"d",1200,"d","до 1000 человек","Киев","продвинутый","13/12/2011 13:47:38","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",5,"Киев",3600,"ADM"
"41",NA,25,"m","Senior QA engineer","Высшее","","Нету",NA,"Manual QA","4","меньше 3 месяцев",1200,"d",0,"d","до 100 человек","Днепр.","выше среднего","13/12/2011 13:47:54","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",4,"Днепр.",1200,"QA"
"42",NA,24,"m","Senior Software Engineer","Среднее","Objective-C","Нету",NA,"","5.5","1.75",2100,"d",0,"d","до 10 человек","Днепр.","выше среднего","13/12/2011 13:48:03","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",5.5,"Днепр.",2100,"DEV"
"43",NA,23,"m","Software Engineer","Высшее","C#/.NET","Нету",NA,"","2","0.5",1200,"d",0,"d","до 1000 человек","Киев","средний","13/12/2011 13:48:09","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",2,"Киев",1200,"DEV"
"44",NA,39,"m","Director of Engineering / Program Director","Высшее","","Нету",NA,"","10 и более лет","10 и более лет",2000,"d",2000,"d","до 10 человек","Киев","средний","13/12/2011 13:48:12","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.106 Safari/535.2",10,"Киев",2000,"SPM"
"45",NA,23,"m","Software Engineer","Высшее","PHP","Нету",NA,"","2","0.75",1850,"d",0,"d","до 200 человек","Киев","ниже среднего","13/12/2011 13:48:13","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",2,"Киев",1850,"DEV"
"46",NA,22,"m","Дизайнер","Высшее","","Нету",NA,"","0.5","меньше 3 месяцев",300,"d",50,"d","до 10 человек","Винница","ниже среднего","13/12/2011 13:48:25","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",0.5,"other",300,""
"47",NA,23,"m","Team lead","Незаконченное высшее","","Нету",NA,"","2.5","1",900,"d",0,"d","до 50 человек","Киев","выше среднего","13/12/2011 13:48:26","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.6 Safari/535.11",2.5,"Киев",900,"PM"
"48",NA,27,"m","Senior Project Manager / Program Manager","Высшее","","Нету",NA,"","3.5","5",2000,"d",0,"d","до 100 человек","Харьков","выше среднего","13/12/2011 13:48:30","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",3.5,"Харьков",2000,"SPM"
"49",NA,28,"m","Technical Lead","Высшее","PHP","Нету",NA,"","8","6",2200,"d",1000,"d","до 200 человек","Харьков","средний","13/12/2011 13:48:51","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7",8,"Харьков",2200,"SDEV"
"50",NA,23,"m","Senior Software Engineer","Высшее","Ruby/Rails","Нету",NA,"","3","2",2000,"d",0,"d","до 50 человек","Киев","средний","13/12/2011 13:49:04","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",3,"Киев",2000,"DEV"
"51",NA,34,"m","Director of Engineering / Program Director","Высшее","","Нету",NA,"","10 и более лет","3",3000,"d",0,"d","до 10 человек","Киев","продвинутый","13/12/2011 13:49:05","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",10,"Киев",3000,"SPM"
"52",NA,23,"m","Junior Software Engineer","Высшее","Objective-C","Нету",NA,"","3","меньше 3 месяцев",700,"d",0,"d","до 50 человек","Чернигов","элементарный","13/12/2011 13:49:22","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",3,"other",700,"DEV"
"53",NA,23,"m","Senior Software Engineer","Высшее","Objective-C","Нету",NA,"","2.5","меньше 3 месяцев",3500,"d",0,"d","до 50 человек","Киев","выше среднего","13/12/2011 13:49:29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/534.51.22 (KHTML, like Gecko) Version/5.1.1 Safari/534.51.22",2.5,"Киев",3500,"DEV"
"54",NA,22,"f","Junior Software Engineer","Высшее","Java","Нету",NA,"","0.25","0.25",600,"d",600,"d","до 1000 человек","Днепр.","средний","13/12/2011 13:50:19","Mozilla/5.0 (X11; Linux x86_64; rv:7.0.1) Gecko/20100101 Firefox/7.0.1",0.25,"Днепр.",600,"DEV"
"55",NA,27,"m","Software Engineer","Высшее","C++","Нету",NA,"","6","1",2500,"d",0,"d","до 200 человек","Киев","средний","13/12/2011 13:50:42","Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0",6,"Киев",2500,"DEV"
"56",NA,23,"f","Технический писатель","Высшее","","Нету",NA,"","2","0.25",1000,"d",0,"d","до 100 человек","Днепр.","продвинутый","13/12/2011 13:50:55","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",2,"Днепр.",1000,""
"57",NA,25,"m","Software Engineer","Высшее","C#/.NET","Нету",NA,"","4","0.75",2100,"d",0,"d","до 100 человек","Львов","выше среднего","13/12/2011 13:51:10","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",4,"Львов",2100,"DEV"
"58",NA,20,"m","Software Engineer","Незаконченное высшее","PHP","Нету",NA,"","1.5","1.5",4000,"h",0,"d","до 50 человек","Львов","средний","13/12/2011 13:51:14","Opera/9.80 (Windows NT 6.1; U; en) Presto/2.10.229 Version/11.60",1.5,"Львов",500,"DEV"
"59",NA,29,"m","QA engineer","Высшее","","Нету",NA,"General QA","1.75","1.75",1000,"d",400,"d","до 50 человек","Харьков","средний","13/12/2011 13:51:18","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0.1) Gecko/20100101 Firefox/8.0.1",1.75,"Харьков",1000,"QA"
"60",NA,30,"m","Senior Software Engineer","Высшее","PHP","Нету",NA,"","5","0.75",2000,"d",200,"d","до 50 человек","Киев","ниже среднего","13/12/2011 13:51:22","Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",5,"Киев",2000,"DEV"
"61",NA,30,"m","Team lead","Незаконченное высшее","","Нету",NA,"","10 и более лет","4",3000,"d",0,"d","до 50 человек","Харьков","выше среднего","13/12/2011 13:51:37","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",10,"Харьков",3000,"PM"
"62",NA,23,"m","Senior Software Engineer","Высшее","C#/.NET","Нету",NA,"","4.5","0.25",2500,"d",0,"d","до 1000 человек","Киев","выше среднего","13/12/2011 13:51:46","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",4.5,"Киев",2500,"DEV"
"63",NA,26,"m","Верстальщик","Высшее","","Нету",NA,"","4","3.5",1400,"d",300,"d","до 100 человек","Харьков","ниже среднего","13/12/2011 13:51:51","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0) Gecko/20100101 Firefox/8.0",4,"Харьков",1400,""
"64",NA,22,"m","Software Engineer","Незаконченное высшее","Objective-C","Нету",NA,"","1.25","0.25",1800,"d",100,"d","до 50 человек","Киев","выше среднего","13/12/2011 13:51:55","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7",1.25,"Киев",1800,"DEV"
