"Город","salary","Должность","exp","Язык.программирования"
"1","Киев",2000,"Senior Software Engineer",5,"Java"
"2","Харьков",2800,"QA Tech Lead",5.5,""
"3","Киев",4000,"Senior Software Engineer",10,"C"
"4","Киев",2500,"Senior Software Engineer",4,"Flex/Flash/AIR"
"5","Киев",1000,"Team lead",1,""
"6","Днепр.",1250,"Software Engineer",1.5,"Perl"
"7","Киев",2400,"Team lead",7,""
"8","Киев",1500,"Junior Software Engineer",0.75,"Java"
"9","Донецк",2300,"Technical Lead",9,"C++"
"10","Киев",300,"Junior Software Engineer",0.5,"Java"
"11","Киев",1500,"Software Engineer",6.5,"PHP"
"12","Киев",3000,"Senior Software Engineer",5,"Python"
"13","Киев",1500,"Software Engineer",1,"Ruby/Rails"
"14","Донецк",800,"QA engineer",1.5,""
"15","Харьков",3500,"Senior Software Engineer",10,"Java"
"16","Львов",850,"Junior Software Engineer",3,"C#/.NET"
"17","Одесса",2400,"Senior Software Engineer",5,"C++"
"18","Киев",1000,"Junior QA engineer",1.5,""
"19","Киев",3000,"Software Engineer",4,"Java"
"20","Харьков",900,"Software Engineer",3,"PHP"
"21","Киев",1200,"QA engineer",1,""
"22","Донецк",2000,"Director of Engineering / Program Director",4,""
"23","Киев",2500,"Системный администратор",5,""
"24","Днепр.",1200,"Software Engineer",1,"Objective-C"
"25","Киев",1000,"Верстальщик",4,""
"26","Днепр.",2000,"Senior Software Engineer",3,"Java"
"27","Харьков",3200,"Senior Project Manager / Program Manager",4,""
"28","Киев",1300,"QA engineer",0.75,""
"29","Севастополь",1700,"Technical Lead",2.5,"PHP"
"30","Киев",1600,"Software Engineer",1.25,"Java"
"31","Киев",1000,"Project manager",3,""
"32","Киев",2700,"Senior Software Engineer",6,"Java"
"33","Днепр.",2000,"Senior Project Manager / Program Manager",2.5,""
"34","Киев",600,"QA engineer",1,""
"35","Харьков",2100,"Senior Software Engineer",5,"C#/.NET"
"36","Киев",2500,"Системный администратор",5,""
"37","Киев",1300,"Software Engineer",3.5,"Delphi"
"38","Ивано-Франковск",2700,"Senior Software Engineer",8,"PHP"
"39","Харьков",2600,"Senior Software Engineer",6.5,"C#/.NET"
"40","Киев",3600,"DBA / Администратор баз данных",5,""
"41","Днепр.",1200,"Senior QA engineer",4,""
"42","Днепр.",2100,"Senior Software Engineer",5.5,"Objective-C"
"43","Киев",1200,"Software Engineer",2,"C#/.NET"
"44","Киев",2000,"Director of Engineering / Program Director",10,""
"45","Киев",1850,"Software Engineer",2,"PHP"
"46","Винница",300,"Дизайнер",0.5,""
"47","Киев",900,"Team lead",2.5,""
"48","Харьков",2000,"Senior Project Manager / Program Manager",3.5,""
"49","Харьков",2200,"Technical Lead",8,"PHP"
"50","Киев",2000,"Senior Software Engineer",3,"Ruby/Rails"
"51","Киев",3000,"Director of Engineering / Program Director",10,""
"52","Чернигов",700,"Junior Software Engineer",3,"Objective-C"
"53","Киев",3500,"Senior Software Engineer",2.5,"Objective-C"
"54","Днепр.",600,"Junior Software Engineer",0.25,"Java"
"55","Киев",2500,"Software Engineer",6,"C++"
"56","Днепр.",1000,"Технический писатель",2,""
"57","Львов",2100,"Software Engineer",4,"C#/.NET"
"58","Львов",500,"Software Engineer",1.5,"PHP"
"59","Харьков",1000,"QA engineer",1.75,""
"60","Киев",2000,"Senior Software Engineer",5,"PHP"
"61","Харьков",3000,"Team lead",10,""
"62","Киев",2500,"Senior Software Engineer",4.5,"C#/.NET"
"63","Харьков",1400,"Верстальщик",4,""
"64","Киев",1800,"Software Engineer",1.25,"Objective-C"
"65","Киев",4000,"Team lead",7,""
"66","Киев",2000,"Software Engineer",1.25,"Objective-C"
"67","Чернигов",450,"Junior Software Engineer",2,"Java"
"68","Днепр.",1500,"Системный администратор",5,""
"69","Харьков",1300,"Software Engineer",3,"C#/.NET"
"70","Одесса",2900,"Team lead",10,""
"71","Львов",2000,"Software Engineer",6.5,"C#/.NET"
"72","Киев",4000,"Senior Software Engineer",0,"JavaScript"
"73","Киев",3000,"Senior Software Engineer",6,"C#/.NET"
"74","Киев",2000,"Senior Software Engineer",2.5,"Python"
"75","Харьков",500,"Junior Software Engineer",0,"Ruby/Rails"
"76","Львов",1400,"Software Engineer",1.5,"Ruby/Rails"
"77","Киев",4500,"Senior Software Engineer",9,"Perl"
"78","Киев",1500,"Senior Software Engineer",4,"Perl"
"80","Киев",3600,"Technical Lead",8,"Java"
"81","Днепр.",2000,"Senior Software Engineer",4.5,"JavaScript"
"82","Киев",3000,"Senior Software Engineer",5,"Java"
"83","Киев",2500,"Senior Software Engineer",4,"C#/.NET"
"84","Киев",4000,"Software Engineer",1.75,"C"
"85","Киев",625,"Software Engineer",2.5,"Java"
"86","Херсон",2000,"Senior Software Engineer",5,"C#/.NET"
"87","Киев",2650,"Technical Lead",6,"Objective-C"
"88","Киев",2600,"Team lead",6,""
"89","Львов",1450,"Senior Software Engineer",6,"C++"
"90","Днепр.",2700,"Technical Lead",6,"C++"
"91","Киев",3000,"Senior Software Engineer",2,"Java"
"92","Харьков",3300,"Senior Project Manager / Program Manager",8.5,""
"93","Донецк",962.5,"Software Engineer",6.5,"C#/.NET"
"94","Днепр.",375,"Software Engineer",2,"Python"
"95","Киев",1400,"Дизайнер",4,""
"96","Львов",2300,"Senior Software Engineer",4.5,"C#/.NET"
"97","Киев",1500,"Software Engineer",3.5,"PHP"
"98","Житомир",800,"Software Engineer",2,"PHP"
"99","Киев",2500,"Senior Software Engineer",7,"C#/.NET"
"100","Киев",1500,"Senior Software Engineer",3.5,"Flex/Flash/AIR"
"101","Киев",600,"QA engineer",0.25,""
"102","Днепр.",2700,"Senior Software Engineer",6.5,"C++"
"103","Житомир",2000,"QA Tech Lead",5,""
"104","Чернигов",500,"Junior Software Engineer",1.75,"Java"
"105","Киев",1125,"Software Engineer",1.25,"Python"
"106","Киев",1600,"QA engineer",3,""
"107","Донецк",2050,"Software Engineer",6,"C#/.NET"
"108","Киев",2200,"Software Engineer",3,"Java"
"109","Одесса",2800,"Senior Software Engineer",8,"Python"
"110","Харьков",1875,"Team lead",5,""
"111","Львов",3000,"Senior Software Engineer",8,"PHP"
"112","Харьков",2650,"Senior Software Engineer",3,"Java"
"113","Днепр.",1400,"Software Engineer",5.5,"PHP"
"114","Харьков",400,"Junior Software Engineer",1,"C#/.NET"
"115","Киев",3000,"Project manager",10,""
"116","Симферополь",3000,"Senior Software Engineer",5,"Java"
"117","Ровно",300,"Верстальщик",3,""
"118","Киев",2300,"QA Tech Lead",0.75,""
"119","Днепр.",500,"Software Engineer",5,"PHP"
"120","Львов",625,"QA engineer",1.75,""
"121","Киев",2200,"Software Engineer",3,"C#/.NET"
"122","Днепр.",3500,"Senior Project Manager / Program Manager",4,""
"123","Киев",2000,"Senior QA engineer",5,""
"124","Киев",1200,"QA engineer",1.75,""
"125","Киев",2700,"QA Tech Lead",7,""
"126","Николаев",700,"Senior QA engineer",4,""
"127","Киев",2700,"Software Engineer",4.5,"Python"
"128","Киев",3000,"Senior Software Engineer",5.5,"Java"
"129","Киев",500,"Системный администратор",3,""
"130","Днепр.",400,"Senior Software Engineer",3,"PHP"
"131","Киев",1500,"Software Engineer",9,"Python"
"132","Львов",400,"Software Engineer",1,"C++"
"133","Киев",2500,"Senior Software Engineer",7.5,"Delphi"
"134","Киев",2000,"Senior Software Engineer",3.5,"Python"
"135","Киев",2100,"Senior Software Engineer",4.5,"C#/.NET"
"136","Киев",2000,"Software Engineer",2,"JavaScript"
"137","Днепр.",2000,"Software Engineer",1.5,"Objective-C"
"138","Севастополь",750,"Junior Software Engineer",0.5,"Objective-C"
"139","Донецк",1800,"Senior Software Engineer",9,"Java"
"140","Киев",2000,"Senior QA engineer",3,""
"141","Одесса",1500,"Software Engineer",3,"Python"
"142","Черновцы",3750,"Technical Lead",8,"JavaScript"
"143","Львов",800,"Junior Software Engineer",1.5,"C"
"144","Львов",1000,"Software Engineer",2.5,"Delphi"
"145","Чернигов",450,"Junior Software Engineer",1.5,"Java"
"146","Донецк",1500,"Software Engineer",5,"PHP"
"147","Киев",2000,"Project manager",10,""
"148","Киев",700,"QA engineer",1.5,""
"149","Киев",687.5,"QA engineer",2,""
"150","Киев",3700,"Senior Software Engineer",5.5,"Java"
"151","Киев",3550,"Senior Project Manager / Program Manager",7.5,""
"152","Харьков",2000,"Software Engineer",4.5,"PHP"
"153","Киев",2200,"Senior Software Engineer",4,"C#/.NET"
"154","Киев",3000,"Senior Project Manager / Program Manager",4,""
"155","Киев",2300,"Senior Software Engineer",3,"Flex/Flash/AIR"
"156","Киев",2200,"Software Engineer",5,"Java"
"157","Львов",1800,"Software Engineer",5,"Java"
"158","Киев",2100,"Software Engineer",4,"Java"
"159","Луганск",375,"Junior QA engineer",0.75,""
"160","Днепр.",2000,"Senior Project Manager / Program Manager",5,""
"161","Киев",1800,"Software Engineer",4,"C"
"162","Харьков",750,"Software Engineer",4,"C++"
"163","Киев",1200,"QA engineer",2,""
"164","Киев",2800,"Senior Software Engineer",8,"C++"
"165","Киев",1600,"Software Engineer",1.5,"PHP"
"166","Винница",1000,"Senior Software Engineer",5,"PHP"
"167","Днепр.",1800,"Software Engineer",3.5,"C#/.NET"
"168","Николаев",1100,"Software Engineer",2,"Java"
"169","Киев",2500,"Software Engineer",8,"Ruby/Rails"
"170","Киев",2000,"Software Engineer",4,"C#/.NET"
"171","Львов",2500,"Technical Lead",6.5,"C#/.NET"
"172","Одесса",1200,"Software Engineer",2,"Java"
"173","Одесса",3000,"Senior Software Engineer",8,"Java"
"174","Днепр.",1400,"QA Tech Lead",3,""
"175","Киев",750,"Верстальщик",1.25,""
"176","Киев",2500,"Дизайнер",5,""
"177","Киев",3100,"Project manager",8,""
"178","Днепр.",2000,"Senior Software Engineer",5.5,"Java"
"179","Львов",1500,"QA engineer",4,"Python"
"180","Киев",1200,"Software Engineer",0.5,"Java"
"181","Винница",700,"Senior Software Engineer",3,"Flex/Flash/AIR"
"182","Днепр.",1900,"Senior Software Engineer",3.5,"Java"
"183","Киев",2500,"Director of Engineering / Program Director",10,""
"184","Львов",2268,"QA Tech Lead",6.5,""
"185","Черновцы",1400,"Software Engineer",6,"Java"
"186","Львов",1350,"Software Engineer",3,"Java"
"187","Харьков",2800,"Senior Software Engineer",3,"Java"
"188","Киев",2300,"Senior Software Engineer",6,"C#/.NET"
"189","Киев",1700,"Software Engineer",1.5,"Java"
"190","Харьков",600,"Junior QA engineer",1,""
"191","Днепр.",2000,"Senior Software Engineer",5,"C++"
"192","Киев",3500,"Senior Software Engineer",5,"Objective-C"
"193","Львов",1600,"Software Engineer",4,"C#/.NET"
"194","Киев",1500,"Software Engineer",2,"Python"
"195","Киев",1700,"Software Engineer",2.5,"Java"
"196","Киев",3000,"Senior Software Engineer",6,"C#/.NET"
"197","Киев",2000,"Team lead",6,""
"198","Киев",2100,"Системный администратор",10,""
"199","Киев",1000,"Верстальщик",8.5,""
"200","Киев",2700,"Software Engineer",4,"C++"
"201","Киев",3000,"Senior Software Engineer",4,"Flex/Flash/AIR"
"202","Харьков",2000,"Системный администратор",7,""
"203","Киев",800,"Технический писатель",1,""
"204","Харьков",2600,"Senior Project Manager / Program Manager",10,""
"205","Киев",700,"Junior Software Engineer",1.5,"Java"
"206","Николаев",2000,"Senior Software Engineer",10,"C++"
"207","Киев",2500,"Senior Software Engineer",5,"Ruby/Rails"
"208","Киев",1800,"Гейм-дизайнер",5,""
"209","Одесса",1000,"Software Engineer",2.5,"C#/.NET"
"210","Донецк",500,"Project manager",0.5,""
"211","Харьков",1300,"Software Engineer",4,"C#/.NET"
"212","Киев",625,"Системный администратор",3,""
"213","Киев",1300,"Software Engineer",2.5,"C"
"214","Киев",1337.5,"Software Engineer",3,"PHP"
"215","Львов",3500,"Senior Software Engineer",8,"Java"
"216","Киев",2500,"Project manager",10,""
"217","Харьков",2700,"Project manager",7,""
"218","Днепр.",1300,"QA engineer",2,""
"219","Киев",2400,"Software Engineer",5,"SQL"
"220","Львов",2200,"Software Engineer",5,"C++"
"221","Харьков",800,"Junior Software Engineer",0.75,"C#/.NET"
"222","Одесса",2600,"Technical Lead",9.5,"Java"
"223","Харьков",1875,"Senior Software Engineer",10,"C#/.NET"
"224","Львов",480,"Junior Software Engineer",0.25,"C#/.NET"
"225","Днепр.",2400,"Technical Lead",4.5,"Java"
"226","Харьков",1900,"Senior Software Engineer",5,"C#/.NET"
"227","Киев",1500,"Senior Software Engineer",2.5,"PHP"
"228","Харьков",800,"Senior Software Engineer",1.5,"C#/.NET"
"229","Киев",2200,"Technical Lead",10,"C++"
"230","Киев",2400,"Senior Software Engineer",8,"Flex/Flash/AIR"
"231","Киев",2000,"Software Engineer",5,"Java"
"232","Киев",3500,"Team lead",8,""
"233","Львов",2500,"Technical Lead",4,"C#/.NET"
"234","Киев",1100,"QA engineer",0.75,""
"235","Киев",2750,"Senior Software Engineer",4.5,"Java"
"236","Киев",3125,"Project manager",5,""
"237","Харьков",3000,"Technical Lead",5,"C#/.NET"
"238","Киев",3200,"Senior Software Engineer",5,"C#/.NET"
"239","Киев",2700,"Technical Lead",6,"C#/.NET"
"240","Киев",3000,"Senior Software Engineer",10,"Java"
"241","Киев",600,"Junior Software Engineer",0,"Java"
"242","Киев",1154,"Junior Software Engineer",2.5,"C++"
"243","Киев",1250,"Junior Software Engineer",3,"Java"
"244","Львов",1000,"Технический писатель",0.75,""
"245","Одесса",2900,"Technical Lead",7,"Java"
"246","Львов",4000,"Senior Software Engineer",3.5,"Flex/Flash/AIR"
"247","Львов",1250,"Software Engineer",5,"SQL"
"248","Днепр.",2700,"Technical Lead",6,"Java"
"249","Харьков",2000,"Technical Lead",10,"C#/.NET"
"250","Симферополь",2000,"Software Engineer",2.5,"C"
"251","Николаев",650,"Junior Software Engineer",4,"C++"
"252","Одесса",2600,"Senior Software Engineer",6,"Java"
"253","Киев",2500,"Верстальщик",10,""
"254","Одесса",2400,"Software Engineer",3,"Java"
"255","Одесса",800,"Software Engineer",4,"C#/.NET"
"256","Киев",2500,"QA Tech Lead",5.5,""
"257","Киев",1500,"Software Engineer",2,"Python"
"258","Днепр.",2500,"Senior Software Engineer",5,"Ruby/Rails"
"259","Днепр.",2800,"Senior Software Engineer",6,"PHP"
"260","Киев",3000,"Team lead",0.75,""
"261","Николаев",2000,"Senior Software Engineer",7,"PHP"
"262","Севастополь",1600,"Software Engineer",4.5,"C#/.NET"
"263","Одесса",1500,"Software Engineer",1,"Objective-C"
"264","Днепр.",2000,"System Architect",5.5,"C++"
"265","Киев",687.5,"Senior Software Engineer",5.5,"PHP"
"266","Киев",2800,"Project manager",2,""
"267","Харьков",2700,"Senior Software Engineer",5.5,"Java"
"268","Львов",850,"Junior Software Engineer",3,"C++"
"269","Киев",2200,"Senior QA engineer",4,""
"270","Харьков",1500,"Senior Software Engineer",6,"C#/.NET"
"271","Киев",2000,"Software Engineer",4,"PHP"
"272","Днепр.",2500,"Системный администратор",10,""
"273","Киев",3000,"Project manager",6.5,""
"274","Киев",2700,"Software Engineer",4,"C++"
"275","Харьков",2300,"Senior Software Engineer",3.5,"Java"
"276","Киев",2500,"Senior Project Manager / Program Manager",10,""
"277","Днепр.",2500,"Software Engineer",7,"Java"
"278","Симферополь",1500,"Software Engineer",2.5,"Objective-C"
"279","Одесса",3500,"Technical Lead",8,"C#/.NET"
"280","Харьков",1000,"QA engineer",2,""
"281","Киев",2500,"Senior Software Engineer",6,"C#/.NET"
"282","Винница",1000,"Software Engineer",3.5,"Java"
"283","Киев",3100,"Project manager",7,""
"285","Киев",1800,"Software Engineer",4,"Java"
"286","Харьков",1100,"Technical Lead",5,"Python"
"287","Киев",1700,"Software Engineer",3,"C#/.NET"
"288","Львов",1400,"Software Engineer",3,"C++"
"289","Харьков",1850,"Senior QA engineer",4,""
"290","Киев",4100,"Senior Project Manager / Program Manager",4,""
"291","Одесса",2500,"Software Engineer",3,"Python"
"292","Киев",1500,"Software Engineer",4,"PHP"
"293","Киев",900,"Junior Software Engineer",1.25,"Java"
"295","Киев",2000,"Senior Software Engineer",9,"Java"
"296","Киев",2300,"Software Engineer",5,"C#/.NET"
"297","Харьков",2000,"Senior Software Engineer",10,"C#/.NET"
"298","Киев",1750,"Senior Software Engineer",2,"PHP"
"299","Харьков",1200,"Бизнес-аналитик",7,""
"300","Киев",1400,"Software Engineer",1,"Ruby/Rails"
"301","Донецк",850,"Junior Software Engineer",2,"Ruby/Rails"
"302","Киев",3300,"Бизнес-аналитик",5,""
"303","Харьков",900,"Software Engineer",3,"Delphi"
"304","Харьков",3000,"System Architect",10,"Objective-C"
"305","Харьков",700,"QA engineer",1.25,""
"306","Днепр.",1000,"Software Engineer",2.5,"PHP"
"307","Николаев",2900,"Technical Lead",8,"PHP"
"308","Киев",1600,"Системный администратор",10,""
"309","Киев",2000,"Senior Software Engineer",3.5,"C++"
"310","Киев",1800,"Software Engineer",3,"C#/.NET"
"311","Сумы",600,"Software Engineer",2,"PHP"
"312","Киев",1400,"Верстальщик",3,""
"313","Киев",2800,"Senior Software Engineer",10,"Java"
"314","Харьков",1125,"Software Engineer",6,"Delphi"
"315","Львов",2000,"Technical Lead",5.5,"Java"
"316","Харьков",2000,"Senior QA engineer",2,""
"317","Одесса",3500,"Project manager",4,""
"318","Киев",1000,"QA engineer",2.5,""
"319","Киев",3400,"Senior Software Engineer",7,"Java"
"320","Днепр.",1100,"Software Engineer",2.5,"C++"
"321","Харьков",1500,"Technical Lead",5.5,"C"
"322","Днепр.",2800,"Technical Lead",6,"C#/.NET"
"323","Киев",2000,"Senior Software Engineer",3,"Java"
"324","Киев",1750,"Senior Software Engineer",10,"Java"
"325","Харьков",2800,"Senior Software Engineer",6,"C#/.NET"
"326","Киев",3200,"Technical Lead",10,"C#/.NET"
"327","Житомир",487.5,"Software Engineer",3,"C#/.NET"
"328","Киев",1500,"Software Engineer",1,"PHP"
"329","Днепр.",2100,"Team lead",4.5,""
"330","Киев",2000,"Technical Lead",6,"Python"
"331","Львов",900,"Software Engineer",1,"PHP"
"332","Киев",2800,"System Architect",9,"Ruby/Rails"
"333","Харьков",2200,"Senior Software Engineer",10,"C#/.NET"
"334","Киев",3500,"Senior Software Engineer",10,"Python"
"335","Киев",1200,"Software Engineer",2.5,"Java"
"336","Киев",2000,"System Architect",10,"Python"
"337","Винница",1400,"Software Engineer",3,"JavaScript"
"338","Винница",1450,"Senior Software Engineer",5,"C#/.NET"
"339","Симферополь",2000,"Senior Project Manager / Program Manager",9,""
"340","Днепр.",6000,"Software Engineer",5,"Ruby/Rails"
"341","Киев",4000,"Senior Software Engineer",6,"Java"
"342","Харьков",1300,"Верстальщик",3,""
