,Возраст,Пол,Должность,Образование,Язык программирования,Индустрия,Предметная область,Доп. специализация,Общий опыт работы,Опыт работы на текущем месте,Средняя зарплата в месяц,Валюта,Годовые премии и бонусы,Валюта,Размер компании,Город,Уровень английского,Дата заполнения,User-Agent
,26,m,Senior Software Engineer,Высшее,Java,Нету,,,5,5,2000,d,0,d,до 100 человек,Киев,средний,13/12/2011 13:40:02,Mozilla/5.0 (Windows NT 6.1; rv:8.0) Gecko/20100101 Firefox/8.0
,25,m,QA Tech Lead,Высшее,,Нету,,Manual QA,5.5,1.75,2800,d,0,d,до 10 человек,Харьков,продвинутый,13/12/2011 13:40:31,Mozilla/5.0 (Windows NT 6.1; rv:8.0.1) Gecko/20100101 Firefox/8.0.1
,30,m,Senior Software Engineer,Высшее,C,Нету,,,10 и более лет,2.5,4000,d,0,d,до 100 человек,Киев,ниже среднего,13/12/2011 13:40:40,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-GB; rv:1.9.2.21) Gecko/20110830 Firefox/3.6.21 ( .NET CLR 3.5.30729; .NET4.0E)
,23,m,Senior Software Engineer,Незаконченное высшее,Flex/Flash/AIR,Нету,,,4,0.25,2500,d,0,d,до 10 человек,Киев,выше среднего,13/12/2011 13:40:59,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,21,m,Team lead,Незаконченное высшее,,Нету,,,1,0.25,1000,d,0,d,до 10 человек,Киев,средний,13/12/2011 13:41:42,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,34,m,Software Engineer,Высшее,Perl,Нету,,,1.5,0.25,10000,h,0,d,до 10 человек,Днепропетровск,выше среднего,13/12/2011 13:41:53,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.186 Safari/535.1"
,29,m,Team lead,Незаконченное высшее,,Нету,,,7,3.5,2400,d,1000,d,до 1000 человек,Киев,средний,13/12/2011 13:42:01,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,21,m,Junior Software Engineer,Незаконченное высшее,Java,Нету,,,0.75,0.25,1500,d,0,d,до 50 человек,Киев,средний,13/12/2011 13:42:29,Mozilla/5.0 (X11; Linux x86_64; rv:2.0) Gecko/20100101 Firefox/4.0
,29,m,Technical Lead,Высшее,C++,Нету,,,9,1.75,2300,d,0,d,до 10 человек,Донецк,выше среднего,13/12/2011 13:43:22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,22,m,Junior Software Engineer,Незаконченное высшее,Java,Нету,,,0.5,0.5,300,d,0,d,до 200 человек,Киев,средний,13/12/2011 13:43:48,Mozilla/5.0 (Windows NT 6.1; rv:8.0) Gecko/20100101 Firefox/8.0
,28,m,Software Engineer,Высшее,PHP,Нету,,,6.5,2.5,1500,d,0,d,до 10 человек,Киев,средний,13/12/2011 13:43:53,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,23,m,Senior Software Engineer,Высшее,Python,Нету,,,5,меньше 3 месяцев,3000,d,0,d,до 50 человек,Киев,выше среднего,13/12/2011 13:43:56,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:10.0a2) Gecko/20111211 Firefox/10.0a2
,23,m,Software Engineer,Незаконченное высшее,Ruby/Rails,Нету,,,1,0.75,1500,d,0,d,до 10 человек,Киев,выше среднего,13/12/2011 13:43:56,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7"
,27,f,QA engineer,Высшее,,Нету,,General QA,1.5,0.25,800,d,0,d,до 200 человек,Донецк,продвинутый,13/12/2011 13:44:01,"Mozilla/5.0 (Windows; U; Windows NT 5.1; ) AppleWebKit/534.12 (KHTML, like Gecko) Maxthon/3.0 Safari/534.12"
,32,m,Senior Software Engineer,Высшее,Java,Нету,,,10 и более лет,2,3500,d,0,d,до 50 человек,Харьков,средний,13/12/2011 13:44:04,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7"
