,Возраст,Пол,Должность,Образование,Язык программирования,Индустрия,Предметная область,Доп. специализация,Общий опыт работы,Опыт работы на текущем месте,Средняя зарплата в месяц,Валюта,Годовые премии и бонусы,Валюта,Размер компании,Город,Уровень английского,Дата заполнения,User-Agent
,21,m,Senior Software Engineer,Высшее,Python,Разработка ПО,Веб-разработка,,4,меньше 3 месяцев,2000,d,0,d,до 50 человек,Киев,продвинутый,10/05/2011 11:31:45,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.57 Safari/534.24"
,27,m,Software Engineer,Высшее,Java,Аутсорсинг,Финансы и банки,,5,0.5,2000,d,0,d,до 200 человек,Днепропетровск,выше среднего,10/05/2011 11:35:30,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:2.0) Gecko/20100101 Firefox/4.0
,23,m,Дизайнер,Высшее,,Заказная разработка,Веб-разработка,,2,2,600,d,0,d,до 50 человек,Львов,средний,10/05/2011 11:36:29,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,27,m,Senior QA engineer,Высшее,,Аутсорсинг,Веб-разработка,Automation QA,4,1,1600,d,0,d,до 10 человек,Львов,выше среднего,10/05/2011 11:38:11,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,23,m,Software Engineer,Незаконченное высшее,Objective-C,Аутсорсинг,Корпоративные системы,,1.25,0.75,1600,d,0,d,до 50 человек,Харьков,продвинутый,10/05/2011 11:38:12,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:2.0) Gecko/20100101 Firefox/4.0
,24,m,Software Engineer,Высшее,C#/.NET,Аутсорсинг,Веб-разработка,,3.5,1,1900,d,0,d,до 10 человек,Харьков,средний,10/05/2011 11:38:39,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.60 Safari/534.24"
,22,m,Software Engineer,Высшее,Python,Аутсорсинг,Веб-разработка,,4,0.75,2900,d,0,d,до 10 человек,Киев,выше среднего,10/05/2011 11:38:39,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,21,m,Junior Software Engineer,Высшее,JavaScript,Разработка ПО,Веб-разработка,,2.5,0.5,1000,d,10000,h,до 50 человек,Днепропетровск,выше среднего,10/05/2011 11:38:43,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.60 Safari/534.24"
,25,m,Software Engineer,Высшее,Java,Разработка ПО,Корпоративные системы,,3.5,1.5,1900,d,150,d,до 200 человек,Киев,выше среднего,10/05/2011 11:38:58,Mozilla/5.0 (Windows NT 5.1; rv:2.0) Gecko/20100101 Firefox/4.0
,23,m,Software Engineer,Высшее,C#/.NET,Аутсорсинг,Веб-разработка,,4,0.25,2000,d,0,d,до 10 человек,Донецк,выше среднего,10/05/2011 11:39:14,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.60 Safari/534.24"
