"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Пол","Возраст","Образование","Уровень.английского","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"1",NA,"Software Engineer","C#/.NET","","10 и более лет","1.5",2000,0,"Днепр.","свыше 1000 человек","мужской",33,"Высшее","средний","18/12/2012 12:19:33","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",10,1.5,"Днепр.",2000,NA,"DEV"
"2",NA,"Software Engineer","PHP","","1.75","1.5",1400,600,"Харьков","до 50 человек","мужской",22,"Незаконченное высшее","выше среднего","18/12/2012 12:21:02","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11",1.75,1.5,"Харьков",1400,NA,"DEV"
"3",NA,"Junior Software Engineer","C#/.NET","","1","1",565,190,"Днепр.","до 1000 человек","мужской",25,"Высшее","средний","18/12/2012 12:21:32","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1,1,"Днепр.",565,NA,"DEV"
"4",NA,"Senior Software Engineer","C++","","7","6",2800,300,"Одесса","до 1000 человек","мужской",30,"Кандидат","выше среднего","18/12/2012 12:21:35","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",7,6,"other",2800,NA,"DEV"
"5",NA,"Software Engineer","PHP","","3","0.25",2000,500,"Киев","до 10 человек","мужской",32,"Высшее","средний","18/12/2012 12:22:22","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:17.0) Gecko/20100101 Firefox/17.0",3,0.25,"Киев",2000,NA,"DEV"
"6",NA,"Software Engineer","Java","","3","1",1700,0,"Днепр.","свыше 1000 человек","мужской",29,"Высшее","средний","18/12/2012 12:23:24","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",3,1,"Днепр.",1700,NA,"DEV"
"7",NA,"Software Engineer","PHP","","2","1.25",1300,100,"Киев","до 200 человек","мужской",23,"Незаконченное высшее","выше среднего","18/12/2012 12:24:00","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",2,1.25,"Киев",1300,NA,"DEV"
"8",NA,"Software Engineer","Java","","2","1.5",1900,1000,"Киев","до 1000 человек","мужской",21,"Незаконченное высшее","выше среднего","18/12/2012 12:24:12","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11",2,1.5,"Киев",1900,NA,"DEV"
"9",NA,"Junior QA engineer","","Manual QA","0.25","меньше 3 месяцев",750,0,"Одесса","до 1000 человек","мужской",23,"Высшее","выше среднего","18/12/2012 12:24:19","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",0.25,0,"other",750,NA,"QA"
"10",NA,"Software Engineer","PHP","","2","1.75",1520,520,"Киев","до 10 человек","мужской",32,"Высшее","средний","18/12/2012 12:25:14","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",2,1.75,"Киев",1520,NA,"DEV"
"11",NA,"Project manager","","","6","2.5",2500,500,"Донецк","до 50 человек","мужской",30,"Высшее","ниже среднего","18/12/2012 12:25:49","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",6,2.5,"other",2500,NA,"PM"
"12",NA,"Team lead","","","5","1.25",3000,1000,"Киев","свыше 1000 человек","мужской",24,"Высшее","средний","18/12/2012 12:26:16","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",5,1.25,"Киев",3000,NA,"PM"
"13",NA,"Senior Software Engineer","JavaScript","","4.5","0.75",3000,600,"Киев","до 50 человек","мужской",30,"Высшее","продвинутый","18/12/2012 12:26:31","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",4.5,0.75,"Киев",3000,NA,"DEV"
"14",NA,"QA engineer","","General QA","4","0.5",1100,0,"Львов","до 200 человек","женский",25,"Высшее","средний","18/12/2012 12:26:37","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",4,0.5,"Львов",1100,NA,"QA"
"15",NA,"Верстальщик","","","3","меньше 3 месяцев",900,0,"Киев","до 10 человек","мужской",22,"Высшее","ниже среднего","18/12/2012 12:26:58","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",3,0,"Киев",900,NA,""
"16",NA,"Software Engineer","Objective-C","","3.5","0.25",3500,1300,"Киев","до 50 человек","мужской",24,"Высшее","средний","18/12/2012 12:27:02","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11",3.5,0.25,"Киев",3500,NA,"DEV"
"18",NA,"QA engineer","","General QA","3","1.5",1425,200,"Киев","свыше 1000 человек","женский",23,"Два высших","продвинутый","18/12/2012 12:27:21","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11",3,1.5,"Киев",1425,NA,"QA"
