"Город","Зарплата.в.месяц","Изменение.зарплаты","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Уровень.английского","Размер.компании"
"1","Днепр.",2000,0,"Software Engineer",10,1.5,"C#/.NET","",33,"мужской","Высшее","средний","свыше 1000 человек"
"2","Харьков",1400,600,"Software Engineer",1.75,1.5,"PHP","",22,"мужской","Незаконченное высшее","выше среднего","до 50 человек"
"3","Днепр.",565,190,"Junior Software Engineer",1,1,"C#/.NET","",25,"мужской","Высшее","средний","до 1000 человек"
"4","Одесса",2800,300,"Senior Software Engineer",7,6,"C++","",30,"мужской","Кандидат","выше среднего","до 1000 человек"
"5","Киев",2000,500,"Software Engineer",3,0.25,"PHP","",32,"мужской","Высшее","средний","до 10 человек"
"6","Днепр.",1700,0,"Software Engineer",3,1,"Java","",29,"мужской","Высшее","средний","свыше 1000 человек"
"7","Киев",1300,100,"Software Engineer",2,1.25,"PHP","",23,"мужской","Незаконченное высшее","выше среднего","до 200 человек"
"8","Киев",1900,1000,"Software Engineer",2,1.5,"Java","",21,"мужской","Незаконченное высшее","выше среднего","до 1000 человек"
"9","Одесса",750,0,"Junior QA engineer",0.25,0,"","Manual QA",23,"мужской","Высшее","выше среднего","до 1000 человек"
"10","Киев",1520,520,"Software Engineer",2,1.75,"PHP","",32,"мужской","Высшее","средний","до 10 человек"
"11","Донецк",2500,500,"Project manager",6,2.5,"","",30,"мужской","Высшее","ниже среднего","до 50 человек"
"12","Киев",3000,1000,"Team lead",5,1.25,"","",24,"мужской","Высшее","средний","свыше 1000 человек"
"13","Киев",3000,600,"Senior Software Engineer",4.5,0.75,"JavaScript","",30,"мужской","Высшее","продвинутый","до 50 человек"
"14","Львов",1100,0,"QA engineer",4,0.5,"","General QA",25,"женский","Высшее","средний","до 200 человек"
"15","Киев",900,0,"Верстальщик",3,0,"","",22,"мужской","Высшее","ниже среднего","до 10 человек"
"16","Киев",3500,1300,"Software Engineer",3.5,0.25,"Objective-C","",24,"мужской","Высшее","средний","до 50 человек"
"18","Киев",1425,200,"QA engineer",3,1.5,"","General QA",23,"женский","Два высших","продвинутый","свыше 1000 человек"
"19","Киев",3000,500,"System Architect",5.5,3,"C#/.NET","",27,"мужской","Высшее","продвинутый","до 10 человек"
"20","Киев",2800,0,"Senior Software Engineer",3,0,"Ruby/Rails","",27,"мужской","Высшее","продвинутый","до 200 человек"
"21","Киев",3000,0,"Technical Lead",5,4,"C#/.NET","",32,"мужской","Высшее","средний","до 50 человек"
"22","Киев",3000,1200,"Senior Software Engineer",3,2,"Objective-C","",30,"мужской","Кандидат","продвинутый","до 50 человек"
"23","Днепр.",1500,300,"Senior Project Manager / Program Manager",1.25,1.25,"","",31,"мужской","Высшее","ниже среднего","до 50 человек"
"24","Харьков",4500,100,"Senior Project Manager / Program Manager",10,8,"","",33,"мужской","Высшее","продвинутый","до 1000 человек"
"25","Харьков",950,250,"Дизайнер",5.5,0.75,"","",24,"мужской","Высшее","ниже среднего","до 200 человек"
"26","Днепр.",2000,1700,"Junior Software Engineer",1,0,"Java","",27,"мужской","Высшее","ниже среднего","до 50 человек"
"27","Днепр.",2100,200,"Senior Software Engineer",4.5,2.5,"Java","",26,"мужской","Высшее","выше среднего","свыше 1000 человек"
"28","Киев",1500,0,"QA engineer",2.5,0.75,"","Automation QA",32,"женский","Высшее","продвинутый","до 50 человек"
"29","Львов",2500,0,"Software Engineer",2.5,1,"Ruby/Rails","",23,"мужской","Среднее","продвинутый","до 10 человек"
"30","Харьков",700,300,"QA engineer",2,2,"","General QA",25,"мужской","Высшее","средний","до 200 человек"
"31","Харьков",2200,200,"Technical Lead",10,10,"C#/.NET","",35,"мужской","Высшее","средний","свыше 1000 человек"
"32","Киев",2200,1000,"Software Engineer",2,0,"Java","",23,"мужской","Высшее","продвинутый","до 10 человек"
"33","Одесса",2500,700,"Software Engineer",3,1,"C#/.NET","",25,"мужской","Два высших","средний","до 200 человек"
"34","Киев",1500,700,"Software Engineer",2,10,"C#/.NET","",21,"мужской","Высшее","выше среднего","свыше 1000 человек"
"35","Харьков",1600,0,"Senior QA engineer",7,0.5,"","Manual QA",27,"мужской","Высшее","выше среднего","до 1000 человек"
"36","Львов",1350,400,"Software Engineer",4,4,"C#/.NET","",24,"мужской","Высшее","средний","свыше 1000 человек"
"37","Львов",1150,400,"QA engineer",2.5,2.5,"","General QA",25,"мужской","Незаконченное высшее","выше среднего","до 1000 человек"
"38","Харьков",3000,200,"Senior Software Engineer",4.5,0,"Objective-C","",24,"мужской","Незаконченное высшее","продвинутый","до 10 человек"
"39","Киев",1350,400,"Software Engineer",2.5,1.25,"PHP","",23,"мужской","Высшее","выше среднего","до 10 человек"
"40","Львов",2500,500,"Senior Software Engineer",7.5,0.5,"C#/.NET","",27,"мужской","Незаконченное высшее","средний","до 200 человек"
"41","Ивано-Франковск",1500,700,"Software Engineer",3,2.5,"C","",25,"мужской","Высшее","ниже среднего","до 200 человек"
"42","Киев",800,-2100,"Junior Software Engineer",9.5,9.5,"C++","",27,"мужской","Два высших","продвинутый","свыше 1000 человек"
"43","Львов",1700,200,"Software Engineer",5,4,"PHP","",25,"мужской","Высшее","выше среднего","до 10 человек"
"44","Киев",4300,700,"Technical Lead",4,0.75,"Java","",24,"мужской","Высшее","выше среднего","свыше 1000 человек"
"45","Одесса",2000,500,"Дизайнер",10,1.5,"","",33,"мужской","Незаконченное высшее","средний","до 200 человек"
"46","Харьков",1100,500,"Дизайнер",5,2,"","",23,"мужской","Незаконченное высшее","средний","до 50 человек"
"47","Симферополь",900,300,"QA engineer",4,1,"","Manual QA",29,"мужской","Высшее","средний","до 10 человек"
"49","Харьков",1500,0,"Director of Engineering / Program Director",3,1.5,"","",22,"мужской","Высшее","средний","до 10 человек"
"50","Севастополь",2500,1500,"Software Engineer",3,0.5,"Ruby/Rails","",23,"мужской","Высшее","средний","до 200 человек"
"51","Ивано-Франковск",750,200,"Верстальщик",2,2,"","",25,"мужской","Высшее","ниже среднего","до 50 человек"
"52","Киев",3500,1000,"Senior Software Engineer",10,0.75,"Objective-C","",36,"мужской","Высшее","элементарный","до 10 человек"
"53","Львов",300,50,"Junior QA engineer",0.5,0.5,"","Manual QA",23,"мужской","Высшее","выше среднего","до 1000 человек"
"54","Одесса",1800,0,"Software Engineer",6,1.5,"C#/.NET","",26,"мужской","Высшее","средний","до 200 человек"
