,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты,Город,Размер компании,Пол,Возраст,Образование,Уровень английского,Дата заполнения,User-Agent
,Software Engineer,C#/.NET,,10 и более лет,1.5,2000,0,Днепропетровск,свыше 1000 человек,m,33,Высшее,средний,18/12/2012 12:19:33,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
,Software Engineer,PHP,,1.75,1.5,1400,600,Харьков,до 50 человек,m,22,Незаконченное высшее,выше среднего,18/12/2012 12:21:02,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11"
,Junior Software Engineer,C#/.NET,,1,1,565,190,Днепропетровск,до 1000 человек,m,25,Высшее,средний,18/12/2012 12:21:32,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,C++,,7,6,2800,300,Одесса,до 1000 человек,m,30,Кандидат,выше среднего,18/12/2012 12:21:35,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Software Engineer,PHP,,3,0.25,2000,500,Киев,до 10 человек,m,32,Высшее,средний,18/12/2012 12:22:22,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:17.0) Gecko/20100101 Firefox/17.0
,Software Engineer,Java,,3,1,1700,0,Днепропетровск,свыше 1000 человек,m,29,Высшее,средний,18/12/2012 12:23:24,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,PHP,,2,1.25,1300,100,Киев,до 200 человек,m,23,Незаконченное высшее,выше среднего,18/12/2012 12:24:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,Java,,2,1.5,1900,1000,Киев,до 1000 человек,m,21,Незаконченное высшее,выше среднего,18/12/2012 12:24:12,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11"
,Junior QA engineer,,Manual QA,0.25,меньше 3 месяцев,750,0,Одесса,до 1000 человек,m,23,Высшее,выше среднего,18/12/2012 12:24:19,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Software Engineer,PHP,,2,1.75,1520,520,Киев,до 10 человек,m,32,Высшее,средний,18/12/2012 12:25:14,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Project manager,,,6,2.5,2500,500,Донецк,до 50 человек,m,30,Высшее,ниже среднего,18/12/2012 12:25:49,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Team lead,,,5,1.25,3000,1000,Киев,свыше 1000 человек,m,24,Высшее,средний,18/12/2012 12:26:16,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,JavaScript,,4.5,0.75,3000,600,Киев,до 50 человек,m,30,Высшее,продвинутый,18/12/2012 12:26:31,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,QA engineer,,General QA,4,0.5,1100,0,Львов,до 200 человек,f,25,Высшее,средний,18/12/2012 12:26:37,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Верстальщик,,,3,меньше 3 месяцев,900,0,Киев,до 10 человек,m,22,Высшее,ниже среднего,18/12/2012 12:26:58,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,Objective-C,,3.5,0.25,3500,1300,Киев,до 50 человек,m,24,Высшее,средний,18/12/2012 12:27:02,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11"
,Software Engineer,Java,,4,меньше 3 месяцев,8000,5000,Харьков,до 50 человек,m,26,Высшее,ниже среднего,18/12/2012 12:27:19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,QA engineer,,General QA,3,1.5,1425,200,Киев,свыше 1000 человек,f,23,Два высших,продвинутый,18/12/2012 12:27:21,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11"
,System Architect,C#/.NET,,5.5,3,3000,500,Киев,до 10 человек,m,27,Высшее,продвинутый,18/12/2012 12:27:44,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,Ruby/Rails,,3,меньше 3 месяцев,2800,0,Киев,до 200 человек,m,27,Высшее,продвинутый,18/12/2012 12:28:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Technical Lead,C#/.NET,,5,4,3000,0,Киев,до 50 человек,m,32,Высшее,средний,18/12/2012 12:28:50,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,Objective-C,,3,2,3000,1200,Киев,до 50 человек,m,30,Кандидат,продвинутый,18/12/2012 12:28:55,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Project Manager / Program Manager,,,1.25,1.25,1500,300,Днепропетровск,до 50 человек,m,31,Высшее,ниже среднего,18/12/2012 12:29:20,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Project Manager / Program Manager,,,10 и более лет,8,4500,100,Харьков,до 1000 человек,m,33,Высшее,продвинутый,18/12/2012 12:29:31,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
