"","X","Возраст","Пол","Должность","Образование","Язык.программирования","Индустрия","Предметная.область","Доп..специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Средняя.зарплата.в.месяц","Валюта","Годовые.премии.и.бонусы","Валюта.1","Размер.компании","Город","Уровень.английского","Дата.заполнения","User.Agent","exp","loc","salary","cls"
"1",NA,19,"m","Junior QA engineer","Незаконченное высшее","","Нету",NA,"Manual QA","0.75","0.5",300,"d",0,"d","до 10 человек","Киев","элементарный","15/05/2012 13:52:17","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.168 Safari/535.19",0.75,"Киев",300,"QA"
"2",NA,36,"m","Senior Software Engineer","Высшее","PHP","Нету",NA,"","6","6",1700,"d",0,"d","до 50 человек","Харьков","средний","15/05/2012 16:31:05","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.165 Safari/535.19",6,"Харьков",1700,"DEV"
"3",NA,23,"m","Junior Software Engineer","Незаконченное высшее","Java","Нету",NA,"","0.75","0.75",7500,"h",3000,"h","до 200 человек","Киев","продвинутый","17/05/2012 02:16:32","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.168 Safari/535.19",0.75,"Киев",937.5,"DEV"
"4",NA,30,"m","Senior Software Engineer","Высшее","Python","Нету",NA,"","7.5","5",1000,"d",0,"d","до 10 человек","Киев","выше среднего","18/05/2012 12:17:49","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",7.5,"Киев",1000,"DEV"
"5",NA,26,"m","Системный администратор","Высшее","","Нету",NA,"","4","1",1300,"d",0,"d","до 100 человек","Харьков","выше среднего","21/05/2012 08:03:45","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",4,"Харьков",1300,"ADM"
"6",NA,23,"m","Software Engineer","Высшее","C#/.NET","Нету",NA,"","2","1",1000,"d",200,"d","до 50 человек","Днепр.","ниже среднего","23/05/2012 00:13:00","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",2,"Днепр.",1000,"DEV"
"7",NA,23,"m","Senior Software Engineer","Высшее","C#/.NET","Нету",NA,"","2","0.25",3900,"d",4000,"d","до 10 человек","Киев","выше среднего","23/05/2012 11:49:20","Opera/9.80 (Windows NT 6.2; WOW64; U; en) Presto/2.10.229 Version/11.62",2,"Киев",3900,"DEV"
"8",NA,22,"m","Junior QA engineer","Незаконченное высшее","","Нету",NA,"Manual QA","0.75","0.5",400,"d",0,"d","до 10 человек","Львов","средний","23/05/2012 19:12:32","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",0.75,"Львов",400,"QA"
"9",NA,25,"m","Software Engineer","Высшее","Java","Нету",NA,"","4","0.25",3000,"d",0,"d","до 50 человек","Харьков","средний","24/05/2012 10:42:36","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.19 (KHTML, like Gecko) Ubuntu/12.04 Chromium/18.0.1025.151 Chrome/18.0.1025.151 Safari/535.19",4,"Харьков",3000,"DEV"
"10",NA,27,"m","Системный администратор","Высшее","","Нету",NA,"","3","2.5",1350,"d",0,"d","до 200 человек","Киев","средний","24/05/2012 10:42:52","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",3,"Киев",1350,"ADM"
"11",NA,25,"m","Team lead","Высшее","","Нету",NA,"","4","1.5",3500,"d",0,"d","до 200 человек","Киев","выше среднего","24/05/2012 10:44:35","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",4,"Киев",3500,"PM"
"12",NA,25,"m","Верстальщик","Высшее","","Нету",NA,"","1","0.5",1100,"d",0,"d","до 200 человек","Киев","средний","24/05/2012 10:45:01","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",1,"Киев",1100,""
