"Город","salary","Должность","exp","Язык.программирования"
"1","Киев",300,"Junior QA engineer",0.75,""
"2","Харьков",1700,"Senior Software Engineer",6,"PHP"
"3","Киев",937.5,"Junior Software Engineer",0.75,"Java"
"4","Киев",1000,"Senior Software Engineer",7.5,"Python"
"5","Харьков",1300,"Системный администратор",4,""
"6","Днепр.",1000,"Software Engineer",2,"C#/.NET"
"7","Киев",3900,"Senior Software Engineer",2,"C#/.NET"
"8","Львов",400,"Junior QA engineer",0.75,""
"9","Харьков",3000,"Software Engineer",4,"Java"
"10","Киев",1350,"Системный администратор",3,""
"11","Киев",3500,"Team lead",4,""
"12","Киев",1100,"Верстальщик",1,""
"13","Днепр.",2000,"Senior Software Engineer",5,"C++"
"14","Днепр.",1200,"Software Engineer",3,"PHP"
"15","Харьков",2000,"Software Engineer",4.5,"C#/.NET"
"16","Харьков",1200,"Software Engineer",3,"Ruby/Rails"
"17","Одесса",2700,"Software Engineer",2,"C#/.NET"
"18","Киев",1300,"Software Engineer",10,"C++"
"19","Одесса",2200,"Senior QA engineer",2,""
"20","Харьков",1000,"QA engineer",1.75,""
"21","Киев",2300,"Senior QA engineer",4,""
"22","Киев",3000,"Senior Software Engineer",5,"Python"
"23","Киев",3200,"Senior Software Engineer",7,"C#/.NET"
"24","Киев",3400,"Technical Lead",10,"Java"
"25","Харьков",2400,"Software Engineer",3,"Objective-C"
"26","Чернигов",1000,"Software Engineer",2.5,"Java"
"27","Киев",1300,"Верстальщик",2,""
"28","Киев",1200,"Project manager",3,""
"29","Днепр.",2000,"Senior Software Engineer",6,"C"
"30","Львов",500,"Junior Software Engineer",0.75,"Java"
"31","Харьков",2100,"Software Engineer",2,"Objective-C"
"32","Днепр.",2200,"Software Engineer",2,"Ruby/Rails"
"33","Симферополь",375,"Junior Software Engineer",1,"Flex/Flash/AIR"
"34","Киев",3500,"Senior Software Engineer",2.5,"Java"
"35","Харьков",3500,"System Architect",10,"C++"
"36","Днепр.",2000,"Software Engineer",2,"Objective-C"
"37","Львов",3500,"Technical Lead",4.5,"C#/.NET"
"38","Киев",2800,"Senior Software Engineer",5,"C#/.NET"
"39","Днепр.",1200,"Технический писатель",2,""
"40","Харьков",500,"Software Engineer",3,"Delphi"
"41","Киев",4000,"Technical Lead",6.5,"Java"
"42","Киев",3000,"Senior Software Engineer",3,"Objective-C"
"43","Киев",700,"Верстальщик",2,""
"44","Киев",2300,"Software Engineer",4,"SQL"
"45","Днепр.",500,"Junior Software Engineer",0.75,"PHP"
"46","Симферополь",2000,"Senior Software Engineer",3,"C++"
"47","Киев",2500,"Software Engineer",5,"PHP"
"48","Киев",1836,"Software Engineer",4,"C#/.NET"
"49","Харьков",700,"Software Engineer",2.5,"PHP"
"50","Николаев",1700,"Software Engineer",2.5,"Java"
"51","Харьков",1700,"Senior Software Engineer",9,"C#/.NET"
"52","Киев",4000,"Director of Engineering / Program Director",3,""
