"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"1",NA,"Software Engineer","Java","","1.5","0.25",1300,800,"Львов","до 200 человек","Аутстаффинговая","мужской",25,"Высшее","False","выше среднего","Android,Desktop Applications","20/12/2013 12:00:56","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36",1.5,0.25,"Львов",1300,NA,"DEV"
"2",NA,"HR","","","1.5","меньше 3 месяцев",700,200,"Киев","до 200 человек","Аутсорсинговая","женский",25,"Высшее","False","выше среднего","Другое","20/12/2013 12:01:53","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1.5,0,"Киев",700,NA,""
"3",NA,"Junior Software Engineer","Java","","0.25","0.25",750,200,"Днепр.","до 200 человек","Продуктовая","мужской",23,"Высшее","False","средний","eCommerce","20/12/2013 12:05:31","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",0.25,0.25,"Днепр.",750,NA,"DEV"
"4",NA,"Senior Software Engineer","C#/.NET","","6.5","6.5",2700,60,"Киев","до 200 человек","Продуктовая","мужской",28,"Два высших","False","продвинутый","Desktop Applications,Финансы и банки","20/12/2013 12:05:53","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",6.5,6.5,"Киев",2700,NA,"DEV"
"5",NA,"Project manager","","","3","1",1800,-500,"Львов","до 1000 человек","Аутсорсинговая","мужской",23,"Высшее","False","выше среднего","Android,iOS","20/12/2013 12:06:07","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3,1,"Львов",1800,NA,"PM"
"6",NA,"Senior QA engineer","","Automation QA","6","1.5",2800,100,"Киев","до 1000 человек","Аутстаффинговая","мужской",27,"Высшее","False","средний","Desktop Applications,Веб-разработка","20/12/2013 12:08:38","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",6,1.5,"Киев",2800,NA,"QA"
"7",NA,"Software Engineer","Java","","3","2",3000,1000,"Львов","свыше 1000 человек","Продуктовая","мужской",32,"Кандидат","False","выше среднего","Корпоративные системы","20/12/2013 12:08:43","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3,2,"Львов",3000,NA,"DEV"
"8",NA,"Software Engineer","Java","","5","меньше 3 месяцев",4600,0,"Киев","до 200 человек","Продуктовая","мужской",26,"Незаконченное высшее","False","выше среднего","Другое","20/12/2013 12:09:47","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9) AppleWebKit/537.71 (KHTML, like Gecko) Version/7.0 Safari/537.71",5,0,"Киев",4600,NA,"DEV"
"9",NA,"Software Engineer","PHP","","меньше 3 месяцев","меньше 3 месяцев",850,0,"Киев","до 10 человек","Другая","мужской",22,"Незаконченное высшее","False","средний","Телекоммуникации","20/12/2013 12:12:05","Mozilla/5.0 (X11; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0",0,0,"Киев",850,NA,"DEV"
"10",NA,"Junior Software Engineer","C#/.NET","","1.5","меньше 3 месяцев",1200,600,"Днепр.","до 10 человек","Аутстаффинговая","мужской",22,"Высшее","False","выше среднего","Веб-разработка","20/12/2013 12:14:39","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1.5,0,"Днепр.",1200,NA,"DEV"
