,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
,Software Engineer,Java,,1.5,0.25,1300,800,Львов,до 200 человек,Аутстаффинговая,m,25,Высшее,False,выше среднего,"Android,Desktop Applications",20/12/2013 12:00:56,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36"
,HR,,,1.5,меньше 3 месяцев,700,200,Киев,до 200 человек,Аутсорсинговая,f,25,Высшее,False,выше среднего,Другое,20/12/2013 12:01:53,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,Java,,0.25,0.25,750,200,Днепропетровск,до 200 человек,Продуктовая,m,23,Высшее,False,средний,eCommerce,20/12/2013 12:05:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36"
,Senior Software Engineer,C#/.NET,,6.5,6.5,2700,60,Киев,до 200 человек,Продуктовая,m,28,Два высших,False,продвинутый,"Desktop Applications,Финансы и банки",20/12/2013 12:05:53,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,Project manager,,,3,1,1800,-500,Львов,до 1000 человек,Аутсорсинговая,m,23,Высшее,False,выше среднего,"Android,iOS",20/12/2013 12:06:07,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior QA engineer,,Automation QA,6,1.5,2800,100,Киев,до 1000 человек,Аутстаффинговая,m,27,Высшее,False,средний,"Desktop Applications,Веб-разработка",20/12/2013 12:08:38,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0
,Software Engineer,Java,,3,2,3000,1000,Львов,свыше 1000 человек,Продуктовая,m,32,Кандидат,False,выше среднего,Корпоративные системы,20/12/2013 12:08:43,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Java,,5,меньше 3 месяцев,4600,0,Киев,до 200 человек,Продуктовая,m,26,Незаконченное высшее,False,выше среднего,Другое,20/12/2013 12:09:47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9) AppleWebKit/537.71 (KHTML, like Gecko) Version/7.0 Safari/537.71"
,Software Engineer,PHP,,меньше 3 месяцев,меньше 3 месяцев,850,0,Киев,до 10 человек,Другая,m,22,Незаконченное высшее,False,средний,Телекоммуникации,20/12/2013 12:12:05,Mozilla/5.0 (X11; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0
,Junior Software Engineer,C#/.NET,,1.5,меньше 3 месяцев,1200,600,Днепропетровск,до 10 человек,Аутстаффинговая,m,22,Высшее,False,выше среднего,Веб-разработка,20/12/2013 12:14:39,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
