"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Пол","Возраст","Образование","Уровень.английского","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"1",NA,"Software Engineer","Java","","2","2",715,80,"Львов","до 1000 человек","мужской",24,"Высшее","средний","20/05/2013 13:19:51","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",2,2,"Львов",715,NA,"DEV"
"2",NA,"Software Engineer","Java","","5","1",3000,700,"Киев","свыше 1000 человек","мужской",23,"Высшее","выше среднего","20/05/2013 13:20:25","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31",5,1,"Киев",3000,NA,"DEV"
"3",NA,"Software Engineer","C#/.NET","","4.5","2",2100,400,"Киев","до 200 человек","мужской",26,"Высшее","средний","20/05/2013 13:20:30","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",4.5,2,"Киев",2100,NA,"DEV"
"4",NA,"Software Engineer","Java","","3","3",1700,350,"Львов","до 200 человек","мужской",23,"Высшее","средний","20/05/2013 13:22:00","Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15",3,3,"Львов",1700,NA,"DEV"
"5",NA,"Software Engineer","C#/.NET","","8","меньше 3 месяцев",2000,500,"Харьков","до 50 человек","мужской",24,"Высшее","ниже среднего","20/05/2013 13:22:12","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0",8,0,"Харьков",2000,NA,"DEV"
"6",NA,"Software Engineer","Python","","3","1",1800,0,"Киев","до 1000 человек","мужской",26,"Высшее","средний","20/05/2013 13:22:28","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17",3,1,"Киев",1800,NA,"DEV"
"7",NA,"Software Engineer","C#/.NET","","5","5",2200,400,"Киев","до 200 человек","мужской",26,"Высшее","средний","20/05/2013 13:23:03","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0",5,5,"Киев",2200,NA,"DEV"
"8",NA,"Team lead","","","5","5",2400,0,"Донецк","до 50 человек","мужской",29,"Незаконченное высшее","продвинутый","20/05/2013 13:23:04","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31",5,5,"other",2400,NA,"PM"
"9",NA,"Software Engineer","PHP","","2","0.25",2000,1200,"Киев","до 10 человек","мужской",22,"Незаконченное высшее","выше среднего","20/05/2013 13:23:31","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22",2,0.25,"Киев",2000,NA,"DEV"
"10",NA,"Software Engineer","Java (Android)","","2.5","0.5",1050,100,"Львов","до 1000 человек","мужской",28,"Незаконченное высшее","выше среднего","20/05/2013 13:23:34","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0",2.5,0.5,"Львов",1050,NA,"DEV"
"11",NA,"Senior Software Engineer","C#/.NET","","5","1.5",3700,400,"Киев","свыше 1000 человек","мужской",23,"Высшее","продвинутый","20/05/2013 13:23:48","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",5,1.5,"Киев",3700,NA,"DEV"
"12",NA,"Software Engineer","PHP","","1.25","0.5",600,350,"Харьков","до 10 человек","мужской",22,"Высшее","выше среднего","20/05/2013 13:23:54","Mozilla/5.0 (Windows NT 6.1; rv:20.0) Gecko/20100101 Firefox/20.0",1.25,0.5,"Харьков",600,NA,"DEV"
"13",NA,"Technical Lead","Java","","6.5","1",4000,500,"Киев","до 200 человек","мужской",28,"Высшее","выше среднего","20/05/2013 13:24:49","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",6.5,1,"Киев",4000,NA,"SDEV"
"14",NA,"Senior Software Engineer","C#/.NET","","10 и более лет","4",1800,400,"Донецк","до 10 человек","мужской",37,"Высшее","средний","20/05/2013 13:25:03","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",10,4,"other",1800,NA,"DEV"
"15",NA,"Project manager","","","9.5","9.5",3350,150,"Львов","свыше 1000 человек","мужской",31,"Высшее","выше среднего","20/05/2013 13:25:11","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0",9.5,9.5,"Львов",3350,NA,"PM"
"16",NA,"Junior Software Engineer","Java","","1","1",1250,500,"Киев","до 50 человек","мужской",23,"Высшее","продвинутый","20/05/2013 13:25:30","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",1,1,"Киев",1250,NA,"DEV"
"17",NA,"Team lead","","","7","1",4000,500,"Киев","до 50 человек","мужской",29,"Высшее","ниже среднего","20/05/2013 13:25:40","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31",7,1,"Киев",4000,NA,"PM"
"18",NA,"Software Engineer","PHP","","5","1",3000,400,"Киев","до 1000 человек","мужской",26,"Высшее","средний","20/05/2013 13:25:44","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31",5,1,"Киев",3000,NA,"DEV"
"19",NA,"QA Tech Lead","","General QA","8","1",2000,0,"Львов","до 200 человек","мужской",30,"Высшее","выше среднего","20/05/2013 13:25:57","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0",8,1,"Львов",2000,NA,"QA"
"20",NA,"Software Engineer","C#/.NET","","7","2.5",1000,0,"Харьков","до 10 человек","мужской",30,"Высшее","ниже среднего","20/05/2013 13:26:16","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",7,2.5,"Харьков",1000,NA,"DEV"
"21",NA,"Technical Lead","Java","","10 и более лет","1.5",4500,0,"Черновцы","до 10 человек","мужской",33,"Высшее","выше среднего","20/05/2013 13:26:20","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",10,1.5,"other",4500,NA,"SDEV"
"22",NA,"Software Engineer","Python","","4","1.5",3000,1000,"Киев","до 1000 человек","мужской",25,"Высшее","выше среднего","20/05/2013 13:26:31","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.160 Safari/537.22",4,1.5,"Киев",3000,NA,"DEV"
"23",NA,"Software Engineer","C","","4","1",3500,500,"Киев","до 200 человек","мужской",25,"Среднее","выше среднего","20/05/2013 13:26:35","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31",4,1,"Киев",3500,NA,"DEV"
"24",NA,"Junior Software Engineer","Ruby/Rails","","1","1",800,600,"Харьков","до 10 человек","мужской",23,"Незаконченное высшее","средний","20/05/2013 13:26:47","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11",1,1,"Харьков",800,NA,"DEV"
"25",NA,"Software Engineer","JavaScript","","2.5","0.75",2200,900,"Киев","до 200 человек","мужской",24,"Высшее","выше среднего","20/05/2013 13:27:02","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31",2.5,0.75,"Киев",2200,NA,"DEV"
"26",NA,"Software Engineer","C#/.NET","","6.5","1.75",1980,330,"Львов","до 50 человек","мужской",27,"Высшее","выше среднего","20/05/2013 13:27:14","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",6.5,1.75,"Львов",1980,NA,"DEV"
"27",NA,"Software Engineer","PHP","","5","0.75",500,-500,"Киев","до 10 человек","мужской",35,"Среднее","ниже среднего","20/05/2013 13:27:19","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22 FirePHP/4Chrome",5,0.75,"Киев",500,NA,"DEV"
"28",NA,"Technical Lead","C#/.NET","","3.5","1.5",3150,0,"Одесса","до 1000 человек","мужской",30,"Два высших","продвинутый","20/05/2013 13:27:33","Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15",3.5,1.5,"other",3150,NA,"SDEV"
"29",NA,"QA engineer","","General QA","2.5","2.5",2000,400,"Киев","свыше 1000 человек","мужской",25,"Высшее","средний","20/05/2013 13:27:42","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:14.0) Gecko/20100101 Firefox/14.0.1",2.5,2.5,"Киев",2000,NA,"QA"
"30",NA,"QA engineer","","General QA","3","меньше 3 месяцев",2500,700,"Киев","до 50 человек","женский",24,"Высшее","продвинутый","20/05/2013 13:27:46","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:21.0) Gecko/20100101 Firefox/21.0",3,0,"Киев",2500,NA,"QA"
"31",NA,"Software Engineer","Java (Android)","","1.5","1",1500,1000,"Харьков","до 200 человек","мужской",23,"Два высших","выше среднего","20/05/2013 13:27:54","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",1.5,1,"Харьков",1500,NA,"DEV"
