"Город","Зарплата.в.месяц","Изменение.зарплаты","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Уровень.английского","Размер.компании"
"1","Львов",715,80,"Software Engineer",2,2,"Java","",24,"мужской","Высшее","средний","до 1000 человек"
"2","Киев",3000,700,"Software Engineer",5,1,"Java","",23,"мужской","Высшее","выше среднего","свыше 1000 человек"
"3","Киев",2100,400,"Software Engineer",4.5,2,"C#/.NET","",26,"мужской","Высшее","средний","до 200 человек"
"4","Львов",1700,350,"Software Engineer",3,3,"Java","",23,"мужской","Высшее","средний","до 200 человек"
"5","Харьков",2000,500,"Software Engineer",8,0,"C#/.NET","",24,"мужской","Высшее","ниже среднего","до 50 человек"
"6","Киев",1800,0,"Software Engineer",3,1,"Python","",26,"мужской","Высшее","средний","до 1000 человек"
"7","Киев",2200,400,"Software Engineer",5,5,"C#/.NET","",26,"мужской","Высшее","средний","до 200 человек"
"8","Донецк",2400,0,"Team lead",5,5,"","",29,"мужской","Незаконченное высшее","продвинутый","до 50 человек"
"9","Киев",2000,1200,"Software Engineer",2,0.25,"PHP","",22,"мужской","Незаконченное высшее","выше среднего","до 10 человек"
"10","Львов",1050,100,"Software Engineer",2.5,0.5,"Java (Android)","",28,"мужской","Незаконченное высшее","выше среднего","до 1000 человек"
"11","Киев",3700,400,"Senior Software Engineer",5,1.5,"C#/.NET","",23,"мужской","Высшее","продвинутый","свыше 1000 человек"
"12","Харьков",600,350,"Software Engineer",1.25,0.5,"PHP","",22,"мужской","Высшее","выше среднего","до 10 человек"
"13","Киев",4000,500,"Technical Lead",6.5,1,"Java","",28,"мужской","Высшее","выше среднего","до 200 человек"
"14","Донецк",1800,400,"Senior Software Engineer",10,4,"C#/.NET","",37,"мужской","Высшее","средний","до 10 человек"
"15","Львов",3350,150,"Project manager",9.5,9.5,"","",31,"мужской","Высшее","выше среднего","свыше 1000 человек"
"16","Киев",1250,500,"Junior Software Engineer",1,1,"Java","",23,"мужской","Высшее","продвинутый","до 50 человек"
"17","Киев",4000,500,"Team lead",7,1,"","",29,"мужской","Высшее","ниже среднего","до 50 человек"
"18","Киев",3000,400,"Software Engineer",5,1,"PHP","",26,"мужской","Высшее","средний","до 1000 человек"
"19","Львов",2000,0,"QA Tech Lead",8,1,"","General QA",30,"мужской","Высшее","выше среднего","до 200 человек"
"20","Харьков",1000,0,"Software Engineer",7,2.5,"C#/.NET","",30,"мужской","Высшее","ниже среднего","до 10 человек"
"21","Черновцы",4500,0,"Technical Lead",10,1.5,"Java","",33,"мужской","Высшее","выше среднего","до 10 человек"
"22","Киев",3000,1000,"Software Engineer",4,1.5,"Python","",25,"мужской","Высшее","выше среднего","до 1000 человек"
"23","Киев",3500,500,"Software Engineer",4,1,"C","",25,"мужской","Среднее","выше среднего","до 200 человек"
"24","Харьков",800,600,"Junior Software Engineer",1,1,"Ruby/Rails","",23,"мужской","Незаконченное высшее","средний","до 10 человек"
"25","Киев",2200,900,"Software Engineer",2.5,0.75,"JavaScript","",24,"мужской","Высшее","выше среднего","до 200 человек"
"26","Львов",1980,330,"Software Engineer",6.5,1.75,"C#/.NET","",27,"мужской","Высшее","выше среднего","до 50 человек"
"27","Киев",500,-500,"Software Engineer",5,0.75,"PHP","",35,"мужской","Среднее","ниже среднего","до 10 человек"
"28","Одесса",3150,0,"Technical Lead",3.5,1.5,"C#/.NET","",30,"мужской","Два высших","продвинутый","до 1000 человек"
"29","Киев",2000,400,"QA engineer",2.5,2.5,"","General QA",25,"мужской","Высшее","средний","свыше 1000 человек"
"30","Киев",2500,700,"QA engineer",3,0,"","General QA",24,"женский","Высшее","продвинутый","до 50 человек"
"31","Харьков",1500,1000,"Software Engineer",1.5,1,"Java (Android)","",23,"мужской","Два высших","выше среднего","до 200 человек"
"32","Киев",800,300,"Верстальщик",1.75,1,"","",22,"мужской","Высшее","ниже среднего","до 10 человек"
"33","Киев",2800,800,"Senior QA engineer",3,1,"","Manual QA",26,"мужской","Высшее","выше среднего","свыше 1000 человек"
"34","Одесса",2500,0,"Software Engineer",3,1.75,"Java (Android)","",26,"мужской","Высшее","средний","до 200 человек"
"35","Киев",2046,0,"Senior Software Engineer",5,2,"Java","",28,"мужской","Высшее","средний","до 200 человек"
"36","Севастополь",2650,150,"Team lead",4,1.5,"","",24,"мужской","Высшее","выше среднего","до 200 человек"
"37","Чернигов",1600,600,"Technical Lead",6.5,3,"PHP","",29,"мужской","Высшее","выше среднего","до 50 человек"
"38","Киев",3850,350,"Senior Software Engineer",8,1.5,"C#/.NET","",29,"мужской","Высшее","продвинутый","до 50 человек"
"39","Днепр.",2400,300,"Senior Software Engineer",6.5,2.5,"Java (Android)","",27,"мужской","Высшее","средний","до 50 человек"
"40","Киев",4000,0,"Technical Lead",6,1,"PHP","",26,"мужской","Высшее","выше среднего","до 10 человек"
"41","Киев",2500,300,"Senior QA engineer",3,0.25,"","Automation QA",26,"мужской","Незаконченное высшее","выше среднего","до 200 человек"
"42","Киев",2300,200,"Software Engineer",10,1.5,"Delphi","",31,"мужской","Высшее","выше среднего","до 200 человек"
"43","Харьков",1500,250,"QA engineer",4.5,3.5,"","Manual QA",27,"мужской","Высшее","ниже среднего","до 200 человек"
"44","Киев",3000,1750,"Senior Software Engineer",3,0.25,"Objective-C","",25,"мужской","Высшее","ниже среднего","до 10 человек"
"45","Одесса",2000,200,"Team lead",5,1.25,"","",29,"мужской","Незаконченное высшее","выше среднего","свыше 1000 человек"
"46","Киев",1425,500,"Software Engineer",2.5,0.75,"C++","",24,"мужской","Высшее","ниже среднего","до 200 человек"
"47","Киев",500,0,"Junior Software Engineer",0.5,0.5,"Java (Android)","",20,"мужской","Незаконченное высшее","средний","до 10 человек"
"48","Симферополь",3800,1000,"Senior Software Engineer",7,3,"C#/.NET","",27,"мужской","Высшее","средний","до 10 человек"
"49","Харьков",1700,300,"Software Engineer",5,2,"PHP","",29,"мужской","Высшее","выше среднего","до 10 человек"
"50","Киев",1375,500,"Software Engineer",4,3,"PHP","",25,"мужской","Высшее","средний","до 10 человек"
"51","Сумы",338,150,"Junior Software Engineer",1.25,0,"PHP","",22,"мужской","Незаконченное высшее","ниже среднего","до 50 человек"
"52","Киев",4000,0,"Technical Lead",6,1.5,"JavaScript","",27,"мужской","Высшее","выше среднего","до 10 человек"
"53","Днепр.",3100,500,"Senior Software Engineer",4,2,"Ruby/Rails","",25,"мужской","Высшее","средний","до 50 человек"
"54","Киев",3800,800,"Senior Project Manager / Program Manager",4.5,1.75,"","",27,"мужской","Два высших","продвинутый","свыше 1000 человек"
"55","Киев",3000,500,"Senior Software Engineer",2.5,0.5,"Python","",26,"мужской","Высшее","выше среднего","до 200 человек"
"56","Киев",2400,200,"QA engineer",6.5,0.75,"","Automation QA",28,"мужской","Высшее","средний","свыше 1000 человек"
"57","Донецк",400,0,"Project manager",1.75,1.75,"","",24,"мужской","Незаконченное высшее","ниже среднего","до 10 человек"
"58","Киев",2200,200,"Software Engineer",4,1,"C#/.NET","",27,"мужской","Высшее","выше среднего","свыше 1000 человек"
"59","Хмельницкий",350,1,"Software Engineer",2.5,1,"PHP","",22,"мужской","Высшее","элементарный","до 10 человек"
"60","Одесса",1200,600,"Software Engineer",2,2,"Java","",25,"мужской","Высшее","средний","свыше 1000 человек"
"61","Днепр.",1700,0,"Software Engineer",2.5,0.25,"C#/.NET","",24,"мужской","Высшее","средний","до 1000 человек"
"62","Киев",4500,500,"Senior Software Engineer",5,2,"Java","",25,"мужской","Высшее","выше среднего","до 50 человек"
"63","Харьков",1400,0,"Software Engineer",5,4,"JavaScript","",24,"мужской","Высшее","ниже среднего","до 1000 человек"
"64","Киев",3420,200,"Senior Software Engineer",5.5,1.25,"Java (Android)","",25,"мужской","Высшее","выше среднего","до 1000 человек"
"65","Львов",2050,250,"Software Engineer",2.5,1.5,"Java","",31,"мужской","Кандидат","средний","до 50 человек"
"66","Киев",1600,200,"Software Engineer",3,2.5,"Python","",25,"мужской","Высшее","средний","до 10 человек"
"67","Киев",1300,600,"Верстальщик",2,0.25,"JavaScript","",21,"мужской","Незаконченное высшее","средний","до 200 человек"
"68","Киев",3500,0,"Senior Software Engineer",10,1.25,"Objective-C","",37,"мужской","Высшее","элементарный","до 10 человек"
"69","Киев",1800,600,"Senior QA engineer",3,2,"","Manual QA",22,"женский","Незаконченное высшее","выше среднего","свыше 1000 человек"
"70","Днепр.",1900,200,"Системный администратор",10,3,"","",40,"мужской","Высшее","выше среднего","до 10 человек"
"71","Одесса",800,0,"Гейм-дизайнер",5,3,"","",27,"мужской","Два высших","продвинутый","до 1000 человек"
"72","Полтава",1200,500,"Junior Software Engineer",9,0.5,"PHP","",27,"мужской","Два высших","выше среднего","до 50 человек"
"73","Днепр.",2500,0,"Senior Software Engineer",4,2,"PHP","",29,"мужской","Высшее","ниже среднего","до 10 человек"
