,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты,Город,Размер компании,Пол,Возраст,Образование,Уровень английского,Дата заполнения,User-Agent
,Software Engineer,Java,,2,2,715,80,Львов,до 1000 человек,m,24,Высшее,средний,20/05/2013 13:19:51,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Java,,5,1,3000,700,Киев,свыше 1000 человек,m,23,Высшее,выше среднего,20/05/2013 13:20:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
,Software Engineer,C#/.NET,,4.5,2,2100,400,Киев,до 200 человек,m,26,Высшее,средний,20/05/2013 13:20:30,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Java,,3,3,1700,350,Львов,до 200 человек,m,23,Высшее,средний,20/05/2013 13:22:00,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
,Software Engineer,C#/.NET,,8,меньше 3 месяцев,2000,500,Харьков,до 50 человек,m,24,Высшее,ниже среднего,20/05/2013 13:22:12,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Software Engineer,Python,,3,1,1800,0,Киев,до 1000 человек,m,26,Высшее,средний,20/05/2013 13:22:28,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17"
,Software Engineer,C#/.NET,,5,5,2200,400,Киев,до 200 человек,m,26,Высшее,средний,20/05/2013 13:23:03,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0
,Team lead,,,5,5,2400,0,Донецк,до 50 человек,m,29,Незаконченное высшее,продвинутый,20/05/2013 13:23:04,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Software Engineer,PHP,,2,0.25,2000,1200,Киев,до 10 человек,m,22,Незаконченное высшее,выше среднего,20/05/2013 13:23:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
,Software Engineer,Java (Android),,2.5,0.5,1050,100,Львов,до 1000 человек,m,28,Незаконченное высшее,выше среднего,20/05/2013 13:23:34,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0
,Senior Software Engineer,C#/.NET,,5,1.5,3700,400,Киев,свыше 1000 человек,m,23,Высшее,продвинутый,20/05/2013 13:23:48,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,PHP,,1.25,0.5,600,350,Харьков,до 10 человек,m,22,Высшее,выше среднего,20/05/2013 13:23:54,Mozilla/5.0 (Windows NT 6.1; rv:20.0) Gecko/20100101 Firefox/20.0
,Technical Lead,Java,,6.5,1,4000,500,Киев,до 200 человек,m,28,Высшее,выше среднего,20/05/2013 13:24:49,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,C#/.NET,,10 и более лет,4,1800,400,Донецк,до 10 человек,m,37,Высшее,средний,20/05/2013 13:25:03,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Project manager,,,9.5,9.5,3350,150,Львов,свыше 1000 человек,m,31,Высшее,выше среднего,20/05/2013 13:25:11,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Junior Software Engineer,Java,,1,1,1250,500,Киев,до 50 человек,m,23,Высшее,продвинутый,20/05/2013 13:25:30,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Team lead,,,7,1,4000,500,Киев,до 50 человек,m,29,Высшее,ниже среднего,20/05/2013 13:25:40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Software Engineer,PHP,,5,1,3000,400,Киев,до 1000 человек,m,26,Высшее,средний,20/05/2013 13:25:44,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,QA Tech Lead,,General QA,8,1,2000,0,Львов,до 200 человек,m,30,Высшее,выше среднего,20/05/2013 13:25:57,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Software Engineer,C#/.NET,,7,2.5,1000,0,Харьков,до 10 человек,m,30,Высшее,ниже среднего,20/05/2013 13:26:16,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Technical Lead,Java,,10 и более лет,1.5,4500,0,Черновцы,до 10 человек,m,33,Высшее,выше среднего,20/05/2013 13:26:20,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Python,,4,1.5,3000,1000,Киев,до 1000 человек,m,25,Высшее,выше среднего,20/05/2013 13:26:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.160 Safari/537.22"
,Software Engineer,C,,4,1,3500,500,Киев,до 200 человек,m,25,Среднее,выше среднего,20/05/2013 13:26:35,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Junior Software Engineer,Ruby/Rails,,1,1,800,600,Харьков,до 10 человек,m,23,Незаконченное высшее,средний,20/05/2013 13:26:47,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11"
,Software Engineer,JavaScript,,2.5,0.75,2200,900,Киев,до 200 человек,m,24,Высшее,выше среднего,20/05/2013 13:27:02,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Software Engineer,C#/.NET,,6.5,1.75,1980,330,Львов,до 50 человек,m,27,Высшее,выше среднего,20/05/2013 13:27:14,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,PHP,,5,0.75,500,-500,Киев,до 10 человек,m,35,Среднее,ниже среднего,20/05/2013 13:27:19,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22 FirePHP/4Chrome"
,Technical Lead,C#/.NET,,3.5,1.5,3150,0,Одесса,до 1000 человек,m,30,Два высших,продвинутый,20/05/2013 13:27:33,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
,QA engineer,,General QA,2.5,2.5,2000,400,Киев,свыше 1000 человек,m,25,Высшее,средний,20/05/2013 13:27:42,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:14.0) Gecko/20100101 Firefox/14.0.1
,QA engineer,,General QA,3,меньше 3 месяцев,2500,700,Киев,до 50 человек,f,24,Высшее,продвинутый,20/05/2013 13:27:46,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:21.0) Gecko/20100101 Firefox/21.0
,Software Engineer,Java (Android),,1.5,1,1500,1000,Харьков,до 200 человек,m,23,Два высших,выше среднего,20/05/2013 13:27:54,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Верстальщик,,,1.75,1,800,300,Киев,до 10 человек,m,22,Высшее,ниже среднего,20/05/2013 13:28:21,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
,Senior QA engineer,,Manual QA,3,1,2800,800,Киев,свыше 1000 человек,m,26,Высшее,выше среднего,20/05/2013 13:28:34,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Java (Android),,3,1.75,2500,0,Одесса,до 200 человек,m,26,Высшее,средний,20/05/2013 13:28:42,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,Java,,5,2,2046,0,Киев,до 200 человек,m,28,Высшее,средний,20/05/2013 13:28:53,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0
,Team lead,,,4,1.5,2650,150,Севастополь,до 200 человек,m,24,Высшее,выше среднего,20/05/2013 13:29:10,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Technical Lead,PHP,,6.5,3,1600,600,Чернигов,до 50 человек,m,29,Высшее,выше среднего,20/05/2013 13:29:11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Senior Software Engineer,C#/.NET,,8,1.5,3850,350,Киев,до 50 человек,m,29,Высшее,продвинутый,20/05/2013 13:29:20,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0
,Senior Software Engineer,Java (Android),,6.5,2.5,2400,300,Днепропетровск,до 50 человек,m,27,Высшее,средний,20/05/2013 13:29:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Technical Lead,PHP,,6,1,4000,0,Киев,до 10 человек,m,26,Высшее,выше среднего,20/05/2013 13:29:30,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Senior QA engineer,,Automation QA,3,0.25,2500,300,Киев,до 200 человек,m,26,Незаконченное высшее,выше среднего,20/05/2013 13:29:33,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Delphi,,10 и более лет,1.5,2300,200,Киев,до 200 человек,m,31,Высшее,выше среднего,20/05/2013 13:29:34,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,QA engineer,,Manual QA,4.5,3.5,1500,250,Харьков,до 200 человек,m,27,Высшее,ниже среднего,20/05/2013 13:29:36,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,Objective-C,,3,0.25,3000,1750,Киев,до 10 человек,m,25,Высшее,ниже среднего,20/05/2013 13:29:41,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Team lead,,,5,1.25,2000,200,Одесса,свыше 1000 человек,m,29,Незаконченное высшее,выше среднего,20/05/2013 13:29:50,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0
,Software Engineer,C++,,2.5,0.75,1425,500,Киев,до 200 человек,m,24,Высшее,ниже среднего,20/05/2013 13:29:50,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:20.0) Gecko/20100101 Firefox/20.0
,Junior Software Engineer,Java (Android),,0.5,0.5,500,0,Киев,до 10 человек,m,20,Незаконченное высшее,средний,20/05/2013 13:29:53,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,C#/.NET,,7,3,3800,1000,Симферополь,до 10 человек,m,27,Высшее,средний,20/05/2013 13:29:55,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,PHP,,5,2,1700,300,Харьков,до 10 человек,m,29,Высшее,выше среднего,20/05/2013 13:29:57,Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US; rv:1.9.2.17) Gecko/20110420 Firefox/3.6.17
,Software Engineer,PHP,,4,3,1375,500,Киев,до 10 человек,m,25,Высшее,средний,20/05/2013 13:29:57,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Junior Software Engineer,PHP,,1.25,меньше 3 месяцев,338,150,Сумы,до 50 человек,m,22,Незаконченное высшее,ниже среднего,20/05/2013 13:30:07,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:20.0) Gecko/20100101 Firefox/20.0
,Technical Lead,JavaScript,,6,1.5,4000,0,Киев,до 10 человек,m,27,Высшее,выше среднего,20/05/2013 13:30:19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Senior Software Engineer,Ruby/Rails,,4,2,3100,500,Днепропетровск,до 50 человек,m,25,Высшее,средний,20/05/2013 13:30:22,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:24.0) Gecko/20130519 Firefox/24.0
,Senior Project Manager / Program Manager,,,4.5,1.75,3800,800,Киев,свыше 1000 человек,m,27,Два высших,продвинутый,20/05/2013 13:30:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,Python,,2.5,0.5,3000,500,Киев,до 200 человек,m,26,Высшее,выше среднего,20/05/2013 13:30:36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,QA engineer,,Automation QA,6.5,0.75,2400,200,Киев,свыше 1000 человек,m,28,Высшее,средний,20/05/2013 13:30:37,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Project manager,,,1.75,1.75,400,0,Донецк,до 10 человек,m,24,Незаконченное высшее,ниже среднего,20/05/2013 13:30:38,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C#/.NET,,4,1,2200,200,Киев,свыше 1000 человек,m,27,Высшее,выше среднего,20/05/2013 13:30:45,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Software Engineer,PHP,,2.5,1,350,1,Хмельницкий,до 10 человек,m,22,Высшее,элементарный,20/05/2013 13:30:57,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Java,,2,2,1200,600,Одесса,свыше 1000 человек,m,25,Высшее,средний,20/05/2013 13:30:59,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C#/.NET,,2.5,0.25,1700,0,Днепропетровск,до 1000 человек,m,24,Высшее,средний,20/05/2013 13:31:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,Java,,5,2,4500,500,Киев,до 50 человек,m,25,Высшее,выше среднего,20/05/2013 13:31:14,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,JavaScript,,5,4,1400,0,Харьков,до 1000 человек,m,24,Высшее,ниже среднего,20/05/2013 13:31:24,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Senior Software Engineer,Java (Android),,5.5,1.25,3420,200,Киев,до 1000 человек,m,25,Высшее,выше среднего,20/05/2013 13:31:25,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Java,,2.5,1.5,2050,250,Львов,до 50 человек,m,31,Кандидат,средний,20/05/2013 13:31:33,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Python,,3,2.5,1600,200,Киев,до 10 человек,m,25,Высшее,средний,20/05/2013 13:31:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Верстальщик,JavaScript,,2,0.25,1300,600,Киев,до 200 человек,m,21,Незаконченное высшее,средний,20/05/2013 13:31:39,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,Objective-C,,10 и более лет,1.25,3500,0,Киев,до 10 человек,m,37,Высшее,элементарный,20/05/2013 13:31:41,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:21.0) Gecko/20100101 Firefox/21.0
,Senior QA engineer,,Manual QA,3,2,1800,600,Киев,свыше 1000 человек,f,22,Незаконченное высшее,выше среднего,20/05/2013 13:31:42,Mozilla/5.0 (Windows NT 5.1; rv:20.0) Gecko/20100101 Firefox/20.0
,Системный администратор,,,10 и более лет,3,1900,200,Днепропетровск,до 10 человек,m,40,Высшее,выше среднего,20/05/2013 13:31:49,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Гейм-дизайнер,,,5,3,800,0,Одесса,до 1000 человек,m,27,Два высших,продвинутый,20/05/2013 13:32:01,Mozilla/5.0 (Windows NT 5.1; rv:20.0) Gecko/20100101 Firefox/20.0
,Junior Software Engineer,PHP,,9,0.5,1200,500,Полтава,до 50 человек,m,27,Два высших,выше среднего,20/05/2013 13:32:23,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Senior Software Engineer,PHP,,4,2,2500,0,Днепропетровск,до 10 человек,m,29,Высшее,ниже среднего,20/05/2013 13:32:31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Project manager,,,7.5,3.5,3000,500,Киев,до 200 человек,m,30,Высшее,выше среднего,20/05/2013 13:32:43,Mozilla/5.0 (Windows NT 6.1; rv:20.0) Gecko/20100101 Firefox/20.0
,Software Engineer,PHP,,3,1,1900,500,Донецк,свыше 1000 человек,m,27,Высшее,ниже среднего,20/05/2013 13:32:45,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Software Engineer,PHP,,2,2,500,0,Ивано-Франковск,до 10 человек,m,23,Высшее,ниже среднего,20/05/2013 13:32:47,Opera/9.80 (X11; Linux x86_64) Presto/2.12.388 Version/12.15
,QA engineer,,Manual QA,2.5,меньше 3 месяцев,1425,500,Одесса,до 200 человек,f,22,Незаконченное высшее,продвинутый,20/05/2013 13:33:08,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Java,,2.5,2.5,2000,300,Киев,до 200 человек,m,23,Высшее,средний,20/05/2013 13:33:14,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
,Senior Software Engineer,PHP,,4.5,3.5,2200,200,Харьков,до 50 человек,m,27,Высшее,средний,20/05/2013 13:33:21,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
,Senior Software Engineer,JavaScript,,1,5,2500,500,Херсон,до 50 человек,m,31,Высшее,средний,20/05/2013 13:33:43,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/536.29.13 (KHTML, like Gecko) Version/6.0.4 Safari/536.29.13"
,Software Engineer,PHP,,1.5,1.5,600,200,Донецк,до 50 человек,m,23,Высшее,ниже среднего,20/05/2013 13:33:51,Opera/9.80 (X11; Linux x86_64; Edition Linux Mint) Presto/2.12.388 Version/12.15
,Senior QA engineer,,Manual QA,6,1,2500,200,Киев,до 1000 человек,m,28,Два высших,средний,20/05/2013 13:33:55,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,Java (Android),,3,меньше 3 месяцев,2000,0,Киев,до 50 человек,m,29,Высшее,элементарный,20/05/2013 13:34:08,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:21.0) Gecko/20100101 Firefox/21.0
,Team lead,,,10 и более лет,5,3400,300,Одесса,до 50 человек,m,37,Два высших,продвинутый,20/05/2013 13:34:10,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.11 Safari/537.36"
,Software Engineer,Java,,1.5,1.5,1450,400,Киев,свыше 1000 человек,m,24,Высшее,выше среднего,20/05/2013 13:34:13,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
