"Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"1","Software Engineer","JavaScript","","5.5","2.5",3200,0,"Киев","до 10 человек","Аутсорсинговая","мужской",34,"Высшее","False","средний","Веб-разработка","22/12/2014 13:19:04","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/39.0.2171.65 Chrome/39.0.2171.65 Safari/537.36",5.5,2.5,"Киев",3200,NA,"DEV"
"2","Software Engineer","Java","","4.5","1.5",2235,0,"Киев","до 10 человек","Аутстаффинговая","женский",26,"Высшее","False","средний","Веб-разработка,Корпоративные системы","22/12/2014 13:19:23","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0",4.5,1.5,"Киев",2235,NA,"DEV"
"3","Software Engineer","C++","","3.5","1",2200,900,"Львов","до 200 человек","Аутсорсинговая","мужской",24,"Высшее","False","выше среднего","Системное программирование,Корпоративные системы","22/12/2014 13:19:53","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",3.5,1,"Львов",2200,NA,"DEV"
"4","Software Engineer","Java","","3","0.75",1000,200,"Киев","до 10 человек","Другая","мужской",27,"Высшее","False","средний","Финансы и банки","22/12/2014 13:20:11","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",3,0.75,"Киев",1000,NA,"DEV"
"5","Team lead","","","10 и более лет","5",3610,200,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",32,"Высшее","False","выше среднего","Финансы и банки","22/12/2014 13:20:20","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",10,5,"Киев",3610,NA,"PM"
"6","Project manager","","","1.5","1.5",450,-600,"Киев","свыше 1000 человек","Другая","мужской",26,"Высшее","False","выше среднего","Финансы и банки,Корпоративные системы","22/12/2014 13:21:18","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",1.5,1.5,"Киев",450,NA,"PM"
"7","Software Engineer","PHP","","2","0.75",2400,1000,"Харьков","свыше 1000 человек","Аутстаффинговая","мужской",20,"Незаконченное высшее","True","выше среднего","Веб-разработка,eCommerce","22/12/2014 13:21:24","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0",2,0.75,"Харьков",2400,NA,"DEV"
"8","Software Engineer","PHP","","2","2",1500,700,"Харьков","до 200 человек","Аутсорсинговая","мужской",23,"Высшее","False","выше среднего","Веб-разработка","22/12/2014 13:21:36","Mozilla/5.0 (X11; Linux i686 (x86_64)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36",2,2,"Харьков",1500,NA,"DEV"
"9","Technical Lead","C++","","9.5","6",3600,200,"Львов","до 1000 человек","Аутсорсинговая","мужской",30,"Кандидат","False","выше среднего","iOS,Телекоммуникации","22/12/2014 13:21:51","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",9.5,6,"Львов",3600,NA,"SDEV"
"10","QA engineer","","Manual QA","5","2",1350,1,"Киев","до 50 человек","Продуктовая","мужской",26,"Высшее","False","выше среднего","Веб-разработка","22/12/2014 13:22:33","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",5,2,"Киев",1350,NA,"QA"
"11","Software Engineer","C#/.NET","","3","2",650,300,"Харьков","до 200 человек","Аутстаффинговая","женский",36,"Два высших","False","средний","Веб-разработка","22/12/2014 13:22:45","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",3,2,"Харьков",650,NA,"DEV"
"12","Software Engineer","PHP","","3","0.5",2000,200,"Киев","до 50 человек","Аутсорсинговая","мужской",24,"Высшее","False","выше среднего","eCommerce","22/12/2014 13:22:52","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:34.0) Gecko/20100101 Firefox/34.0",3,0.5,"Киев",2000,NA,"DEV"
"13","Верстальщик","","","1","0.25",3000,0,"Житомир","до 50 человек","Аутсорсинговая","мужской",21,"Незаконченное высшее","True","средний","Веб-разработка,eCommerce","22/12/2014 13:23:20","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36",1,0.25,"other",3000,NA,""
"14","Project manager","","","4","1.75",950,0,"Киев","до 10 человек","Другая","мужской",24,"Высшее","False","средний","Веб-разработка","22/12/2014 13:23:41","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",4,1.75,"Киев",950,NA,"PM"
"15","Senior Software Engineer","PHP","","8","3",3300,-500,"Киев","до 1000 человек","Продуктовая","мужской",30,"Высшее","False","выше среднего","Веб-разработка,eCommerce","22/12/2014 13:23:54","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36",8,3,"Киев",3300,NA,"DEV"
"16","Junior Software Engineer","PHP","","1.5","1.5",1200,600,"Киев","до 50 человек","Аутсорсинговая","мужской",24,"Высшее","False","продвинутый","Веб-разработка,Другое","22/12/2014 13:24:01","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",1.5,1.5,"Киев",1200,NA,"DEV"
"17","Senior Software Engineer","C++","","9","8",3200,300,"Харьков","до 50 человек","Аутсорсинговая","мужской",32,"Высшее","False","средний","Desktop Applications,Мультимедиа","22/12/2014 13:24:10","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",9,8,"Харьков",3200,NA,"DEV"
"18","QA engineer","","Manual QA","4","1",1500,100,"Харьков","до 50 человек","Аутсорсинговая","мужской",26,"Высшее","False","средний","iOS","22/12/2014 13:24:41","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",4,1,"Харьков",1500,NA,"QA"
"19","Junior QA engineer","","Manual QA","меньше 3 месяцев","0.5",400,0,"Харьков","до 50 человек","Аутсорсинговая","мужской",23,"Два высших","False","средний","Веб-разработка","22/12/2014 13:25:12","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",0,0.5,"Харьков",400,NA,"QA"
"20","Software Engineer","C#/.NET","","2.5","0.5",2500,2000,"Киев","до 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","средний","Веб-разработка","22/12/2014 13:25:20","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",2.5,0.5,"Киев",2500,NA,"DEV"
"21","Software Engineer","Java","","3.5","3.5",2000,0,"Львов","до 50 человек","Аутсорсинговая","мужской",28,"Высшее","False","средний","Веб-разработка,Корпоративные системы","22/12/2014 13:26:26","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",3.5,3.5,"Львов",2000,NA,"DEV"
"22","Software Engineer","C#/.NET","","3.5","2.5",2150,350,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","выше среднего","Веб-разработка,Финансы и банки","22/12/2014 13:26:36","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",3.5,2.5,"Киев",2150,NA,"DEV"
"23","QA engineer","","Automation QA","2","1.25",1200,400,"Львов","до 200 человек","Аутсорсинговая","мужской",25,"Высшее","False","средний","Веб-разработка","22/12/2014 13:26:50","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.38 Safari/537.36",2,1.25,"Львов",1200,NA,"QA"
"24","Senior Software Engineer","Ruby/Rails","","6","3",2000,0,"Львов","до 50 человек","Аутстаффинговая","мужской",26,"Высшее","False","ниже среднего","Веб-разработка,eCommerce","22/12/2014 13:27:56","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",6,3,"Львов",2000,NA,"DEV"
"25","Junior Software Engineer","JavaScript","","1","0.5",1500,0,"Киев","до 200 человек","Аутстаффинговая","женский",28,"Незаконченное высшее","True","продвинутый","eCommerce","22/12/2014 13:28:07","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",1,0.5,"Киев",1500,NA,"DEV"
"26","Junior Software Engineer","Scala","","1.25","0.75",1050,0,"Одесса","до 50 человек","Аутсорсинговая","мужской",27,"Высшее","False","выше среднего","Веб-разработка,Корпоративные системы","22/12/2014 13:28:09","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36",1.25,0.75,"Одесса",1050,NA,"DEV"
"27","Senior Software Engineer","Objective-C","","4.5","4.5",2700,300,"Днепр.","до 50 человек","Аутсорсинговая","мужской",29,"Высшее","False","средний","iOS","22/12/2014 13:28:32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5",4.5,4.5,"Днепр.",2700,NA,"DEV"
"28","Senior Software Engineer","Ruby/Rails","","6","3",3500,0,"Днепр.","до 50 человек","Продуктовая","мужской",26,"Высшее","False","выше среднего","Веб-разработка,Системное программирование","22/12/2014 13:28:33","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:37.0) Gecko/20100101 Firefox/37.0",6,3,"Днепр.",3500,NA,"DEV"
"29","Senior Software Engineer","Java","","5","меньше 3 месяцев",3500,1,"Киев","до 50 человек","Аутстаффинговая","мужской",26,"Высшее","False","средний","Android","22/12/2014 13:28:38","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:34.0) Gecko/20100101 Firefox/34.0",5,0,"Киев",3500,NA,"DEV"
"30","Junior Software Engineer","Ruby/Rails","","3.5","меньше 3 месяцев",475,0,"Ивано-Франковск","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","ниже среднего","Веб-разработка","22/12/2014 13:28:45","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",3.5,0,"other",475,NA,"DEV"
"31","Junior QA engineer","","General QA","1.25","1.25",475,100,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",23,"Незаконченное высшее","False","выше среднего","Мультимедиа","22/12/2014 13:28:50","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0",1.25,1.25,"Львов",475,NA,"QA"
"32","Senior Software Engineer","JavaScript","","6.5","5.5",2000,2000,"Харьков","до 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","средний","Веб-разработка","22/12/2014 13:28:52","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.45 Safari/537.36",6.5,5.5,"Харьков",2000,NA,"DEV"
"33","Project manager","","","меньше 3 месяцев","1.5",4000,0,"Киев","до 10 человек","Аутстаффинговая","мужской",40,"Высшее","False","выше среднего","eCommerce","22/12/2014 13:29:25","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36",0,1.5,"Киев",4000,NA,"PM"
"34","Software Engineer","Java","","4","1.5",3050,200,"Львов","до 1000 человек","Аутсорсинговая","мужской",25,"Два высших","False","выше среднего","Телекоммуникации","22/12/2014 13:29:27","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",4,1.5,"Львов",3050,NA,"DEV"
"35","Software Engineer","Java","","меньше 3 месяцев","меньше 3 месяцев",2000,100,"Харьков","до 50 человек","Аутсорсинговая","женский",26,"Высшее","False","выше среднего","Android","22/12/2014 13:29:48","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",0,0,"Харьков",2000,NA,"DEV"
"36","QA engineer","","Automation QA","2.5","0.5",1400,700,"Львов","до 50 человек","Продуктовая","женский",28,"Высшее","False","продвинутый","","22/12/2014 13:29:57","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",2.5,0.5,"Львов",1400,NA,"QA"
"37","Software Engineer","JavaScript","","2.5","меньше 3 месяцев",1615,815,"Львов","до 1000 человек","Аутстаффинговая","мужской",22,"Высшее","False","выше среднего","Веб-разработка","22/12/2014 13:30:02","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",2.5,0,"Львов",1615,NA,"DEV"
"38","Junior Software Engineer","Java","","меньше 3 месяцев","2",200,0,"Киев","до 200 человек","Продуктовая","мужской",22,"Техникум / Колледж","False","ниже среднего","Android,Мультимедиа","22/12/2014 13:30:08","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0",0,2,"Киев",200,NA,"DEV"
"39","Senior Software Engineer","C++","","10 и более лет","0.75",3800,300,"Киев","до 200 человек","Продуктовая","мужской",34,"Высшее","False","выше среднего","Gamedev","22/12/2014 13:30:14","Mozilla/5.0 (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Mobile/11D167",10,0.75,"Киев",3800,NA,"DEV"
"40","Senior Software Engineer","C#/.NET","","5","5",3800,1000,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",27,"Высшее","False","средний","Веб-разработка","22/12/2014 13:30:20","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",5,5,"Киев",3800,NA,"DEV"
"41","Software Engineer","PHP","","меньше 3 месяцев","меньше 3 месяцев",2500,200,"Киев","до 200 человек","Аутстаффинговая","мужской",27,"Высшее","False","средний","Веб-разработка,Gamedev","22/12/2014 13:30:29","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36",0,0,"Киев",2500,NA,"DEV"
"42","Junior Software Engineer","C#/.NET","","0.5","0.5",600,0,"Киев","до 10 человек","Продуктовая","мужской",21,"Незаконченное высшее","True","средний","Веб-разработка","22/12/2014 13:30:37","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",0.5,0.5,"Киев",600,NA,"DEV"
"43","Senior Software Engineer","Python","","8","меньше 3 месяцев",4100,100,"Киев","до 10 человек","Аутстаффинговая","мужской",26,"Высшее","False","средний","Веб-разработка","22/12/2014 13:30:42","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",8,0,"Киев",4100,NA,"DEV"
"44","Software Engineer","Scala","","1","0.5",3500,-300,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","выше среднего","Веб-разработка","22/12/2014 13:30:50","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",1,0.5,"Киев",3500,NA,"DEV"
"45","DevOps","","","10 и более лет","0.25",3000,-300,"Львов","до 1000 человек","Аутсорсинговая","мужской",33,"Незаконченное высшее","False","средний","Корпоративные системы","22/12/2014 13:31:10","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:34.0) Gecko/20100101 Firefox/34.0",10,0.25,"Львов",3000,NA,""
"46","Team lead","","","10 и более лет","4",4250,200,"Харьков","до 200 человек","Аутстаффинговая","мужской",30,"Высшее","False","выше среднего","Телекоммуникации,Корпоративные системы","22/12/2014 13:31:11","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",10,4,"Харьков",4250,NA,"PM"
"47","Software Engineer","C#/.NET","","4","3",2600,700,"Днепр.","до 50 человек","Аутсорсинговая","мужской",25,"Высшее","False","средний","Desktop Applications,Веб-разработка","22/12/2014 13:31:23","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",4,3,"Днепр.",2600,NA,"DEV"
"48","Software Engineer","Objective-C","","2.5","1.5",1500,500,"Львов","до 200 человек","Аутстаффинговая","мужской",23,"Два высших","False","продвинутый","Android,iOS","22/12/2014 13:31:37","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5",2.5,1.5,"Львов",1500,NA,"DEV"
"49","Junior Software Engineer","PHP","","1.25","1.25",600,0,"Харьков","до 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","выше среднего","Веб-разработка","22/12/2014 13:31:41","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",1.25,1.25,"Харьков",600,NA,"DEV"
"50","Software Engineer","Java","","2","1.5",1100,200,"Харьков","до 1000 человек","Аутсорсинговая","мужской",23,"Высшее","False","средний","Веб-разработка,Финансы и банки","22/12/2014 13:31:46","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",2,1.5,"Харьков",1100,NA,"DEV"
"51","QA engineer","","Automation QA","7","меньше 3 месяцев",1000,-600,"Киев","до 200 человек","Другая","мужской",38,"Высшее","False","ниже среднего","Другое","22/12/2014 13:31:56","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",7,0,"Киев",1000,NA,"QA"
"52","QA engineer","","Automation QA","1.5","1.5",300,50,"Сумы","до 1000 человек","Продуктовая","мужской",22,"Высшее","False","элементарный","Телекоммуникации,Корпоративные системы","22/12/2014 13:32:46","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",1.5,1.5,"other",300,NA,"QA"
