"Город","Зарплата.в.месяц","Изменение.зарплаты","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"1","Киев",3200,0,"Software Engineer",5.5,2.5,"JavaScript","",34,"мужской","Высшее","False","средний","до 10 человек","Аутсорсинговая","Веб-разработка"
"2","Киев",2235,0,"Software Engineer",4.5,1.5,"Java","",26,"женский","Высшее","False","средний","до 10 человек","Аутстаффинговая","Веб-разработка,Корпоративные системы"
"3","Львов",2200,900,"Software Engineer",3.5,1,"C++","",24,"мужской","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Системное программирование,Корпоративные системы"
"4","Киев",1000,200,"Software Engineer",3,0.75,"Java","",27,"мужской","Высшее","False","средний","до 10 человек","Другая","Финансы и банки"
"5","Киев",3610,200,"Team lead",10,5,"","",32,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Финансы и банки"
"6","Киев",450,-600,"Project manager",1.5,1.5,"","",26,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Другая","Финансы и банки,Корпоративные системы"
"7","Харьков",2400,1000,"Software Engineer",2,0.75,"PHP","",20,"мужской","Незаконченное высшее","True","выше среднего","свыше 1000 человек","Аутстаффинговая","Веб-разработка,eCommerce"
"8","Харьков",1500,700,"Software Engineer",2,2,"PHP","",23,"мужской","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка"
"9","Львов",3600,200,"Technical Lead",9.5,6,"C++","",30,"мужской","Кандидат","False","выше среднего","до 1000 человек","Аутсорсинговая","iOS,Телекоммуникации"
"10","Киев",1350,1,"QA engineer",5,2,"","Manual QA",26,"мужской","Высшее","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка"
"11","Харьков",650,300,"Software Engineer",3,2,"C#/.NET","",36,"женский","Два высших","False","средний","до 200 человек","Аутстаффинговая","Веб-разработка"
"12","Киев",2000,200,"Software Engineer",3,0.5,"PHP","",24,"мужской","Высшее","False","выше среднего","до 50 человек","Аутсорсинговая","eCommerce"
"13","Житомир",3000,0,"Верстальщик",1,0.25,"","",21,"мужской","Незаконченное высшее","True","средний","до 50 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"14","Киев",950,0,"Project manager",4,1.75,"","",24,"мужской","Высшее","False","средний","до 10 человек","Другая","Веб-разработка"
"15","Киев",3300,-500,"Senior Software Engineer",8,3,"PHP","",30,"мужской","Высшее","False","выше среднего","до 1000 человек","Продуктовая","Веб-разработка,eCommerce"
"16","Киев",1200,600,"Junior Software Engineer",1.5,1.5,"PHP","",24,"мужской","Высшее","False","продвинутый","до 50 человек","Аутсорсинговая","Веб-разработка,Другое"
"17","Харьков",3200,300,"Senior Software Engineer",9,8,"C++","",32,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","Desktop Applications,Мультимедиа"
"18","Харьков",1500,100,"QA engineer",4,1,"","Manual QA",26,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","iOS"
"19","Харьков",400,0,"Junior QA engineer",0,0.5,"","Manual QA",23,"мужской","Два высших","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка"
"20","Киев",2500,2000,"Software Engineer",2.5,0.5,"C#/.NET","",26,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Веб-разработка"
"21","Львов",2000,0,"Software Engineer",3.5,3.5,"Java","",28,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"22","Киев",2150,350,"Software Engineer",3.5,2.5,"C#/.NET","",25,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Финансы и банки"
"23","Львов",1200,400,"QA engineer",2,1.25,"","Automation QA",25,"мужской","Высшее","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"24","Львов",2000,0,"Senior Software Engineer",6,3,"Ruby/Rails","",26,"мужской","Высшее","False","ниже среднего","до 50 человек","Аутстаффинговая","Веб-разработка,eCommerce"
"25","Киев",1500,0,"Junior Software Engineer",1,0.5,"JavaScript","",28,"женский","Незаконченное высшее","True","продвинутый","до 200 человек","Аутстаффинговая","eCommerce"
