"Город","Зарплата.в.месяц","Изменение.зарплаты","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"1","Симферополь",1900,0,"Technical Lead",10,10,"Java","",33,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","Desktop Applications,Веб-разработка"
"2","Львов",1600,900,"Software Engineer",3,0.5,"JavaScript","",24,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка,Другое"
"3","Харьков",2800,700,"QA Tech Lead",6,2,"","Automation QA",36,"мужской","Два высших","False","продвинутый","до 200 человек","Аутсорсинговая","Desktop Applications,Веб-разработка"
"4","Киев",2900,0,"Project manager",9,2,"","",32,"мужской","Два высших","False","выше среднего","до 10 человек","Продуктовая","Веб-разработка,Финансы и банки"
"5","Другой",500,1,"Sales manager",3,0.5,"","",28,"женский","Высшее","False","средний","до 50 человек","Другая","Веб-разработка,eCommerce"
"6","Харьков",1700,500,"Software Engineer",3.5,0.75,"JavaScript","",24,"мужской","Незаконченное высшее","False","ниже среднего","до 200 человек","Аутсорсинговая","Веб-разработка"
"7","Львов",1500,800,"Software Engineer",2,0,"Python","",25,"мужской","Два высших","False","средний","до 10 человек","Аутсорсинговая","Embedded"
"8","Киев",766,0,"QA engineer",0.75,0.25,"","Automation QA",25,"мужской","Два высших","False","выше среднего","до 50 человек","Продуктовая","Финансы и банки,Корпоративные системы"
"9","Киев",2550,1000,"Software Engineer",3,3,"Objective-C","",23,"мужской","Незаконченное высшее","False","выше среднего","до 50 человек","Аутсорсинговая","iOS,Desktop Applications"
"10","Львов",1900,800,"Software Engineer",3,3,"Java","",22,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","Android"
"11","Черкассы",750,330,"Software Engineer",2,1,"Ruby/Rails","",25,"мужской","Высшее","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"12","Львов",3100,800,"Senior Software Engineer",5.5,0,"C#/.NET","",26,"мужской","Высшее","False","средний","до 200 человек","Аутстаффинговая","Веб-разработка,Корпоративные системы"
"13","Харьков",1100,700,"Junior Software Engineer",1.25,1.25,"PHP","",22,"мужской","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая",""
"14","Одесса",2700,500,"QA Tech Lead",8,0.5,"","General QA",28,"мужской","Высшее","False","средний","до 200 человек","Продуктовая","Веб-разработка,eCommerce"
"15","Харьков",500,0,"Дизайнер",0,0,"","",22,"мужской","Незаконченное высшее","True","элементарный","до 50 человек","Аутсорсинговая","Мультимедиа"
"16","Одесса",2000,0,"Software Engineer",3,1,"Java","",39,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Веб-разработка,Финансы и банки"
"17","Киев",3000,200,"QA Tech Lead",8,0.5,"","Manual QA",30,"мужской","Высшее","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Desktop Applications,Корпоративные системы"
"18","Харьков",2000,500,"Software Engineer",2,1.25,"Java","",21,"мужской","Незаконченное высшее","False","выше среднего","до 50 человек","Аутсорсинговая","Android"
"19","Ужгород",1450,250,"HR",6,2,"","",29,"женский","Высшее","False","выше среднего","до 50 человек","Аутстаффинговая","Другое"
"20","Львов",1000,0,"Sales manager",6,0.5,"","",28,"мужской","Высшее","False","продвинутый","до 10 человек","Аутсорсинговая",""
"21","Харьков",2700,1000,"Senior Software Engineer",6,0.75,"C#/.NET","",29,"мужской","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Корпоративные системы,Мультимедиа"
"22","Львов",2000,200,"Software Engineer",5.5,5.5,"Java","",30,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"23","Днепр.",1000,400,"Software Engineer",2,0,"Ruby/Rails","",23,"мужской","Высшее","False","средний","до 10 человек","Аутсорсинговая","Веб-разработка"
"24","Житомир",1000,200,"Software Engineer",2.5,2.5,"C#/.NET","",26,"мужской","Высшее","False","выше среднего","до 200 человек","Продуктовая","Desktop Applications,Веб-разработка"
"25","Николаев",800,0,"Project manager",3.5,1.5,"","",24,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая","Android,iOS"
"26","Киев",450,150,"QA engineer",1,1,"","Manual QA",24,"мужской","Незаконченное высшее","True","средний","до 10 человек","Стартап","eCommerce,Корпоративные системы"
"27","Львов",4400,200,"Senior Software Engineer",10,3,"Python","",31,"мужской","Высшее","False","выше среднего","до 200 человек","Продуктовая","Веб-разработка,Системное программирование"
"28","Киев",1710,200,"Software Engineer",3,1.25,"C++","",26,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Финансы и банки,Корпоративные системы"
"29","Харьков",600,100,"Junior QA engineer",0,0,"","Manual QA",32,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","Android,Embedded"
"30","Киев",3100,500,"Senior Software Engineer",5.5,0.5,"JavaScript","",24,"мужской","Незаконченное высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"31","Днепр.",2300,300,"Senior QA engineer",4,1,"","Manual QA",28,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутстаффинговая","Desktop Applications,Веб-разработка"
"32","Харьков",1100,300,"Software Engineer",2.5,2.5,"C#/.NET","",23,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Desktop Applications,Веб-разработка"
"33","Другой",300,0,"Системный администратор",2,1,"","",24,"мужской","Высшее","False","выше среднего","до 10 человек","Другая","Другое"
"34","Одесса",1600,800,"Software Engineer",2.5,0.75,"Java","",24,"мужской","Высшее","False","средний","до 200 человек","Аутстаффинговая","Android"
