Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
Technical Lead,Java,,10 и более лет,10 и более лет,1900,0,Симферополь,до 50 человек,Аутсорсинговая,m,33,Высшее,False,средний,"Desktop Applications,Веб-разработка",19/05/2014 11:26:48,Mozilla/5.0 (Windows NT 6.1; rv:29.0) Gecko/20100101 Firefox/29.0
Software Engineer,JavaScript,,3,0.5,1600,900,Львов,до 50 человек,Аутсорсинговая,m,24,Высшее,False,средний,"Веб-разработка,Другое",19/05/2014 11:27:35,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36"
QA Tech Lead,,Automation QA,6,2,2800,700,Харьков,до 200 человек,Аутсорсинговая,m,36,Два высших,False,продвинутый,"Desktop Applications,Веб-разработка",19/05/2014 11:27:58,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Project manager,,,9,2,2900,0,Киев,до 10 человек,Продуктовая,m,32,Два высших,False,выше среднего,"Веб-разработка,Финансы и банки",19/05/2014 11:28:37,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:20.0) Gecko/20100101 Firefox/20.0
Sales manager,,,3,0.5,500,1,Другой,до 50 человек,Другая,f,28,Высшее,False,средний,"Веб-разработка,eCommerce",19/05/2014 11:28:37,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Software Engineer,JavaScript,,3.5,0.75,1700,500,Харьков,до 200 человек,Аутсорсинговая,m,24,Незаконченное высшее,False,ниже среднего,Веб-разработка,19/05/2014 11:29:19,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,Python,,2,меньше 3 месяцев,1500,800,Львов,до 10 человек,Аутсорсинговая,m,25,Два высших,False,средний,Embedded,19/05/2014 11:29:26,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36"
QA engineer,,Automation QA,0.75,0.25,766,0,Киев,до 50 человек,Продуктовая,m,25,Два высших,False,выше среднего,"Финансы и банки,Корпоративные системы",19/05/2014 11:30:51,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36"
Software Engineer,Objective-C,,3,3,2550,1000,Киев,до 50 человек,Аутсорсинговая,m,23,Незаконченное высшее,False,выше среднего,"iOS,Desktop Applications",19/05/2014 11:31:32,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Software Engineer,Java,,3,3,1900,800,Львов,до 50 человек,Аутсорсинговая,m,22,Высшее,False,средний,Android,19/05/2014 11:31:53,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,Ruby/Rails,,2,1,750,330,Черкассы,до 200 человек,Аутсорсинговая,m,25,Высшее,False,средний,Веб-разработка,19/05/2014 11:32:09,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior Software Engineer,C#/.NET,,5.5,меньше 3 месяцев,3100,800,Львов,до 200 человек,Аутстаффинговая,m,26,Высшее,False,средний,"Веб-разработка,Корпоративные системы",19/05/2014 11:32:16,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Junior Software Engineer,PHP,,1.25,1.25,1100,700,Харьков,до 200 человек,Аутсорсинговая,m,22,Высшее,False,выше среднего,,19/05/2014 11:32:17,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36"
QA Tech Lead,,General QA,8,0.5,2700,500,Одесса,до 200 человек,Продуктовая,m,28,Высшее,False,средний,"Веб-разработка,eCommerce",19/05/2014 11:32:32,Mozilla/5.0 (Windows NT 6.1; rv:29.0) Gecko/20100101 Firefox/29.0
Дизайнер,,,меньше 3 месяцев,меньше 3 месяцев,500,0,Харьков,до 50 человек,Аутсорсинговая,m,22,Незаконченное высшее,True,элементарный,Мультимедиа,19/05/2014 11:32:34,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,Java,,3,1,2000,0,Одесса,до 1000 человек,Аутсорсинговая,m,39,Высшее,False,средний,"Веб-разработка,Финансы и банки",19/05/2014 11:32:49,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
QA Tech Lead,,Manual QA,8,0.5,3000,200,Киев,свыше 1000 человек,Аутсорсинговая,m,30,Высшее,False,продвинутый,"Desktop Applications,Корпоративные системы",19/05/2014 11:32:55,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,Java,,2,1.25,2000,500,Харьков,до 50 человек,Аутсорсинговая,m,21,Незаконченное высшее,False,выше среднего,Android,19/05/2014 11:33:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
HR,,,6,2,1450,250,Ужгород,до 50 человек,Аутстаффинговая,f,29,Высшее,False,выше среднего,Другое,19/05/2014 11:34:01,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
Sales manager,,,6,0.5,1000,0,Львов,до 10 человек,Аутсорсинговая,m,28,Высшее,False,продвинутый,,19/05/2014 11:34:19,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Senior Software Engineer,C#/.NET,,6,0.75,2700,1000,Харьков,до 200 человек,Аутсорсинговая,m,29,Высшее,False,выше среднего,"Корпоративные системы,Мультимедиа",19/05/2014 11:34:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,Java,,5.5,5.5,2000,200,Львов,свыше 1000 человек,Аутсорсинговая,m,30,Высшее,False,средний,"Веб-разработка,Корпоративные системы",19/05/2014 11:34:35,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:29.0) Gecko/20100101 Firefox/29.0
