"Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"1","Junior Software Engineer","C#/.NET","","1.5","1.5",500,250,"Черновцы","до 50 человек","Аутсорсинговая","мужской",22,"Незаконченное высшее","True","ниже среднего","Веб-разработка","18/05/2015 09:43:04","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",1.5,1.5,"other",500,NA,"DEV"
"2","Бизнес-аналитик","","","9","4",1000,0,"Киев","до 1000 человек","Продуктовая","мужской",31,"Высшее","False","ниже среднего","Финансы и банки,Корпоративные системы","18/05/2015 09:44:05","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0",9,4,"Киев",1000,NA,""
"3","QA Tech Lead","","General QA","0.5","3",3000,100,"Киев","до 1000 человек","Продуктовая","мужской",36,"Высшее","False","выше среднего","Desktop Applications","18/05/2015 09:45:27","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/8.0.6 Safari/600.6.3",0.5,3,"Киев",3000,NA,"QA"
"4","Senior QA engineer","","Automation QA","3","меньше 3 месяцев",3000,1200,"Киев","до 200 человек","Аутсорсинговая","мужской",24,"Высшее","False","выше среднего","Системное программирование","18/05/2015 09:45:45","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0",3,0,"Киев",3000,NA,"QA"
"5","Junior QA engineer","","Automation QA","1","0.5",1000,0,"Киев","до 1000 человек","Аутстаффинговая","мужской",22,"Высшее","True","средний","Финансы и банки,Другое","18/05/2015 09:46:11","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",1,0.5,"Киев",1000,NA,"QA"
"6","Junior Software Engineer","C#/.NET","","0.5","0.5",400,0,"Киев","до 50 человек","Другая","мужской",22,"Высшее","True","ниже среднего","Веб-разработка,Корпоративные системы","18/05/2015 09:46:18","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",0.5,0.5,"Киев",400,NA,"DEV"
"7","QA engineer","","Manual QA","0.5","0.5",400,0,"Харьков","до 200 человек","Аутсорсинговая","мужской",23,"Высшее","False","средний","iOS,Веб-разработка","18/05/2015 09:46:24","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",0.5,0.5,"Харьков",400,NA,"QA"
"8","Senior Project Manager / Program Manager","","","5","1.5",4400,0,"Другой","свыше 1000 человек","Аутсорсинговая","мужской",34,"Два высших","False","продвинутый","Android,Другое","18/05/2015 09:46:24","Mozilla/5.0 (iPad; CPU OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/42.0.2311.47 Mobile/12B466 Safari/600.1.4",5,1.5,"other",4400,NA,"SPM"
"9","Верстальщик","","","5","5",300,100,"Донецк","до 10 человек","Другая","мужской",29,"Высшее","False","элементарный","Веб-разработка","18/05/2015 09:46:31","Mozilla/5.0 (Windows NT 5.1; rv:38.0) Gecko/20100101 Firefox/38.0",5,5,"other",300,NA,""
"10","Software Engineer","Java","","2","2",1800,800,"Хмельницкий","до 10 человек","Продуктовая","мужской",28,"Высшее","False","средний","Веб-разработка,Корпоративные системы","18/05/2015 09:46:36","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",2,2,"other",1800,NA,"DEV"
