Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,"Зарплата в месяц",Изменение зарплаты,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
Junior Software Engineer,C#/.NET,,1.5,1.5,500,250,Черновцы,до 50 человек,Аутсорсинговая,m,22,Незаконченное высшее,True,ниже среднего,Веб-разработка,18/05/2015 09:43:04,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Бизнес-аналитик,,,9,4,1000,0,Киев,до 1000 человек,Продуктовая,m,31,Высшее,False,ниже среднего,"Финансы и банки,Корпоративные системы",18/05/2015 09:44:05,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
QA Tech Lead,,General QA,0.5,3,3000,100,Киев,до 1000 человек,Продуктовая,m,36,Высшее,False,выше среднего,Desktop Applications,18/05/2015 09:45:27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/8.0.6 Safari/600.6.3"
Senior QA engineer,,Automation QA,3,меньше 3 месяцев,3000,1200,Киев,до 200 человек,Аутсорсинговая,m,24,Высшее,False,выше среднего,Системное программирование,18/05/2015 09:45:45,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0
Junior QA engineer,,Automation QA,1,0.5,1000,0,Киев,до 1000 человек,Аутстаффинговая,m,22,Высшее,True,средний,"Финансы и банки,Другое",18/05/2015 09:46:11,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Junior Software Engineer,C#/.NET,,0.5,0.5,400,0,Киев,до 50 человек,Другая,m,22,Высшее,True,ниже среднего,"Веб-разработка,Корпоративные системы",18/05/2015 09:46:18,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
QA engineer,,Manual QA,0.5,0.5,400,0,Харьков,до 200 человек,Аутсорсинговая,m,23,Высшее,False,средний,"iOS,Веб-разработка",18/05/2015 09:46:24,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Senior Project Manager / Program Manager,,,5,1.5,4400,0,Другой,свыше 1000 человек,Аутсорсинговая,m,34,Два высших,False,продвинутый,"Android,Другое",18/05/2015 09:46:24,"Mozilla/5.0 (iPad; CPU OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/42.0.2311.47 Mobile/12B466 Safari/600.1.4"
Верстальщик,,,5,5,300,100,Донецк,до 10 человек,Другая,m,29,Высшее,False,элементарный,Веб-разработка,18/05/2015 09:46:31,Mozilla/5.0 (Windows NT 5.1; rv:38.0) Gecko/20100101 Firefox/38.0
Software Engineer,Java,,2,2,1800,800,Хмельницкий,до 10 человек,Продуктовая,m,28,Высшее,False,средний,"Веб-разработка,Корпоративные системы",18/05/2015 09:46:36,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
QA engineer,,Manual QA,2,1.5,300,150,Киев,до 200 человек,Продуктовая,m,24,Высшее,False,выше среднего,Финансы и банки,18/05/2015 09:46:38,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
Senior Software Engineer,PHP,,7,1.5,1900,0,Запорожье,до 200 человек,Аутстаффинговая,m,25,Высшее,False,выше среднего,Веб-разработка,18/05/2015 09:47:14,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:38.0) Gecko/20100101 Firefox/38.0
Junior QA engineer,,Manual QA,0.5,0.5,600,0,Киев,свыше 1000 человек,Аутстаффинговая,m,21,Высшее,True,средний,Корпоративные системы,18/05/2015 09:47:21,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0
Junior Software Engineer,Objective-C,,0.5,0.5,400,100,Львов,до 50 человек,Аутсорсинговая,m,28,Высшее,False,средний,iOS,18/05/2015 09:47:49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Software Engineer,C#/.NET,,1,1,425,0,Киев,свыше 1000 человек,Продуктовая,m,28,Высшее,False,выше среднего,"Веб-разработка,Финансы и банки",18/05/2015 09:48:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Software Engineer,PHP,,3,3,2300,200,Днепропетровск,до 200 человек,Продуктовая,m,26,Высшее,False,средний,eCommerce,18/05/2015 09:49:09,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
Software Engineer,C#/.NET,,2,меньше 3 месяцев,1800,800,Киев,до 1000 человек,Продуктовая,m,23,Высшее,False,ниже среднего,Корпоративные системы,18/05/2015 09:49:12,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
Software Engineer,JavaScript,,4,1,900,100,Ивано-Франковск,до 50 человек,Аутсорсинговая,m,27,Высшее,False,ниже среднего,Веб-разработка,18/05/2015 09:49:16,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Software Engineer,C,,1,0.25,1000,150,Харьков,до 50 человек,Продуктовая,f,23,Высшее,False,средний,"Embedded,Телекоммуникации",18/05/2015 09:49:23,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0
Project manager,,,4,2,1000,100,Киев,до 50 человек,Другая,m,24,Высшее,False,средний,Веб-разработка,18/05/2015 09:49:32,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Technical Lead,C++,,9,меньше 3 месяцев,4500,700,Львов,до 1000 человек,Аутсорсинговая,m,30,Кандидат,False,выше среднего,"Embedded,Корпоративные системы",18/05/2015 09:49:35,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Senior Software Engineer,C#/.NET,,4,0.5,3400,1600,Киев,свыше 1000 человек,Аутстаффинговая,m,25,Высшее,False,средний,Корпоративные системы,18/05/2015 09:49:56,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Product Manager,,,меньше 3 месяцев,меньше 3 месяцев,400,0,Одесса,до 200 человек,Продуктовая,m,23,Два высших,False,средний,Финансы и банки,18/05/2015 09:50:50,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Junior QA engineer,,Manual QA,0.5,0.5,300,0,Киев,до 10 человек,Продуктовая,m,25,Высшее,False,ниже среднего,"Android,Корпоративные системы",18/05/2015 09:51:26,Mozilla/5.0 (Windows NT 6.1; rv:36.0) Gecko/20100101 Firefox/36.0
Software Engineer,C,,1,0.25,1100,0,Киев,до 10 человек,Стартап,m,24,Высшее,False,средний,Embedded,18/05/2015 09:51:38,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Senior Software Engineer,Ruby/Rails,,10 и более лет,0.25,3500,300,Одесса,до 1000 человек,Аутсорсинговая,m,32,Высшее,False,ниже среднего,Веб-разработка,18/05/2015 09:52:02,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Junior Software Engineer,Java,,0.5,0.5,200,0,Харьков,до 200 человек,Продуктовая,m,26,Незаконченное высшее,False,средний,"Android,Телекоммуникации",18/05/2015 09:52:35,Mozilla/5.0 (Windows NT 5.2; rv:38.0) Gecko/20100101 Firefox/38.0
Senior Project Manager / Program Manager,,,10 и более лет,1,4300,200,Киев,до 1000 человек,Аутсорсинговая,m,36,Высшее,False,продвинутый,"iOS,Корпоративные системы",18/05/2015 09:54:10,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Software Engineer,Java,,1,0.5,440,210,Запорожье,до 10 человек,Аутсорсинговая,m,28,Два высших,False,элементарный,"Android,Веб-разработка",18/05/2015 09:54:13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Technical Lead,C#/.NET,,10 и более лет,4,5000,1000,Одесса,до 1000 человек,Аутсорсинговая,m,33,Высшее,False,выше среднего,Веб-разработка,18/05/2015 09:54:24,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Senior Software Engineer,Java,,4,4,1600,400,Житомир,до 200 человек,Продуктовая,m,24,Высшее,False,средний,Android,18/05/2015 09:54:28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Бизнес-аналитик,,,3,0.25,1500,500,Киев,до 50 человек,Продуктовая,m,26,Высшее,False,выше среднего,Корпоративные системы,18/05/2015 09:54:34,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Junior Software Engineer,C#/.NET,,2,0.5,1200,0,Киев,до 200 человек,Аутсорсинговая,m,22,Высшее,False,средний,Веб-разработка,18/05/2015 09:55:07,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Technical Lead,C#/.NET,,7,3,2800,100,Днепропетровск,свыше 1000 человек,Аутстаффинговая,m,28,Высшее,False,выше среднего,Windows Phone,18/05/2015 09:55:11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Software Engineer,Java,,1.5,0.25,750,350,Черкассы,до 50 человек,Аутсорсинговая,f,26,Высшее,False,средний,Android,18/05/2015 09:55:13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
Software Engineer,C#/.NET,,1,меньше 3 месяцев,2000,1200,Киев,до 200 человек,Продуктовая,m,23,Два высших,False,продвинутый,"Веб-разработка,Корпоративные системы",18/05/2015 09:55:22,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
QA engineer,,Manual QA,1.5,0.25,700,400,Харьков,до 200 человек,Продуктовая,m,23,Высшее,False,ниже среднего,Gamedev,18/05/2015 09:55:31,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36 OPR/29.0.1795.47"
Software Engineer,JavaScript,,2,1,1450,150,Харьков,свыше 1000 человек,Аутсорсинговая,m,26,Высшее,False,средний,"Веб-разработка,eCommerce",18/05/2015 09:56:02,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Software Engineer,Java,,4,1,2000,0,Днепропетровск,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,False,средний,eCommerce,18/05/2015 09:56:03,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Senior Software Engineer,C#/.NET,,8,1,3400,-680,Харьков,до 200 человек,Аутстаффинговая,m,30,Высшее,False,продвинутый,Веб-разработка,18/05/2015 09:56:29,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Support,,,1,1,212,0,Киев,до 50 человек,Продуктовая,m,22,Высшее,False,средний,Финансы и банки,18/05/2015 09:56:32,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
QA engineer,,Manual QA,3,1.5,1700,100,Одесса,свыше 1000 человек,Аутсорсинговая,m,23,Высшее,False,средний,Другое,18/05/2015 09:56:47,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
QA engineer,,Automation QA,6,2,700,100,Кировоград,до 50 человек,Продуктовая,m,28,Высшее,False,средний,"Android,Веб-разработка",18/05/2015 09:56:53,Mozilla/5.0 (Windows NT 6.1; rv:37.0) Gecko/20100101 Firefox/37.0
Junior QA engineer,,Manual QA,1,0.5,200,0,Днепропетровск,до 10 человек,Продуктовая,m,23,Высшее,False,ниже среднего,"Android,iOS",18/05/2015 09:57:11,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Software Engineer,Delphi,,4,4,160,0,Другой,до 10 человек,Продуктовая,m,28,Высшее,False,средний,Desktop Applications,18/05/2015 09:57:24,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
Senior Software Engineer,Delphi,,6,1.5,1050,150,Киев,до 50 человек,Другая,m,31,Незаконченное высшее,False,средний,"Android,Desktop Applications",18/05/2015 09:57:40,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Senior Software Engineer,Ruby/Rails,,7,3,3500,0,Днепропетровск,до 50 человек,Продуктовая,m,27,Высшее,False,выше среднего,Веб-разработка,18/05/2015 09:57:43,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0
Junior Software Engineer,Java,,1.5,1,220,0,Житомир,до 50 человек,Аутсорсинговая,m,23,Незаконченное высшее,False,выше среднего,"Телекоммуникации,Корпоративные системы",18/05/2015 09:57:50,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0
Senior Software Engineer,Objective-C,,10 и более лет,6,3500,0,Киев,до 10 человек,Продуктовая,m,39,Высшее,False,элементарный,Desktop Applications,18/05/2015 09:57:58,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/8.0.6 Safari/600.6.3"
Верстальщик,,,7,6,1900,100,Харьков,до 200 человек,Аутсорсинговая,m,30,Два высших,False,средний,Веб-разработка,18/05/2015 09:57:59,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0
Senior Software Engineer,Python,,5,1,2500,1500,Киев,до 200 человек,Аутсорсинговая,m,27,Высшее,False,выше среднего,"Веб-разработка,eCommerce",18/05/2015 09:58:04,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Senior Software Engineer,JavaScript,,5,0.25,3000,1000,Черкассы,до 10 человек,Аутсорсинговая,m,24,Высшее,False,средний,"Android,Веб-разработка",18/05/2015 09:58:30,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12F70 Twitter for iPhone"
Software Engineer,PHP,,1.5,1.5,700,200,Киев,до 50 человек,Стартап,m,22,Незаконченное высшее,True,ниже среднего,Веб-разработка,18/05/2015 09:58:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
Software Engineer,Objective-C,,5,1.5,4000,0,Киев,до 10 человек,Продуктовая,m,35,Высшее,False,выше среднего,iOS,18/05/2015 09:58:39,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/8.0.6 Safari/600.6.3"
QA engineer,,Manual QA,2,2,800,400,Днепропетровск,свыше 1000 человек,Аутсорсинговая,m,28,Два высших,False,средний,Веб-разработка,18/05/2015 09:58:45,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Software Engineer,Java,,3,0.5,2090,700,Харьков,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,False,средний,eCommerce,18/05/2015 09:59:10,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36 OPR/29.0.1795.47"
HR,,,3,1.5,700,0,Киев,до 1000 человек,Продуктовая,f,23,Незаконченное высшее,False,выше среднего,Другое,18/05/2015 09:59:22,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Software Engineer,PHP,,6,0.25,1800,300,Киев,до 10 человек,Продуктовая,m,26,Незаконченное высшее,False,выше среднего,eCommerce,18/05/2015 09:59:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
