"N","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Университет","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"1",NA,"Software Engineer","JavaScript","","2","2",2200,200,"Днепр","до 200 человек","Продуктовая","мужской",27,"Высшее","НГУ [Днепропетровск]","False","выше среднего","Веб-разработка,Корпоративные системы","20/12/2016 10:03:34","Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",2,2,"other",2200,NA,"DEV"
"2",NA,"Junior Software Engineer","Java","","1","1",840,340,"Киев","до 1000 человек","Аутсорсинговая","мужской",30,"Высшее","НТУУ «КПИ»","False","средний","Финансы и банки","20/12/2016 10:04:11","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1,1,"Киев",840,NA,"DEV"
"3",NA,"Software Engineer","C#/.NET","","3","2",500,200,"Киев","до 10 человек","Другая","мужской",28,"Высшее","ДонНТУ","False","элементарный","Desktop Applications,Мультимедиа","20/12/2016 10:04:37","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",3,2,"Киев",500,NA,"DEV"
"4",NA,"Software Engineer","JavaScript","","1.5","0.5",600,400,"Харьков","до 1000 человек","Аутсорсинговая","мужской",20,"Незаконченное высшее","НТУ «ХПИ»","True","средний","Веб-разработка","20/12/2016 10:05:28","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/53.0.2785.143 Chrome/53.0.2785.143 Safari/537.36",1.5,0.5,"Харьков",600,NA,"DEV"
"5",NA,"Software Engineer","Java","","3","3",1700,470,"Киев","свыше 1000 человек","Продуктовая","мужской",22,"Высшее","НТУУ «КПИ»","False","средний","Телекоммуникации,Корпоративные системы","20/12/2016 10:05:30","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0",3,3,"Киев",1700,NA,"DEV"
"6",NA,"Software Engineer","C#/.NET","","2","2",1100,500,"Харьков","до 50 человек","Аутсорсинговая","мужской",23,"Высшее","ХАИ","False","средний","Веб-разработка,Корпоративные системы","20/12/2016 10:05:31","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",2,2,"Харьков",1100,NA,"DEV"
"7",NA,"Software Engineer","Objective-C","","4","4",1600,200,"Харьков","до 50 человек","Аутсорсинговая","мужской",26,"Высшее","НТУ «ХПИ»","False","ниже среднего","iOS","20/12/2016 10:06:00","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",4,4,"Харьков",1600,NA,"DEV"
"8",NA,"Software Engineer","JavaScript","","7","4",850,0,"Николаев","до 1000 человек","Аутсорсинговая","мужской",35,"Высшее","ЧГУ им. Петра Могилы","False","средний","Веб-разработка,Корпоративные системы","20/12/2016 10:06:17","Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0",7,4,"other",850,NA,"DEV"
"9",NA,"Software Engineer","C#/.NET","","3","3",1800,400,"Киев","до 1000 человек","Аутсорсинговая","мужской",24,"Два высших","НТУУ «КПИ»","True","выше среднего","Веб-разработка,Корпоративные системы","20/12/2016 10:06:39","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/55.0.2883.79 Mobile/14C92 Safari/602.1",3,3,"Киев",1800,NA,"DEV"
"10",NA,"Software Engineer","Perl","","4","3",700,50,"Чернигов","до 1000 человек","Продуктовая","мужской",24,"Высшее","Другой вуз","False","ниже среднего","Веб-разработка,Телекоммуникации","20/12/2016 10:06:59","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0",4,3,"other",700,NA,"DEV"
"11",NA,"Senior Software Engineer","JavaScript","","5","1.5",2800,400,"Днепр","до 1000 человек","Аутсорсинговая","мужской",23,"Высшее","Другой вуз","False","выше среднего","Веб-разработка","20/12/2016 10:07:49","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",5,1.5,"other",2800,NA,"DEV"
"12",NA,"Junior Software Engineer","C#/.NET","","7","0.5",200,50,"Луцк","до 50 человек","Продуктовая","мужской",29,"Высшее","Другой вуз","False","средний","Windows Phone,Корпоративные системы","20/12/2016 10:08:28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",7,0.5,"other",200,NA,"DEV"
"13",NA,"Junior Software Engineer","C++","","1","1",750,50,"Днепр","до 1000 человек","Аутсорсинговая","мужской",23,"Высшее","ДНУ им. Гончара","False","продвинутый","Desktop Applications,Другое","20/12/2016 10:08:37","Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1",1,1,"other",750,NA,"DEV"
"14",NA,"Director of Engineering / Program Director","","","10 и более лет","1.5",6000,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",32,"Высшее","Львовская Политехника","False","продвинутый","Финансы и банки,Корпоративные системы","20/12/2016 10:08:53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",10,1.5,"Киев",6000,NA,"SPM"
"15",NA,"Software Engineer","Java","","4","4",2700,-400,"Киев","до 200 человек","Аутсорсинговая","женский",25,"Высшее","ДонНТУ","False","средний","Android","20/12/2016 10:09:16","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",4,4,"Киев",2700,NA,"DEV"
"16",NA,"Junior Software Engineer","JavaScript","","2","2",450,140,"Киев","до 200 человек","Продуктовая","мужской",24,"Высшее","НТУУ «КПИ»","False","средний","Веб-разработка","20/12/2016 10:09:24","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",2,2,"Киев",450,NA,"DEV"
"17",NA,"Software Engineer","C#/.NET","","8","0.5",3000,0,"Киев","до 50 человек","Аутстаффинговая","мужской",29,"Высшее","НТУУ «КПИ»","False","выше среднего","Веб-разработка","20/12/2016 10:09:56","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",8,0.5,"Киев",3000,NA,"DEV"
"18",NA,"Software Engineer","PHP","","6","0.5",2100,250,"Киев","до 200 человек","Продуктовая","мужской",29,"Высшее","НАУ","False","ниже среднего","Веб-разработка","20/12/2016 10:10:01","Mozilla/5.0 (Linux; Android 6.0.1; Redmi 3S Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",6,0.5,"Киев",2100,NA,"DEV"
"19",NA,"Software Engineer","PHP","","1.5","1.5",1300,850,"Удаленно","до 10 человек","Аутсорсинговая","мужской",23,"Высшее","Другой вуз","False","средний","Веб-разработка","20/12/2016 10:10:02","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1.5,1.5,"other",1300,NA,"DEV"
"20",NA,"Software Engineer","Java","","3","0.5",2500,2000,"Киев","до 200 человек","Продуктовая","мужской",22,"Высшее","НТУУ «КПИ»","True","выше среднего","Gamedev","20/12/2016 10:10:14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",3,0.5,"Киев",2500,NA,"DEV"
"21",NA,"Senior QA engineer","","Manual QA","6","3",2200,150,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",29,"Высшее","Львовская Политехника","False","выше среднего","Финансы и банки,Другое","20/12/2016 10:10:18","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0",6,3,"Львов",2200,NA,"QA"
"22",NA,"Software Engineer","Python","","1.5","меньше 3 месяцев",600,0,"Киев","до 200 человек","Продуктовая","мужской",23,"Высшее","НТУУ «КПИ»","False","ниже среднего","Веб-разработка","20/12/2016 10:10:20","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/53.0.2785.143 Chrome/53.0.2785.143 Safari/537.36",1.5,0,"Киев",600,NA,"DEV"
"23",NA,"Junior Software Engineer","Java","","0.25","0.25",400,400,"Киев","до 10 человек","Аутстаффинговая","мужской",29,"Высшее","КНУ им. Шевченко","False","выше среднего","Android","20/12/2016 10:10:28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",0.25,0.25,"Киев",400,NA,"DEV"
"24",NA,"Software Engineer","PHP","","3","1",1400,200,"Харьков","до 10 человек","Аутстаффинговая","мужской",29,"Высшее","НТУ «ХПИ»","False","средний","eCommerce","20/12/2016 10:11:14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:50.0) Gecko/20100101 Firefox/50.0",3,1,"Харьков",1400,NA,"DEV"
"25",NA,"Senior Software Engineer","Delphi","","7","3",1800,300,"Киев","до 200 человек","Продуктовая","мужской",33,"Незаконченное высшее","Другой вуз","False","выше среднего","Desktop Applications,Системное программирование","20/12/2016 10:11:19","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",7,3,"Киев",1800,NA,"DEV"
"26",NA,"Software Engineer","PHP","","5","5",700,-100,"Запорожье","до 10 человек","Аутсорсинговая","мужской",26,"Высшее","Другой вуз","False","средний","Веб-разработка","20/12/2016 10:11:30","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",5,5,"other",700,NA,"DEV"
"27",NA,"Junior Software Engineer","Python","","0.25","0.25",500,0,"Киев","до 10 человек","Продуктовая","мужской",21,"Высшее","ВНУ им. Даля","True","средний","Веб-разработка,Системное программирование","20/12/2016 10:11:31","Mozilla/5.0 (Linux; Android 5.1; m2 Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Mobile Safari/537.36 OPR/37.0.2192.105088",0.25,0.25,"Киев",500,NA,"DEV"
"28",NA,"Business analyst","","","2","1",600,200,"Киев","свыше 1000 человек","Другая","мужской",24,"Высшее","КНУ им. Шевченко","False","выше среднего","Телекоммуникации","20/12/2016 10:11:34","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",2,1,"Киев",600,NA,""
"29",NA,"Junior Software Engineer","PHP","","меньше 3 месяцев","меньше 3 месяцев",200,0,"Удаленно","до 10 человек","Другая","мужской",24,"Высшее","Другой вуз","False","средний","Веб-разработка","20/12/2016 10:11:45","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",0,0,"other",200,NA,"DEV"
"30",NA,"Senior Software Engineer","C#/.NET","","10 и более лет","1",2250,0,"Харьков","до 200 человек","Аутсорсинговая","мужской",30,"Высшее","ХНУРЭ","False","выше среднего","Gamedev,Корпоративные системы","20/12/2016 10:11:47","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",10,1,"Харьков",2250,NA,"DEV"
