,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты за 12 месяцев,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Университет,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
,Software Engineer,JavaScript,,2,2,2200,200,Днепр,до 200 человек,Продуктовая,m,27,Высшее,НГУ [Днепропетровск],False,выше среднего,"Веб-разработка,Корпоративные системы",20/12/2016 10:03:34,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,Java,,1,1,840,340,Киев,до 1000 человек,Аутсорсинговая,m,30,Высшее,НТУУ «КПИ»,False,средний,Финансы и банки,20/12/2016 10:04:11,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,C#/.NET,,3,2,500,200,Киев,до 10 человек,Другая,m,28,Высшее,ДонНТУ,False,элементарный,"Desktop Applications,Мультимедиа",20/12/2016 10:04:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,JavaScript,,1.5,0.5,600,400,Харьков,до 1000 человек,Аутсорсинговая,m,20,Незаконченное высшее,НТУ «ХПИ»,True,средний,Веб-разработка,20/12/2016 10:05:28,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/53.0.2785.143 Chrome/53.0.2785.143 Safari/537.36"
,Software Engineer,Java,,3,3,1700,470,Киев,свыше 1000 человек,Продуктовая,m,22,Высшее,НТУУ «КПИ»,False,средний,"Телекоммуникации,Корпоративные системы",20/12/2016 10:05:30,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Software Engineer,C#/.NET,,2,2,1100,500,Харьков,до 50 человек,Аутсорсинговая,m,23,Высшее,ХАИ,False,средний,"Веб-разработка,Корпоративные системы",20/12/2016 10:05:31,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,Objective-C,,4,4,1600,200,Харьков,до 50 человек,Аутсорсинговая,m,26,Высшее,НТУ «ХПИ»,False,ниже среднего,iOS,20/12/2016 10:06:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14"
,Software Engineer,JavaScript,,7,4,850,0,Николаев,до 1000 человек,Аутсорсинговая,m,35,Высшее,ЧГУ им. Петра Могилы,False,средний,"Веб-разработка,Корпоративные системы",20/12/2016 10:06:17,Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0
,Software Engineer,C#/.NET,,3,3,1800,400,Киев,до 1000 человек,Аутсорсинговая,m,24,Два высших,НТУУ «КПИ»,True,выше среднего,"Веб-разработка,Корпоративные системы",20/12/2016 10:06:39,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/55.0.2883.79 Mobile/14C92 Safari/602.1"
,Software Engineer,Perl,,4,3,700,50,Чернигов,до 1000 человек,Продуктовая,m,24,Высшее,Другой вуз,False,ниже среднего,"Веб-разработка,Телекоммуникации",20/12/2016 10:06:59,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0
,Senior Software Engineer,JavaScript,,5,1.5,2800,400,Днепр,до 1000 человек,Аутсорсинговая,m,23,Высшее,Другой вуз,False,выше среднего,Веб-разработка,20/12/2016 10:07:49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,Junior Software Engineer,C#/.NET,,7,0.5,200,50,Луцк,до 50 человек,Продуктовая,m,29,Высшее,Другой вуз,False,средний,"Windows Phone,Корпоративные системы",20/12/2016 10:08:28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,Junior Software Engineer,C++,,1,1,750,50,Днепр,до 1000 человек,Аутсорсинговая,m,23,Высшее,ДНУ им. Гончара,False,продвинутый,"Desktop Applications,Другое",20/12/2016 10:08:37,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1"
,Director of Engineering / Program Director,,,10 и более лет,1.5,6000,0,Киев,свыше 1000 человек,Аутсорсинговая,m,32,Высшее,Львовская Политехника,False,продвинутый,"Финансы и банки,Корпоративные системы",20/12/2016 10:08:53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,Software Engineer,Java,,4,4,2700,-400,Киев,до 200 человек,Аутсорсинговая,f,25,Высшее,ДонНТУ,False,средний,Android,20/12/2016 10:09:16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
