"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"1","Киев",2000,21,"DBA",5,0.25,"","",26,"мужской","Высшее","КНУ им. Шевченко","False","выше среднего","до 1000 человек","Аутсорсинговая","Финансы и банки"
"2","Николаев",1323,123,"QA engineer",5,0.5,"","General QA",27,"мужской","Высшее","НУК","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка,Корпоративные системы"
"3","Киев",4300,300,"Product Manager",10,10,"","",33,"мужской","Кандидат","НТУУ «КПИ»","False","продвинутый","до 200 человек","Продуктовая","Desktop Applications,Gamedev"
"4","Киев",2800,0,"Senior Software Engineer",5,0,"Swift","",30,"мужской","Высшее","ВНУ им. Даля","False","выше среднего","свыше 1000 человек","Аутсорсинговая","iOS"
"5","Киев",1100,600,"Software Engineer",2,2,"C#/.NET","",22,"мужской","Незаконченное высшее","НАУ","True","ниже среднего","до 1000 человек","Другая","Веб-разработка,Финансы и банки"
"6","Черновцы",500,100,"Junior Software Engineer",0.5,0.5,"Java","",23,"мужской","Высшее","Другой вуз","False","средний","до 50 человек","Аутсорсинговая","Android"
"7","Харьков",250,50,"Sysadmin",7,3,"","",27,"мужской","Высшее","Другой вуз","False","выше среднего","до 50 человек","Другая","Другое"
"8","Киев",1600,-400,"Software Engineer",5,0.25,"Java","",29,"мужской","Высшее","НТУУ «КПИ»","False","элементарный","до 50 человек","Стартап","Android,Другое"
"9","Киев",1500,500,"QA Tech Lead",3,2,"","General QA",25,"женский","Два высших","НТУУ «КПИ»","False","средний","до 200 человек","Продуктовая","Веб-разработка"
"10","Киев",200,0,"Junior Software Engineer",1,0.5,"PHP","",23,"мужской","Высшее","НУПТ","False","ниже среднего","до 50 человек","Продуктовая","Веб-разработка"
"11","Днепр.",1100,700,"Software Engineer",1.5,0.5,"Ruby/Rails","",23,"мужской","Незаконченное высшее","НГУ [Днепропетровск]","False","ниже среднего","до 50 человек","Аутстаффинговая","Веб-разработка"
"12","Запорожье",630,60,"QA engineer",4,3,"","Manual QA",34,"мужской","Два высших","ЗНТУ","False","ниже среднего","до 10 человек","Продуктовая","Desktop Applications,Веб-разработка"
"13","Киев",2600,0,"DevOps",8,1.5,"","",28,"мужской","Незаконченное высшее","НаУКМА","False","продвинутый","свыше 1000 человек","Аутсорсинговая","eCommerce,Корпоративные системы"
"14","Киев",5000,1000,"System Architect",10,5,"Java","",32,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 50 человек","Стартап","Другое"
"15","Киев",1700,700,"Software Engineer",3,0.5,"Objective-C","",26,"мужской","Незаконченное высшее","ВНУ им. Даля","False","средний","до 1000 человек","Аутсорсинговая","iOS"
"16","Одесса",400,0,"Junior QA engineer",0.5,0.5,"","Manual QA",30,"мужской","Высшее","ОНАС","False","средний","до 200 человек","Аутсорсинговая","Android,Веб-разработка"
"17","Львов",2000,800,"Team lead",2,2,"","",24,"мужской","Высшее","Другой вуз","False","выше среднего","до 50 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"18","Киев",600,0,"Junior Software Engineer",0,0,"Java","",23,"мужской","Незаконченное высшее","НТУУ «КПИ»","True","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"19","Харьков",250,0,"Marketing",1,0.25,"","",22,"мужской","Высшее","ХНУРЭ","False","элементарный","до 50 человек","Аутсорсинговая","eCommerce,Другое"
"20","Киев",2000,600,"Software Engineer",3,0.5,"C#/.NET","",23,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"21","Харьков",1400,0,"DevOps",10,2,"","",29,"мужской","Высшее","Другой вуз","False","выше среднего","до 200 человек","Продуктовая","Корпоративные системы"
"22","Харьков",1700,1000,"Software Engineer",3,0.5,"Objective-C","",22,"мужской","Высшее","НТУ «ХПИ»","False","выше среднего","до 1000 человек","Аутсорсинговая","iOS,Desktop Applications"
"23","Киев",600,350,"Security Specialist",1,0.25,"","",23,"мужской","Высшее","КНУ им. Шевченко","False","ниже среднего","свыше 1000 человек","Продуктовая","Телекоммуникации,Корпоративные системы"
"24","Днепр.",425,0,"Researcher",1,1,"","",20,"женский","Незаконченное высшее","ДНУ им. Гончара","True","средний","до 10 человек","Аутсорсинговая","Другое"
"25","Харьков",2800,200,"Senior Software Engineer",8,5,"PHP","",28,"мужской","Высшее","ХНУРЭ","False","выше среднего","до 10 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"26","Киев",2500,500,"Software Engineer",3,1,"Objective-C","",27,"мужской","Высшее","Другой вуз","False","средний","до 1000 человек","Аутсорсинговая","iOS"
"27","Киев",2000,150,"Senior QA engineer",5,2,"","General QA",23,"мужской","Среднее","","False","выше среднего","до 200 человек","Аутсорсинговая","eCommerce"
"28","Киев",3400,1000,"Senior Software Engineer",4,1,"Java","",28,"мужской","Высшее","Другой вуз","False","средний","до 200 человек","Продуктовая","Веб-разработка,Другое"
"29","Киев",2880,850,"Senior Software Engineer",6,0.5,"Java","",28,"мужской","Незаконченное высшее","Другой вуз","False","выше среднего","до 200 человек","Аутсорсинговая","Финансы и банки,eCommerce"
"30","Житомир",250,0,"Junior Software Engineer",0.5,0.5,"Other","",22,"мужской","Высшее","Другой вуз","False","средний","до 50 человек","Аутсорсинговая","Корпоративные системы"
"31","Днепр.",1750,0,"Software Engineer",2,1.5,"JavaScript","",23,"женский","Высшее","ДНУЖТ","False","выше среднего","до 1000 человек","Продуктовая","Веб-разработка"
"32","Харьков",3000,0,"Senior Software Engineer",7,2,"PHP","",32,"мужской","Высшее","ХНЭУ","False","средний","до 10 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"33","Харьков",200,50,"Software Engineer",4,4,"Delphi","",25,"мужской","Высшее","НТУ «ХПИ»","False","ниже среднего","до 10 человек","Продуктовая","Desktop Applications,Embedded"
"34","Харьков",1000,600,"QA engineer",3,3,"","General QA",27,"мужской","Высшее","ВНУ им. Даля","False","ниже среднего","до 50 человек","Продуктовая","Веб-разработка,Корпоративные системы"
"35","Винница",500,250,"Junior Software Engineer",0.5,0.25,"JavaScript","",21,"мужской","Незаконченное высшее","ВНТУ","True","средний","до 50 человек","Аутсорсинговая","Android,Веб-разработка"
"36","Харьков",1200,800,"Software Engineer",1.5,1.5,"PHP","",24,"мужской","Высшее","Другой вуз","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка"
"37","Львов",2800,300,"Software Engineer",4,1.5,"Python","",30,"мужской","Высшее","ХНУРЭ","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка"
"38","Киев",1000,200,"Junior QA engineer",2,1.5,"","Manual QA",26,"женский","Высшее","Другой вуз","False","выше среднего","до 1000 человек","Продуктовая","Desktop Applications"
"39","Одесса",3800,500,"Senior Software Engineer",8,0.25,"C#/.NET","",28,"мужской","Высшее","ОНУ им. Мечникова","False","выше среднего","до 200 человек","Аутсорсинговая","Корпоративные системы"
"40","Днепр.",1425,190,"Software Engineer",3,3,"Java","",25,"мужской","Высшее","Другой вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"41","Киев",720,100,"Senior Software Engineer",6,4,"1С","",26,"мужской","Незаконченное высшее","Другой вуз","False","выше среднего","до 50 человек","Продуктовая","Desktop Applications,Системное программирование"
"42","Киев",1000,0,"Business analyst",10,3,"","",33,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 200 человек","Продуктовая","Телекоммуникации,Корпоративные системы"
"43","Харьков",3700,1000,"Technical Lead",6,1,"PHP","",24,"мужской","Высшее","Другой вуз","False","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"44","Киев",1900,0,"QA engineer",3,0.5,"","Automation QA",25,"мужской","Высшее","НТУУ «КПИ»","False","средний","свыше 1000 человек","Аутстаффинговая","Веб-разработка"
"45","Одесса",800,300,"Junior QA engineer",1,0.25,"","Manual QA",27,"мужской","Высшее","Другой вуз","False","средний","до 200 человек","Аутсорсинговая",""
"46","Киев",2600,200,"QA engineer",4,1.5,"","General QA",32,"женский","Высшее","КНУ им. Шевченко","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"47","Харьков",1700,200,"Software Engineer",2,2,"Java","",26,"мужской","Техникум / Колледж","","False","выше среднего","до 50 человек","Аутсорсинговая","Android,iOS"
"48","Одесса",500,200,"Sales manager",0,0,"","",24,"мужской","Высшее","Другой вуз","False","ниже среднего","до 200 человек","Другая","Android,iOS"
"49","Киев",1400,400,"Software Engineer",2,2,"C#/.NET","",24,"мужской","Два высших","НТУУ «КПИ»","True","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"50","Киев",1800,600,"Software Engineer",3,1,"Java","",26,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 200 человек","Аутсорсинговая","Корпоративные системы,Мультимедиа"
