"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"1","Киев",900,300,"Junior Software Engineer",1,0.5,"Golang","",29,"мужской","Незаконченное высшее","НТУУ «КПИ»","False","средний","до 200 человек","Аутсорсинговая","Финансы и банки,Корпоративные системы"
"2","Киев",3500,500,"Senior Software Engineer",4,2,"Java","",28,"мужской","Высшее","Другой вуз","False","средний","до 50 человек","Продуктовая","Android"
"3","Киев",1900,500,"Data Scientist / Data Analyst",4,0.25,"","",28,"мужской","Два высших","Другой вуз","False","средний","до 1000 человек","Продуктовая","Gamedev,Другое"
"4","Киев",300,0,"Junior QA engineer",0,0,"","Manual QA",25,"мужской","Высшее","Другой вуз","False","выше среднего","до 1000 человек","Аутсорсинговая","Gamedev"
"5","Киев",2200,400,"Senior Software Engineer",6,1,"PHP","",25,"мужской","Техникум / Колледж","","False","ниже среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"6","Днепр",1500,300,"Software Engineer",3,2,"PHP","",22,"мужской","Высшее","НГУ [Днепропетровск]","False","средний","до 200 человек","Аутстаффинговая","Веб-разработка,Корпоративные системы"
"7","Харьков",800,220,"QA engineer",3,3,"","Manual QA",27,"женский","Высшее","Другой вуз","False","продвинутый","до 50 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"8","Киев",2300,800,"Software Engineer",4,0.25,"C#/.NET","",29,"мужской","Высшее","КНУ им. Шевченко","False","средний","до 200 человек","Продуктовая","Веб-разработка,eCommerce"
"9","Харьков",2500,800,"Software Engineer",5,0.25,"C#/.NET","",38,"мужской","Высшее","ХНУРЭ","False","ниже среднего","до 200 человек","Аутстаффинговая","Веб-разработка,Корпоративные системы"
"10","Киев",3500,1000,"System Architect",5,4,"Other","",31,"женский","Кандидат","КНУ им. Шевченко","False","продвинутый","до 200 человек","Аутсорсинговая","Корпоративные системы,Другое"
"11","Киев",4000,500,"Senior QA engineer",7,2,"","Automation QA",27,"мужской","Высшее","СумГУ","False","выше среднего","до 10 человек","Аутстаффинговая","Веб-разработка"
"12","Харьков",1000,500,"Project manager",2,2,"","",21,"женский","Незаконченное высшее","ХНУ им. Каразина","False","выше среднего","до 1000 человек","Продуктовая","Другое"
"13","Харьков",2500,700,"QA engineer",6,2,"","Automation QA",27,"мужской","Высшее","НТУ «ХПИ»","False","средний","до 200 человек","Стартап","iOS,Desktop Applications"
"14","Киев",3200,0,"Software Engineer",10,0,"Scala","",32,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 1000 человек","Аутстаффинговая","Другое"
"15","Харьков",3500,0,"System Architect",8,7,"PHP","",32,"мужской","Высшее","ХНУРЭ","False","выше среднего","до 50 человек","Аутстаффинговая","Веб-разработка,eCommerce"
"16","Сумы",450,50,"Software Engineer",1.5,1,"JavaScript","",22,"мужской","Высшее","СумГУ","True","ниже среднего","до 10 человек","Аутстаффинговая","Веб-разработка"
"17","Харьков",1110,810,"Software Engineer",1.5,1.5,"Java","",21,"мужской","Незаконченное высшее","НТУ «ХПИ»","True","ниже среднего","до 50 человек","Продуктовая","Веб-разработка,Другое"
"18","Другой",1100,100,"Junior QA engineer",1,1,"","Manual QA",24,"мужской","Высшее","Другой вуз","True","продвинутый","до 1000 человек","Аутсорсинговая","Embedded"
"19","Другой",1600,0,"Software Engineer",7,1,"PHP","",35,"мужской","Высшее","ХАИ","False","средний","до 1000 человек","Продуктовая","Веб-разработка"
"20","Одесса",400,0,"Support",0,0.25,"","",27,"мужской","Высшее","НУПТ","False","средний","до 50 человек","Другая","Desktop Applications,Корпоративные системы"
"21","Киев",1000,-500,"Software Engineer",1.5,0.5,"PHP","",23,"мужской","Высшее","СумГУ","False","выше среднего","до 10 человек","Продуктовая","Веб-разработка"
"22","Львов",2900,1100,"Senior Software Engineer",5,0,"Python","",29,"мужской","Высшее","Львовская Политехника","False","выше среднего","до 200 человек","Аутсорсинговая","Телекоммуникации"
"23","Киев",3050,500,"Product Manager",6,4,"","",26,"женский","Незаконченное высшее","Другой вуз","False","выше среднего","до 50 человек","Продуктовая","Embedded,Другое"
"24","Львов",4060,0,"Senior Software Engineer",9,0.5,"Java","",32,"мужской","Высшее","ЛНУ им. Франко","False","выше среднего","до 1000 человек","Аутстаффинговая","Корпоративные системы"
"25","Киев",2150,200,"QA engineer",5,3,"","Automation QA",27,"женский","Два высших","КНУСА","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"26","Киев",2800,0,"QA Tech Lead",7,5,"","General QA",30,"мужской","Высшее","НУПТ","False","средний","до 1000 человек","Продуктовая","Веб-разработка"
"27","Сумы",350,50,"HTML coder",2,1.5,"","",20,"женский","Незаконченное высшее","СумГУ","True","средний","до 10 человек","Аутстаффинговая","Веб-разработка"
"28","Львов",2000,600,"DevOps",3,0.25,"","",30,"мужской","Высшее","Львовская Политехника","False","средний","до 200 человек","Продуктовая","iOS,Веб-разработка"
"29","Киев",1200,0,"Product Manager",10,2,"","",35,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 1000 человек","Продуктовая","Телекоммуникации,Корпоративные системы"
"30","Харьков",1200,300,"Software Engineer",3,3,"Java","",27,"мужской","Высшее","ХАИ","False","средний","до 50 человек","Продуктовая","Финансы и банки"
"31","Другой",1800,0,"Marketing",7,1.5,"","",29,"мужской","Высшее","Другой вуз","False","средний","до 200 человек","Продуктовая","Веб-разработка"
"32","Харьков",995,150,"Software Engineer",3,1.5,"Java","",27,"женский","Высшее","ХНУ им. Каразина","False","средний","до 1000 человек","Аутсорсинговая","Корпоративные системы"
"33","Киев",2200,200,"Software Engineer",7,1,"JavaScript","",31,"женский","Высшее","Другой вуз","False","выше среднего","до 50 человек","Аутсорсинговая","Мультимедиа,Другое"
