"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"1","Харьков",400,0,"Junior QA engineer",0.5,0.5,"","Manual QA",20,"женский","Незаконченное высшее","ХНЭУ","True","ниже среднего","до 10 человек","Аутсорсинговая","iOS,eCommerce"
"2","Харьков",430,130,"Junior QA engineer",0,0,"","Manual QA",21,"женский","Незаконченное высшее","ХНЭУ","True","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"3","Киев",2500,800,"Software Engineer",4,1,"C#/.NET","",26,"мужской","Высшее","ДонНТУ","False","средний","до 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"4","Одесса",2000,400,"Software Engineer",5,4,"JavaScript","",30,"мужской","Среднее","","False","ниже среднего","до 200 человек","Продуктовая","Desktop Applications,Веб-разработка"
"5","Другой",4500,500,"Senior Software Engineer",10,0.5,"JavaScript","",30,"мужской","Техникум / Колледж","","False","средний","до 10 человек","Продуктовая","Desktop Applications,Веб-разработка"
"6","Киев",400,0,"Project manager",1,1,"","",21,"мужской","Незаконченное высшее","НАУ","True","средний","до 10 человек","Стартап","Веб-разработка"
"7","Хмельницкий",600,100,"Junior Software Engineer",1,0,"C#/.NET","",23,"мужской","Высшее","ХНУ [г. Хмельницкий]","False","ниже среднего","до 50 человек","Аутсорсинговая","Веб-разработка"
"8","Киев",3300,500,"Senior Software Engineer",6,1,"C++","",28,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 10 человек","Продуктовая","Другое"
"9","Харьков",550,550,"Junior Software Engineer",0.5,0.5,"Java","",23,"женский","Высшее","ХНУ им. Каразина","False","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"10","Киев",520,20,"Sysadmin",5,2,"","",29,"мужской","Высшее","НГУ [Днепропетровск]","False","средний","до 10 человек","Продуктовая","Системное программирование"
"11","Днепр",1600,300,"QA engineer",3,2,"","General QA",25,"мужской","Высшее","Другой вуз","False","выше среднего","до 200 человек","Продуктовая","Веб-разработка"
"12","Киев",5600,1500,"System Architect",10,1,"Scala","",30,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Аутстаффинговая","Корпоративные системы"
"13","Киев",800,200,"Software Engineer",1,0,"Python","",26,"мужской","Высшее","НТУУ «КПИ»","False","ниже среднего","до 50 человек","Аутсорсинговая","Веб-разработка,Другое"
"14","Харьков",1500,500,"QA engineer",2,0.5,"","General QA",26,"мужской","Высшее","ХНУ им. Каразина","False","средний","до 50 человек","Аутстаффинговая","Веб-разработка"
"15","Киев",2500,500,"Software Engineer",3,1,"Ruby/Rails","",27,"мужской","Высшее","Другой вуз","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка"
"16","Винница",2900,300,"Senior Software Engineer",5,5,"JavaScript","",26,"мужской","Высшее","ДонНТУ","False","продвинутый","до 200 человек","Аутсорсинговая","Веб-разработка"
"17","Киев",2875,0,"Software Engineer",4,1,"JavaScript","",24,"мужской","Высшее","НаУКМА","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Другое"
"18","Киев",574,274,"Junior Software Engineer",1,1,"C#/.NET","",23,"мужской","Высшее","НАУ","False","продвинутый","до 10 человек","Стартап","Gamedev,Другое"
"19","Киев",3300,600,"Senior Software Engineer",4,0.5,"C++","",22,"мужской","Высшее","КНУ им. Шевченко","True","выше среднего","до 1000 человек","Аутсорсинговая","Desktop Applications,Embedded"
"20","Киев",1800,150,"Senior QA engineer",4,4,"","Manual QA",30,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 1000 человек","Аутсорсинговая","Embedded"
"21","Киев",900,200,"Software Engineer",3,1,"Perl","",40,"мужской","Высшее","Другой вуз","False","средний","до 50 человек","Аутсорсинговая","Desktop Applications"
