Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты за 12 месяцев,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Университет,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
Junior QA engineer,,Manual QA,0.5,0.5,400,0,Харьков,до 10 человек,Аутсорсинговая,f,20,Незаконченное высшее,ХНЭУ,True,ниже среднего,"iOS,eCommerce",12/06/2017 12:38:08,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior QA engineer,,Manual QA,меньше 3 месяцев,меньше 3 месяцев,430,130,Харьков,свыше 1000 человек,Аутсорсинговая,f,21,Незаконченное высшее,ХНЭУ,True,выше среднего,Веб-разработка,12/06/2017 12:42:51,"Mozilla/5.0 (iPad; CPU OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1"
Software Engineer,C#/.NET,,4,1,2500,800,Киев,до 1000 человек,Аутсорсинговая,m,26,Высшее,ДонНТУ,False,средний,"Веб-разработка,Корпоративные системы",12/06/2017 13:02:47,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,JavaScript,,5,4,2000,400,Одесса,до 200 человек,Продуктовая,m,30,Среднее,,False,ниже среднего,"Desktop Applications,Веб-разработка",12/06/2017 13:03:01,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,JavaScript,,10 и более лет,0.5,4500,500,Другой,до 10 человек,Продуктовая,m,30,Техникум / Колледж,,False,средний,"Desktop Applications,Веб-разработка",12/06/2017 13:03:47,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1"
Project manager,,,1,1,400,0,Киев,до 10 человек,Стартап,m,21,Незаконченное высшее,НАУ,True,средний,Веб-разработка,12/06/2017 13:04:04,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0
Junior Software Engineer,C#/.NET,,1,меньше 3 месяцев,600,100,Хмельницкий,до 50 человек,Аутсорсинговая,m,23,Высшее,ХНУ [г. Хмельницкий],False,ниже среднего,Веб-разработка,12/06/2017 13:04:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,C++,,6,1,3300,500,Киев,до 10 человек,Продуктовая,m,28,Высшее,НТУУ «КПИ»,False,выше среднего,Другое,12/06/2017 13:04:27,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0
Junior Software Engineer,Java,,0.5,0.5,550,550,Харьков,свыше 1000 человек,Аутсорсинговая,f,23,Высшее,ХНУ им. Каразина,False,средний,Веб-разработка,12/06/2017 13:04:28,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0
Sysadmin,,,5,2,520,20,Киев,до 10 человек,Продуктовая,m,29,Высшее,НГУ [Днепропетровск],False,средний,Системное программирование,12/06/2017 13:05:17,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:52.0) Gecko/20100101 Firefox/52.0
