Отметка времени,Оберіть вашу посаду,Основна мова програмування,Додаткова мова програмування,"Фреймворки, бібліотеки й платформи",Вкажіть вашу спеціалізацію,Яку мову програмування ви використовуєте у роботі?,Оберіть вашу посаду_1,Оберіть вашу посаду_2,В якій області ви працюєте?,Місто,Тип компанії,Кількість технічних спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,"Зарплата за місяць, net, після податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Стать,Вік,Освіта,ЗВО,Знання англійської мови
2019/12/03 11:30:54 AM GMT+2,System Architect,C#/.NET,C#/.NET,.NET;.NET Core;ASP.NET,,,,,Веб-розробка;Корпоративні системи,Львів,Аутсорсингова,понад 1000,10 і більше років,3 роки,12000,2000,Чоловік,28,Технікум / Коледж,Інший виш,Upper-Intermediate
2019/12/03 4:22:31 PM GMT+2,Designer,,,,,,UI/UX Designer,,Веб-розробка,Київ,Аутсорсингова,до 50,3 роки,3 місяці,12000,0,Жінка,29,Вища,КНУТД,Upper-Intermediate
2019/12/17 3:45:26 PM GMT+2,Designer,,,,,,Graphic Designer,,Інше,Одеса,Продуктова,до 1000,5 років,2 роки,12000,0,Жінка,30,Вища,,Elementary
2019/12/17 4:31:56 PM GMT+2,Senior Project Manager / Program Manager,,,,,,,,iOS;Веб-розробка;eCommerce,Віддалено,Продуктова,до 10 спеціалістів,7 років,7 років,12000,2000,Чоловік,30,Вища,Інший виш,Advanced
2019/12/03 11:02:19 AM GMT+2,Software Engineer,JavaScript,Не використовую,Angular/Angular.js,,,,,Веб-розробка,Черкаси,Інша,до 10 спеціалістів,3 роки,2 роки,12000,0,Жінка,31,Дві вищих,Інший виш,Advanced
2019/12/03 10:52:09 PM GMT+2,DevOps,,,,,,,,Інше,Віддалено,Інша,до 10 спеціалістів,9 років,3 роки,11400,1000,Жінка,28,Вища,НТУ «ХПІ»,Advanced
2019/12/03 2:25:48 PM GMT+2,System Architect,C#/.NET,C#/.NET,.NET;.NET Core;ASP.NET,,,,,Системне програмування;Фінанси та банки,Львів,Аутсорсингова,понад 1000,10 і більше років,1 рік,11200,1200,Чоловік,30,Вища,ЛНУ ім. Франка,Advanced
2019/12/03 2:02:33 PM GMT+2,Senior Software Engineer,Java,Kotlin,Play;Spring,,,,,Веб-розробка;Інше,Віддалено,Продуктова,до 10 спеціалістів,8 років,3 місяці,11000,5000,Чоловік,30,Вища,НТУУ «КПІ»,Advanced
2019/12/03 2:27:36 PM GMT+2,System Architect,C#/.NET,C#/.NET,.NET;.NET Core;ASP.NET,,,,,Веб-розробка;Телекомунікації,Львів,Аутсорсингова,понад 1000,6 років,4 роки,10800,2800,Чоловік,27,Незакінчена вища,Львівська політехніка,Upper-Intermediate
2019/12/03 1:35:06 PM GMT+2,Designer,,,,,,Graphic Designer,,Інше,Дніпро,Продуктова,до 50,3 роки,2 роки,10000,2000,Жінка,26,Вища,ДНУ ім. Гончара,Intermediate
2019/12/03 3:38:43 PM GMT+2,Marketing,,,,,,,,eCommerce,Полтава,Продуктова,до 1000,5 років,Півроку,10000,0,Чоловік,26,Вища,ЛНУ ім. Франка,Elementary
2019/12/03 5:46:06 PM GMT+2,Product Manager,,,,,,,,Інше,Дніпро,Інша,до 200,5 років,3 роки,10000,0,Чоловік,30,Вища,,Advanced
2019/12/08 8:48:12 PM GMT+2,System Architect,JavaScript,Python,Angular/Angular.js;Node.js;React.js,,,,,Веб-розробка,Київ,Інша,до 50,10 і більше років,1 рік,10000,2000,Чоловік,34,Дві вищих,ДонНТУ,Advanced
2019/12/03 7:23:15 PM GMT+2,Senior Software Engineer,PHP,JavaScript,Magento,,,,,eCommerce,Київ,Продуктова,до 200,10 і більше років,8 років,10000,2000,Чоловік,35,Вища,ХНУРЕ,Advanced
2019/12/08 4:37:57 PM GMT+2,Director of Engineering / Program Director,,,,,,,,iOS;Веб-розробка;Embedded,Київ,Стартап,до 10 спеціалістів,10 і більше років,1 рік,10000,-3500,Чоловік,37,Вища,НТУУ «КПІ»,Advanced
2019/12/04 8:13:57 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Корпоративні системи,Київ,Продуктова,до 50,10 і більше років,Менше 3 місяців,9500,3000,Чоловік,35,Вища,НТУУ «КПІ»,Advanced
2019/12/03 12:41:46 PM GMT+2,Director of Engineering / Program Director,,,,,,,,iOS;Фінанси та банки;eCommerce,Київ,Аутсорсингова,до 50,10 і більше років,2 роки,9200,200,Чоловік,28,Вища,ВНТУ,Advanced
2019/12/03 8:01:45 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Веб-розробка;Телекомунікації;Фінанси та банки,Львів,Аутсорсингова,до 200,9 років,5 років,9000,1000,Чоловік,27,Вища,НТУУ «КПІ»,Advanced
2019/12/04 6:18:49 AM GMT+2,Senior Project Manager / Program Manager,,,,,,,,Корпоративні системи,Київ,Аутсорсингова,до 1000,7 років,2 роки,9000,2000,Чоловік,29,Вища,НТУУ «КПІ»,Upper-Intermediate
2020/01/03 9:20:33 AM GMT+2,Director of Engineering / Program Director,,,,,,,,Embedded;Телекомунікації,Київ,Аутсорсингова,до 50,10 і більше років,9 років,9000,500,Чоловік,38,Вища,НТУУ «КПІ»,Advanced
2019/12/16 6:15:41 PM GMT+2,Technical Lead,Java,Kotlin,Flask;Hibernate;Spring,,,,,Фінанси та банки;eCommerce;Корпоративні системи,Київ,Стартап,до 200,9 років,2 роки,8500,0,Чоловік,27,Вища,Інший виш,Advanced
2019/12/03 4:19:30 PM GMT+2,Team Lead,,,,,,,,Веб-розробка;eCommerce,Дніпро,Продуктова,до 1000,8 років,4 роки,8500,400,Чоловік,28,Вища,ДНУ ім. Гончара,Upper-Intermediate
2019/12/03 12:12:44 PM GMT+2,Data Science,,,,,,,,Фінанси та банки;Корпоративні системи,Київ,Аутсорсингова,понад 1000,5 років,2 роки,8500,1500,Чоловік,29,Вища,КНУ ім. Шевченка,Advanced
2019/12/03 11:08:52 AM GMT+2,Senior Software Engineer,PHP,PHP,,,,,,Веб-розробка,Київ,Продуктова,до 1000,7 років,5 років,8500,500,Чоловік,35,Кандидат,КНУ ім. Шевченка,Advanced
2019/12/13 7:03:36 PM GMT+2,Designer,,,,,,Graphic Designer,,Інше,Суми,Продуктова,до 10 спеціалістів,7 років,3 роки,8400,2000,Чоловік,25,Технікум / Коледж,,Pre-Intermediate
2019/12/16 3:46:01 PM GMT+2,Designer,,,,,,UI/UX Designer,,Android;iOS;Desktop Applications,Київ,Продуктова,до 50,3 роки,3 місяці,8000,2000,Чоловік,21,Дві вищих,КНУТД,Pre-Intermediate
2019/12/17 3:16:51 PM GMT+2,Software Engineer,JavaScript,Інша,React.js,,,,,Веб-розробка,Віддалено,Продуктова,до 1000,5 років,1 рік,8000,4000,Чоловік,23,Вища,КНУ ім. Шевченка,Upper-Intermediate
2019/12/03 10:42:57 AM GMT+2,Senior Software Engineer,Swift,Objective-C,,,,,,iOS,Віддалено,Продуктова,до 10 спеціалістів,7 років,4 роки,8000,2500,Чоловік,28,Вища,Інший виш,Intermediate
2019/12/03 11:55:15 PM GMT+2,Research Engineer,,,,,,,,Веб-розробка;Embedded;Мультимедіа,Київ,Аутстафінгова,до 1000,7 років,2 роки,8000,0,Чоловік,29,Дві вищих,,Upper-Intermediate
2019/12/04 5:15:29 PM GMT+2,System Architect,PHP,JavaScript,"Symfony, Laravel",,,,,Веб-розробка;Телекомунікації;Корпоративні системи,Дніпро,Аутсорсингова,до 50,10 і більше років,3 роки,8000,800,Чоловік,29,Вища,,Upper-Intermediate
2019/12/02 1:51:49 PM GMT+2,Junior Software Engineer,Java,Не використовую,Spring,Manual QA,Java,,,Веб-розробка,Київ,Аутсорсингова,понад 1000,6 років,3 роки,8000,1000,Чоловік,30,Дві вищих,НТУУ «КПІ»,Upper-Intermediate
2019/12/05 12:17:24 AM GMT+2,Senior Project Manager / Program Manager,,,,,,,,Веб-розробка,Віддалено,Стартап,до 10 спеціалістів,10 і більше років,4 роки,8000,1000,Чоловік,30,Дві вищих,ХНУРЕ,Advanced
2019/12/06 12:13:58 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Веб-розробка,Київ,Продуктова,до 50,8 років,3 роки,8000,0,Чоловік,30,Вища,НТУУ «КПІ»,Advanced
2019/12/03 5:05:01 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Desktop Applications,Київ,Продуктова,до 50,10 і більше років,7 років,8000,3000,Чоловік,31,Вища,НТУУ «КПІ»,Advanced
2019/12/06 9:04:06 PM GMT+2,DevOps,,,,,,,,Мультимедіа,Віддалено,Продуктова,до 50,10 і більше років,1 рік,8000,1000,Чоловік,32,Вища,,Upper-Intermediate
