Отметка времени,Ви працюєте зараз в ІТ?,Де ви мешкаєте?,Де ви працюєте?,Ваша стать,Ваш вік,Яка у вас освіта?,Вкажіть заклад вищої освіти,Знання англійської мови,Оберіть вашу посаду,Ваш тайтл,Вкажіть вашу спеціалізацію,Основна мова програмування,Інші мови програмування,"Фреймворки, бібліотеки та платформи","Платформи, для яких розробляєте на поточному місці роботи?",Ваш тайтл_1,Вкажіть вашу спеціалізацію_2,Яку мову програмування використовуєте у роботі?,Оберіть вашу посаду_3,Ваш тайтл_4,Ваша посада,Ваш тайтл_5,Оберіть вашу посаду_6,Ваш тайтл_7,Ваша посада_8,Ваш тайтл_9,Ваша посада_10,Ваш тайтл_11,Ваша посада_12,Ваш тайтл_13,Ваша посада_14,Ваш тайтл_15,Ваша посада_16,В якій сфері працюєте?,Тип компанії,Кількість спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,У скількох компаніях встигли попрацювати за час ІТ-кар'єри?,"Зарплата у $$$ за місяць, лише ставка після сплати податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Чи отримуєте ви грошові бонуси до зарплати?,Вкажіть суму цього бонуса у $$$ після податків
14/12/2020 00:47,"Так, працюю part-time",Київ,Віддалено,Чоловік,24,Вища,,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Mobile,Kotlin,"Dart, Java, Kotlin",,Mobile Android,,,,,,,,,,,,,,,,,,,Manufacturing,Інша,до 50,Пів року,Пів року,1,200,0,"Отримую бонус за гарні показники роботи, але нерегулярно",
24/12/2020 23:31,"Так, працюю full-time",Вінниця,"Частково віддалено, частково в офісі",Чоловік,26,Вища,ЧНУ ім. Федьковича,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Front-end,JavaScript,Не використовую,Vue.js,Web,,,,,,,,,,,,,,,,,,,Medtech,Продуктова,до 1000,2 роки,2 роки,1,900,350,"Отримую бонус за гарні показники роботи, але нерегулярно",60
21/12/2020 13:12,"Так, працюю full-time",Львів,Віддалено,Чоловік,24,Дві вищих,НУ «Львівська політехніка»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,JavaScript,"JavaScript, TypeScript","Angular/Angular.js, Express, Node.js","Web, Desktop",,,,,,,,,,,,,,,,,,,"E-commerce, Logistics",Аутсорсингова,понад 1000,Пів року,Менше як 3 місяці,2,200,250,"Ні, не отримую",
21/12/2020 17:35,"Так, працюю full-time",Дніпро,В офісі,Чоловік,28,Вища,НТУ «Дніпровська політехніка»,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Front-end,JavaScript,Не використовую,"jQuery, React.js","Web, Desktop",,,,,,,,,,,,,,,,,,,E-commerce,Аутстафінгова,до 50,8 років,4 роки,1,1000,150,"Ні, не отримую",
26/12/2020 22:01,"Так, працюю part-time",Івано-Франківськ,Віддалено,Чоловік,24,Середня,ЧНУ ім. Федьковича,Elementary,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,PHP,JavaScript,"jQuery, Laravel, WordPress",Web,,,,,,,,,,,,,,,,,,,E-commerce,Інша,Лише я,3 роки,2 роки,3-4,300,0,"Ні, не отримую",0
12/12/2020 11:33,"Так, працюю full-time",Київ,Віддалено,Чоловік,36,Вища,ХНУРЕ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,Java,JavaScript,,"Web, Desktop",,,,,,,,,,,,,,,,,,,"Fintech, Medtech",Аутсорсингова,понад 1000,10 і більше років,2 роки,5-7,11600,5000,Отримую бонус щороку,1000
08/12/2020 20:21,"Так, працюю full-time",Київ,Віддалено,Чоловік,31,Вища,НТУУ «КПІ»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Kotlin,"Java, Scala, Інше","Play, Spring",Web,,,,,,,,,,,,,,,,,,,Інша,Продуктова,Лише я,8 років,1 рік,5-7,11400,1000,Отримую бонус щомісяця,1100
07/12/2020 10:11,"Так, працюю full-time",Київ,Віддалено,Чоловік,33,Вища,ЗНТУ,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Full-stack,C#/.NET,"JavaScript, SQL, TypeScript",".NET, .NET Core, Angular/Angular.js",Web,,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 200,10 і більше років,7 років,3-4,4400,600,"Ні, не отримую",
07/12/2020 10:25,"Так, працюю full-time",Київ,Віддалено,Чоловік,27,Вища,НАУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,Delphi,"JavaScript, PHP, SQL",,Desktop,,,,,,,,,,,,,,,,,,,Telecom,Продуктова,понад 1000,4 роки,4 роки,1,350,70,Отримую бонус щокварталу,180
21/12/2020 21:36,"Так, працюю full-time",Не Україна,Віддалено,Чоловік,25,Середня,КНЕУ,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,TypeScript,"Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,"Cloud Computing, E-commerce",Продуктова,Лише я,9 років,3 роки,5-7,11200,900,Отримую бонус щороку,20000
