"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
2,"Ужгород",18000,1,"System Architect",10,10,"Ruby/Rails",,67,"женский","Еще студент","КНУСА","True","элементарный","свыше 1000 человек","Продуктовая","Adtech, Agriculture, AR/VR"
3,"Харьков",18000,80,"Senior Software Engineer",8,8,"Other",,29,"женский","Высшее","ХНУРЭ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Internet of Things, Media, Mobile"
4,"Одесса",17000,-20,"QA Engineer",3,2,,"Manual QA",26,"женский","Высшее","ОНАС","False","выше среднего","до 50 человек","Стартап","Mobile"
5,"Днепр",14250,1250,"Team/Technical Lead",10,4,"C#/.NET",,74,"женский","Два высших","КНУ им. Шевченко","False","продвинутый","до 200 человек","Аутсорсинговая","E-commerce, Fintech, Hardware"
6,"Киев",14000,1000,"Senior Software Engineer",7,1,"Python",,25,"мужской","Незаконченное высшее","НАУ","False","продвинутый","до 10 человек","Стартап","Big Data, Blockchain, Fintech"
7,"Львов",13000,15,"HTML Coder",3,3,,,28,"мужской","Высшее","ЛНУ им. Франко","False","элементарный","до 50 человек","Другая","Інша"
8,"Львов",12000,-100,"Support",3,3,,,25,"женский","Высшее","Львовская Политехника","False","выше среднего","до 1000 человек","Аутсорсинговая","Інша"
9,"Киев",12000,3000,"Senior Software Engineer",10,0,"Kotlin",,36,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 50 человек","Стартап","Mobile"
10,"Киев",12000,4000,"Director of Engineering / Program Director",7,2,,,30,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 200 человек","Продуктовая","E-commerce, Media"
11,"Львов",11000,0,"Team/Technical Lead",8,1,"Java",,28,"мужской","Высшее","НУК","False","выше среднего","до 10 человек","Аутсорсинговая","Інша"
12,"Киев",11000,3000,"Director of Engineering / Program Director",10,3,,,47,"мужской","Высшее","Другой вуз","False","выше среднего","до 200 человек","Продуктовая","Big Data, Data Science, High Load Systems"
13,"Киев",10300,0,"Senior Software Engineer",9,3,"PHP",,29,"мужской","Высшее","КНУ им. Шевченко","False","выше среднего","до 10 человек","Продуктовая","E-commerce"
14,"Киев",10000,0,"Team/Technical Lead",10,1,"Java",,38,"мужской","Высшее",,"False","средний","до 200 человек","Продуктовая","High Load Systems"
15,"Киев",10000,4000,"Director of Engineering / Program Director",7,6,,,34,"женский","Кандидат","КНУ им. Шевченко","False","продвинутый","до 1000 человек","Аутсорсинговая","Cloud Computing"
