"city","experience","salary","position","freq"
"Вінниця","1-3 роки","0 - 500","DevOps Engineer",1
"Вінниця","1-3 роки","0 - 500","Other",1
"Вінниця","1-3 роки","0 - 500","Project Manager",1
"Вінниця","1-3 роки","0 - 500","Recruiter",1
"Вінниця","1-3 роки","0 - 500","Talent Acquisition Manager",1
"Вінниця","1-3 роки","1000 - 1500","3D Artist",1
"Вінниця","1-3 роки","1000 - 1500","Business Analyst",2
"Вінниця","1-3 роки","1000 - 1500","Copywriter",1
"Вінниця","1-3 роки","1000 - 1500","Data Scientist",1
"Вінниця","1-3 роки","1000 - 1500","DevOps Engineer",2
"Вінниця","1-3 роки","1000 - 1500","Game Designer",1
"Вінниця","1-3 роки","1000 - 1500","Game Developer",1
"Вінниця","1-3 роки","1000 - 1500","Project Manager",3
"Вінниця","1-3 роки","1000 - 1500","Sales Manager",1
"Вінниця","1-3 роки","1000 - 1500","Support",1
"Вінниця","1-3 роки","1000 - 1500","SysAdmin",1
"Вінниця","1-3 роки","1000 - 1500","UI / UX Designer",1
"Вінниця","1-3 роки","1500 - 2000","Business Analyst",1
"Вінниця","1-3 роки","1500 - 2000","Data Engineer / Big Data Engineer",1
"Вінниця","1-3 роки","1500 - 2000","Game Developer",1
"Вінниця","1-3 роки","1500 - 2000","Product Owner",1
"Вінниця","1-3 роки","1500 - 2000","Project Manager",2
"Вінниця","1-3 роки","1500 - 2000","System Analyst",1
"Вінниця","1-3 роки","1500 - 2000","Technical Artist",1
"Вінниця","1-3 роки","2000 - 2500","Business Analyst",1
"Вінниця","1-3 роки","2000 - 2500","Data Scientist",1
"Вінниця","1-3 роки","2000 - 2500","DevOps Engineer",2
"Вінниця","1-3 роки","2000 - 2500","Digital Marketing Manager",1
"Вінниця","1-3 роки","2000 - 2500","Game Developer",1
"Вінниця","1-3 роки","2000 - 2500","HR Business Partner",1
"Вінниця","1-3 роки","2000 - 2500","Project Manager",1
"Вінниця","1-3 роки","2000 - 2500","SEO Specialist",1
"Вінниця","1-3 роки","2000 - 2500","System Analyst",1
"Вінниця","1-3 роки","2500 - 3000","Business Analyst",1
"Вінниця","1-3 роки","2500 - 3000","Data Analyst",1
"Вінниця","1-3 роки","2500 - 3000","Data Engineer / Big Data Engineer",1
"Вінниця","1-3 роки","2500 - 3000","Delivery Manager",2
"Вінниця","1-3 роки","3000 - 3500","BI Analyst",1
"Вінниця","1-3 роки","3000 - 3500","Business Analyst",1
"Вінниця","1-3 роки","3000 - 3500","Data Engineer / Big Data Engineer",1
"Вінниця","1-3 роки","3000 - 3500","Data Scientist",1
"Вінниця","1-3 роки","3000 - 3500","DevOps Engineer",1
"Вінниця","1-3 роки","3500 - 4000","Business Analyst",1
"Вінниця","1-3 роки","3500 - 4000","DevOps Engineer",1
"Вінниця","1-3 роки","4000 - 4500","CEO, (co-) founder",1
"Вінниця","1-3 роки","4000 - 4500","Computer Vision Engineer",1
"Вінниця","1-3 роки","4500 - 5000","DevOps Engineer",1
"Вінниця","1-3 роки","500 - 1000","3D Artist",1
"Вінниця","1-3 роки","500 - 1000","HR Manager",2
"Вінниця","1-3 роки","500 - 1000","HTML Coder",1
"Вінниця","1-3 роки","500 - 1000","Project Manager",1
"Вінниця","1-3 роки","500 - 1000","Recruiter",2
"Вінниця","1-3 роки","500 - 1000","Sales Manager",1
"Вінниця","1-3 роки","500 - 1000","Support",1
"Вінниця","1-3 роки","500 - 1000","Talent Acquisition Manager",2
"Вінниця","1-3 роки","500 - 1000","UI / UX Designer",1
"Вінниця","1-3 роки","5000 - 5500","DevOps Engineer",1
"Вінниця","1-3 роки","5500 - 6000","DevOps Engineer",1
"Вінниця","10+ років","2500 - 3000","HR Business Partner",1
"Вінниця","10+ років","3000 - 3500","Game Developer",1
"Вінниця","10+ років","4000 - 4500","DevOps Engineer",1
"Вінниця","10+ років","4500 - 5000","Data Engineer / Big Data Engineer",1
"Вінниця","10+ років","5500 - 6000","Data Scientist",1
"Вінниця","10+ років","5500 - 6000","Program Manager",1
"Вінниця","10+ років","6500 +","CEO, (co-) founder",1
"Вінниця","10+ років","6500 +","CTO",1
"Вінниця","15  і більше років","1000 - 1500","SysAdmin",1
"Вінниця","15  і більше років","3000 - 3500","CEO, (co-) founder",1
"Вінниця","15  і більше років","4000 - 4500","SysAdmin",1
"Вінниця","15  і більше років","6500 +","Director of Engineering",1
"Вінниця","4-6 років","0 - 500","Support",1
"Вінниця","4-6 років","1000 - 1500","DevOps Engineer",1
"Вінниця","4-6 років","1000 - 1500","HR Director",1
"Вінниця","4-6 років","1000 - 1500","Project Manager",1
"Вінниця","4-6 років","1000 - 1500","Recruiter",1
"Вінниця","4-6 років","1000 - 1500","SysAdmin",1
"Вінниця","4-6 років","1000 - 1500","UI / UX Designer",1
"Вінниця","4-6 років","1500 - 2000","3D Artist",1
"Вінниця","4-6 років","1500 - 2000","Link Builder",1
"Вінниця","4-6 років","1500 - 2000","UI / UX Designer",1
"Вінниця","4-6 років","2000 - 2500","Business Analyst",1
"Вінниця","4-6 років","2000 - 2500","DevOps Engineer",1
"Вінниця","4-6 років","2000 - 2500","HR Business Partner",1
"Вінниця","4-6 років","2000 - 2500","HR Manager",1
"Вінниця","4-6 років","2000 - 2500","Project Manager",3
"Вінниця","4-6 років","2500 - 3000","Data Scientist",1
"Вінниця","4-6 років","2500 - 3000","DevOps Engineer",1
"Вінниця","4-6 років","2500 - 3000","Product Manager",1
"Вінниця","4-6 років","3000 - 3500","Delivery Manager",1
"Вінниця","4-6 років","3000 - 3500","DevOps Engineer",1
"Вінниця","4-6 років","3000 - 3500","VFX Artist",1
"Вінниця","4-6 років","3500 - 4000","Data Analyst",1
"Вінниця","4-6 років","3500 - 4000","Data Scientist",1
"Вінниця","4-6 років","3500 - 4000","Project Manager",2
"Вінниця","4-6 років","4000 - 4500","DevOps Engineer",1
"Вінниця","4-6 років","4000 - 4500","Project Manager",1
"Вінниця","4-6 років","4500 - 5000","Business Analyst",1
"Вінниця","4-6 років","4500 - 5000","VFX Artist",1
"Вінниця","4-6 років","500 - 1000","3D Artist",1
"Вінниця","4-6 років","500 - 1000","CEO, (co-) founder",1
"Вінниця","4-6 років","500 - 1000","Support",2
"Вінниця","4-6 років","5000 - 5500","DBA",1
"Вінниця","4-6 років","5000 - 5500","DevOps Engineer",1
"Вінниця","4-6 років","5000 - 5500","Sales Manager",1
"Вінниця","4-6 років","5500 - 6000","DevOps Engineer",1
"Вінниця","4-6 років","5500 - 6000","Product Designer",1
"Вінниця","4-6 років","6000 - 6500","Business Analyst",1
"Вінниця","4-6 років","6500 +","Data Scientist",1
"Вінниця","4-6 років","6500 +","Program Manager",1
"Вінниця","7-10 років","1000 - 1500","HR Manager",1
"Вінниця","7-10 років","1000 - 1500","Sales Manager",1
"Вінниця","7-10 років","1500 - 2000","HR Manager",1
"Вінниця","7-10 років","1500 - 2000","Project Manager",1
"Вінниця","7-10 років","2500 - 3000","Digital Marketing Manager",1
"Вінниця","7-10 років","2500 - 3000","PPC Specialist",1
"Вінниця","7-10 років","3000 - 3500","UI / UX Designer",1
"Вінниця","7-10 років","4000 - 4500","HR Director",1
"Вінниця","7-10 років","4000 - 4500","Product Owner",1
"Вінниця","7-10 років","4500 - 5000","DevOps Engineer",1
"Вінниця","7-10 років","4500 - 5000","Project Manager",1
"Вінниця","7-10 років","500 - 1000","Graphic Designer",1
"Вінниця","7-10 років","500 - 1000","SysAdmin",1
"Вінниця","7-10 років","5000 - 5500","Business Analyst",1
"Вінниця","7-10 років","5000 - 5500","Chief Marketing Officer (CMO)",1
"Вінниця","7-10 років","5000 - 5500","Scrum Master",1
"Вінниця","7-10 років","6000 - 6500","CEO, (co-) founder",1
"Вінниця","7-10 років","6500 +","Employer Brand Manager",1
"Вінниця","До року","0 - 500","Data Scientist",1
"Вінниця","До року","0 - 500","HTML Coder",1
"Вінниця","До року","0 - 500","Project Manager",2
"Вінниця","До року","1000 - 1500","BI Analyst",1
"Вінниця","До року","1000 - 1500","Data Scientist",1
"Вінниця","До року","1000 - 1500","DevOps Engineer",1
"Вінниця","До року","1000 - 1500","Graphic Designer",1
"Вінниця","До року","1000 - 1500","Project Manager",1
"Вінниця","До року","1500 - 2000","DevOps Engineer",1
"Вінниця","До року","1500 - 2000","Support",1
"Вінниця","До року","2000 - 2500","Business Analyst",1
"Вінниця","До року","500 - 1000","Data Scientist",1
"Вінниця","До року","500 - 1000","Delivery Manager",1
"Вінниця","До року","500 - 1000","DevOps Engineer",1
"Вінниця","До року","500 - 1000","Game Developer",1
"Вінниця","До року","500 - 1000","Product Analyst",1
"Вінниця","До року","500 - 1000","Project Manager",1
"Вінниця","До року","500 - 1000","Recruiter",1
"Вінниця","До року","500 - 1000","SEO Specialist",1
"Вінниця","До року","500 - 1000","Talent Acquisition Manager",1
"Вінниця","До року","500 - 1000","UI / UX Designer",1
"Дніпро","1-3 роки","0 - 500","ERP/CRM",1
"Дніпро","1-3 роки","0 - 500","Game Economy Designer",1
"Дніпро","1-3 роки","0 - 500","HTML Coder",1
"Дніпро","1-3 роки","0 - 500","Support",1
"Дніпро","1-3 роки","0 - 500","Talent Researcher / Sourcer",3
"Дніпро","1-3 роки","1000 - 1500","2D Artist",1
"Дніпро","1-3 роки","1000 - 1500","Business Analyst",2
"Дніпро","1-3 роки","1000 - 1500","Concept artist",1
"Дніпро","1-3 роки","1000 - 1500","Customer Success",2
"Дніпро","1-3 роки","1000 - 1500","Data Engineer / Big Data Engineer",1
"Дніпро","1-3 роки","1000 - 1500","DevOps Engineer",1
"Дніпро","1-3 роки","1000 - 1500","Game Developer",2
"Дніпро","1-3 роки","1000 - 1500","HR Manager",2
"Дніпро","1-3 роки","1000 - 1500","PR Manager",1
"Дніпро","1-3 роки","1000 - 1500","Product Manager",3
"Дніпро","1-3 роки","1000 - 1500","Product Marketing Manager",1
"Дніпро","1-3 роки","1000 - 1500","Project Manager",4
"Дніпро","1-3 роки","1000 - 1500","Recruiter",6
"Дніпро","1-3 роки","1000 - 1500","Sales Manager",1
"Дніпро","1-3 роки","1000 - 1500","UI / UX Designer",2
"Дніпро","1-3 роки","1500 - 2000","Data Scientist",1
"Дніпро","1-3 роки","1500 - 2000","DevOps Engineer",3
"Дніпро","1-3 роки","1500 - 2000","Digital Marketing Manager",1
