"city","experience","salary","position","specialisation","freq"
"Вінниця","1-3 роки","0 - 500","Intern/Trainee","Automation QA",1
"Вінниця","1-3 роки","1000 - 1500","Junior","Automation QA",2
"Вінниця","1-3 роки","1000 - 1500","Junior","Manual QA",5
"Вінниця","1-3 роки","1000 - 1500","Middle","Automation QA",2
"Вінниця","1-3 роки","1000 - 1500","Middle","Manual QA",8
"Вінниця","1-3 роки","1500 - 2000","Junior","Manual QA",1
"Вінниця","1-3 роки","1500 - 2000","Middle","Automation QA",1
"Вінниця","1-3 роки","1500 - 2000","Middle","Manual QA",7
"Вінниця","1-3 роки","2000 - 2500","Middle","Manual QA",2
"Вінниця","1-3 роки","2500 - 3000","Middle","Automation QA",1
"Вінниця","1-3 роки","2500 - 3000","Middle","Manual QA",2
"Вінниця","1-3 роки","2500 - 3000","Senior","General QA",1
"Вінниця","1-3 роки","3000 - 3500","Senior","Manual QA",1
"Вінниця","1-3 роки","500 - 1000","Junior","General QA",2
"Вінниця","1-3 роки","500 - 1000","Junior","Manual QA",7
"Вінниця","1-3 роки","500 - 1000","Middle","Automation QA",1
"Вінниця","1-3 роки","500 - 1000","Middle","Manual QA",5
"Вінниця","10+ років","1500 - 2000","Team Lead","Manual QA",1
"Вінниця","10+ років","2000 - 2500","Senior","General QA",1
"Вінниця","10+ років","3000 - 3500","Tech Lead","General QA",1
"Вінниця","10+ років","4500 - 5000","Senior","Automation QA",1
"Вінниця","10+ років","5500 - 6000","Team Lead","Automation QA",1
"Вінниця","10+ років","6500 +","Senior","Automation QA",1
"Вінниця","10+ років","6500 +","Tech Lead","Performance QA",1
"Вінниця","4-6 років","1000 - 1500","Junior","Automation QA",1
"Вінниця","4-6 років","1000 - 1500","Middle","Manual QA",1
"Вінниця","4-6 років","1500 - 2000","Middle","Manual QA",1
"Вінниця","4-6 років","2000 - 2500","Middle","General QA",1
"Вінниця","4-6 років","2000 - 2500","Middle","Manual QA",1
"Вінниця","4-6 років","2000 - 2500","Senior","Manual QA",2
"Вінниця","4-6 років","2000 - 2500","Team Lead","General QA",1
"Вінниця","4-6 років","2000 - 2500","Team Lead","Manual QA",1
"Вінниця","4-6 років","2500 - 3000","Middle","Automation QA",1
"Вінниця","4-6 років","2500 - 3000","Middle","Manual QA",2
"Вінниця","4-6 років","2500 - 3000","Senior","General QA",1
"Вінниця","4-6 років","2500 - 3000","Senior","Manual QA",2
"Вінниця","4-6 років","2500 - 3000","Team Lead","General QA",1
"Вінниця","4-6 років","3000 - 3500","Middle","Manual QA",1
"Вінниця","4-6 років","3000 - 3500","Senior","Automation QA",1
"Вінниця","4-6 років","3000 - 3500","Senior","General QA",1
"Вінниця","4-6 років","3000 - 3500","Senior","Manual QA",1
"Вінниця","4-6 років","3500 - 4000","Middle","Automation QA",1
"Вінниця","4-6 років","3500 - 4000","Middle","Manual QA",1
"Вінниця","4-6 років","3500 - 4000","Senior","Automation QA",1
"Вінниця","4-6 років","3500 - 4000","Senior","General QA",1
"Вінниця","4-6 років","3500 - 4000","Senior","Manual QA",1
"Вінниця","4-6 років","4000 - 4500","Senior","Automation QA",1
"Вінниця","4-6 років","4000 - 4500","Senior","Manual QA",1
"Вінниця","4-6 років","4500 - 5000","Senior","Automation QA",1
"Вінниця","4-6 років","4500 - 5000","Senior","Manual QA",1
"Вінниця","4-6 років","500 - 1000","Junior","Manual QA",1
"Вінниця","4-6 років","6500 +","Senior","Manual QA",1
"Вінниця","7-10 років","1000 - 1500","Middle","Automation QA",1
"Вінниця","7-10 років","1500 - 2000","Middle","General QA",1
"Вінниця","7-10 років","1500 - 2000","Middle","Manual QA",1
"Вінниця","7-10 років","2000 - 2500","Senior","General QA",1
"Вінниця","7-10 років","2500 - 3000","Senior","General QA",1
"Вінниця","7-10 років","2500 - 3000","Senior","Manual QA",1
"Вінниця","7-10 років","3500 - 4000","Manager","Manual QA",1
"Вінниця","7-10 років","3500 - 4000","Middle","Automation QA",1
"Вінниця","7-10 років","3500 - 4000","Middle","General QA",1
"Вінниця","7-10 років","3500 - 4000","Senior","Automation QA",1
"Вінниця","7-10 років","3500 - 4000","Senior","General QA",1
"Вінниця","7-10 років","3500 - 4000","Senior","Manual QA",1
"Вінниця","7-10 років","4000 - 4500","Senior","General QA",1
"Вінниця","7-10 років","4000 - 4500","Team Lead","Manual QA",1
"Вінниця","7-10 років","4500 - 5000","Senior","Automation QA",1
"Вінниця","7-10 років","5000 - 5500","Manager","General QA",1
"Вінниця","7-10 років","5000 - 5500","Senior","Automation QA",1
"Вінниця","До року","0 - 500","Junior","Manual QA",2
"Вінниця","До року","1500 - 2000","Junior","Automation QA",1
"Вінниця","До року","500 - 1000","Junior","General QA",1
"Вінниця","До року","500 - 1000","Junior","Manual QA",6
"Вінниця","До року","500 - 1000","Middle","General QA",1
"Дніпро","1-3 роки","1000 - 1500","Junior","Manual QA",3
"Дніпро","1-3 роки","1000 - 1500","Middle","Automation QA",1
"Дніпро","1-3 роки","1000 - 1500","Middle","Manual QA",5
"Дніпро","1-3 роки","1000 - 1500","Middle","Performance QA",1
"Дніпро","1-3 роки","1000 - 1500","Senior","General QA",1
"Дніпро","1-3 роки","1500 - 2000","Middle","Automation QA",4
"Дніпро","1-3 роки","1500 - 2000","Middle","Manual QA",4
"Дніпро","1-3 роки","2000 - 2500","Middle","Automation QA",1
"Дніпро","1-3 роки","2000 - 2500","Middle","General QA",2
"Дніпро","1-3 роки","2000 - 2500","Middle","Manual QA",2
"Дніпро","1-3 роки","2500 - 3000","Middle","Automation QA",1
"Дніпро","1-3 роки","2500 - 3000","Middle","Manual QA",3
"Дніпро","1-3 роки","2500 - 3000","Team Lead","General QA",1
"Дніпро","1-3 роки","3000 - 3500","Senior","Automation QA",1
"Дніпро","1-3 роки","3500 - 4000","Team Lead","Automation QA",1
"Дніпро","1-3 роки","500 - 1000","Junior","Manual QA",12
"Дніпро","1-3 роки","500 - 1000","Junior","Performance QA",1
"Дніпро","1-3 роки","500 - 1000","Middle","Automation QA",2
"Дніпро","1-3 роки","500 - 1000","Middle","Manual QA",1
"Дніпро","10+ років","2000 - 2500","Senior","Manual QA",1
"Дніпро","10+ років","3000 - 3500","Middle","General QA",1
"Дніпро","10+ років","3000 - 3500","Senior","General QA",1
"Дніпро","10+ років","3500 - 4000","Senior","General QA",1
"Дніпро","10+ років","3500 - 4000","Team Lead","Automation QA",1
"Дніпро","10+ років","3500 - 4000","Team Lead","Manual QA",1
"Дніпро","10+ років","4000 - 4500","Middle","General QA",1
"Дніпро","10+ років","4500 - 5000","Senior","Automation QA",1
"Дніпро","10+ років","4500 - 5000","Tech Lead","Automation QA",1
"Дніпро","4-6 років","1000 - 1500","Middle","Manual QA",2
"Дніпро","4-6 років","1500 - 2000","Middle","Manual QA",3
"Дніпро","4-6 років","2000 - 2500","Middle","Automation QA",1
"Дніпро","4-6 років","2000 - 2500","Middle","General QA",2
"Дніпро","4-6 років","2000 - 2500","Middle","Manual QA",7
"Дніпро","4-6 років","2000 - 2500","Senior","Manual QA",3
"Дніпро","4-6 років","2500 - 3000","Middle","Automation QA",1
"Дніпро","4-6 років","2500 - 3000","Middle","General QA",1
"Дніпро","4-6 років","2500 - 3000","Senior","Manual QA",2
"Дніпро","4-6 років","3000 - 3500","Middle","Automation QA",2
"Дніпро","4-6 років","3000 - 3500","Middle","Manual QA",1
"Дніпро","4-6 років","3000 - 3500","Senior","Automation QA",1
"Дніпро","4-6 років","3000 - 3500","Senior","General QA",1
"Дніпро","4-6 років","3000 - 3500","Team Lead","General QA",1
"Дніпро","4-6 років","3500 - 4000","Manager","Manual QA",1
"Дніпро","4-6 років","3500 - 4000","Senior","Automation QA",2
"Дніпро","4-6 років","3500 - 4000","Senior","General QA",1
"Дніпро","4-6 років","4000 - 4500","Senior","Automation QA",1
"Дніпро","4-6 років","4000 - 4500","Senior","General QA",1
"Дніпро","4-6 років","4500 - 5000","Senior","Automation QA",1
"Дніпро","4-6 років","500 - 1000","Junior","Manual QA",2
"Дніпро","4-6 років","6500 +","Team Lead","Manual QA",1
"Дніпро","7-10 років","1000 - 1500","Middle","Manual QA",1
"Дніпро","7-10 років","1500 - 2000","Middle","Manual QA",2
"Дніпро","7-10 років","2500 - 3000","Middle","Automation QA",1
"Дніпро","7-10 років","2500 - 3000","Senior","General QA",1
"Дніпро","7-10 років","2500 - 3000","Tech Lead","General QA",1
"Дніпро","7-10 років","3000 - 3500","Middle","Automation QA",1
"Дніпро","7-10 років","3000 - 3500","Senior","Manual QA",2
"Дніпро","7-10 років","3000 - 3500","Team Lead","General QA",1
"Дніпро","7-10 років","3000 - 3500","Team Lead","Manual QA",1
"Дніпро","7-10 років","3500 - 4000","Senior","Automation QA",2
"Дніпро","7-10 років","3500 - 4000","Team Lead","Manual QA",1
"Дніпро","7-10 років","3500 - 4000","Tech Lead","Manual QA",1
"Дніпро","7-10 років","4000 - 4500","Middle","Automation QA",1
"Дніпро","7-10 років","4000 - 4500","Team Lead","Manual QA",1
"Дніпро","7-10 років","4000 - 4500","Tech Lead","Automation QA",1
