Submitted at,Ваша основна зайнятість в ІТ зараз...,"ЗАРПЛАТА / СУМАРНИЙ ДОХІД в IT у $$$ за місяць, лише ставка 
ЧИСТИМИ - після сплати податків",Всі бонуси (на місяць),Тайтл,Категорія,Почніть вводити і оберіть вашу ОСНОВНУ посаду зі списку,"У якій сфері проєкт, в якому ви зараз працюєте?",Вкажіть вашу основну спеціалізацію,Чи використовуєте ви у своїй роботі мови програмування (одну чи декілька)?,Основна мова програмування,"Основний напрям роботи компанії, в якій працюєте",Кількість спеціалістів у вашій компанії в Україні,Загальний стаж роботи за нинішньою ІТ-спеціальністю,Знання англійської мови,Де ви зараз живете?,За яким напрямом ви навчалися / навчаєтеся у виші?,Ваш вік
2025-05-26 06:52:09,Втратив(-ла) роботу / звільнився(-лася) і шукаю нову,2000,0,Middle,Marketing,Marketing Manager,"Adtech / Advertising / Marketing, Blockchain, Gambling",,"Ні, не використовую",,Продуктова,до 50,4,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,21
2025-05-26 06:52:15,Працюю в IT-компанії / ІТ-департаменті,3000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Retail / marketplace,Full Stack розробка,,1С,Продуктова,до 10 спеціалістів,8,Pre-Intermediate,В Україні,"Точні науки (математика, інформатика)",33
2025-05-26 06:53:32,Працюю в IT-компанії / ІТ-департаменті,282,0,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Edtech / Education, AI / ML, Real estate",Back-end розробка,,C# / .NET,Сервісна (аутсорсингова),до 50,0.25,Pre-Intermediate,В Україні,"Природничі науки (фізика, хімія, біологія)",32
2025-05-26 06:53:46,Працюю в IT-компанії / ІТ-департаменті,2700,0,Middle,QA,Manual QA,AI / ML,,"Так, використовую",Python,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",до 200,4,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",26
2025-05-26 06:53:57,Працюю в IT-компанії / ІТ-департаменті,2500,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Miltech,Embedded,,C++,Стартап,до 10 спеціалістів,4,Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",24
2025-05-26 06:54:04,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),2030,0,Middle,Project Mgmt,Project Manager (PM),"Uberfication, Edtech / Education",,"Ні, не використовую",,Продуктова,до 1000,7,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",26
2025-05-26 06:54:58,Працюю в IT-компанії / ІТ-департаменті,3200,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Back-end розробка,,Java,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",понад 1000,3,Upper-Intermediate,В Україні,Не вступав у виш,27
2025-05-26 06:55:03,Працюю в IT-компанії / ІТ-департаменті,4000,0,Senior,"UI/UX, Product Design",UI/UX Designer,AEC,,"Ні, не використовую",,Аутстафінгова,до 200,5,Upper-Intermediate,В Україні,"Природничі науки (фізика, хімія, біологія)",30
2025-05-26 06:55:36,Працюю в IT-компанії / ІТ-департаменті,1200,0,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Різнопланові проєкти, немає одного основного (HR etc), Enterprise",Front-end розробка,,JavaScript,Продуктова,понад 1000,2,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",20
2025-05-26 06:55:35,Працюю в IT-компанії / ІТ-департаменті,800,0,Junior,DevOps,DevOps Engineer,Fintech / Banking / Capital Management,,"Так, використовую",Python,Продуктова,до 10 спеціалістів,1,Pre-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",28
