"Timestamp","В каком вузе учились?","На каком факультете?","По какой специальности?","В каком году закончили вуз?","Как вы оцениваете полученное образование?","Что полезного для себя приобрели за время учебы?","Сталкивались ли вы с коррупцией в вашем вузе?","Сильные стороны вашего вуза:","Слабые стороны вашего вуза:","Если бы была возможность выбрать другой вуз/специальность, что бы вы выбрали?","Если бы была возможность, вы:","Пригодился ли вам диплом?","Учились очно или заочно?","Ваш пол:","Кем работаете?","Ваш доход:"
"2015/06/02 9:45:34 AM GMT+3","СумГУ","ЭЛиТ","Электронные системы","2013-2015","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились преодолевать проблемы;Ничего","Нет","Престижность и котируемость диплома","Устаревшая программа обучения;Нет сотрудничества с работодателями;Нет современного оборудования","Информатика","Поступил на заочку и шел работать","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Тестировщик","Ниже среднего по отрасли"
"2015/06/02 9:46:00 AM GMT+3","ВНТУ","ФІТКІ","Программная инженерия","2016 и позже","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Да, иногда","Уровень студентов","Устаревшая программа обучения;Слабые преподаватели;Нет сотрудничества с работодателями","","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Ниже среднего по отрасли"
"2015/06/02 9:48:26 AM GMT+3","ЛНУ им. Франка","Прикладна математика","Компьютерные науки","2013-2015","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Нашли друзей и единомышленников","Только по непрофильным предметам","Уровень студентов","Устаревшая программа обучения;Слабые преподаватели;Вуз не мотивирует учиться","","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 9:49:58 AM GMT+3","ДНУЖТ им. Лазаряна","Техническая кибернетика","Программная инженерия","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели","Устаревшая программа обучения;Нет сотрудничества с работодателями;Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 9:50:09 AM GMT+3","КНУ им. Шевченко","Радиофизики, электроники и компьютерных систем ","Компьютерная инженерия","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Уровень студентов","Слабые преподаватели","Информатика КНУ","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Разработчик","Ниже среднего по отрасли"
"2015/06/02 9:50:24 AM GMT+3","ХАИ им. Жуковского","6","Программная инженерия","2013-2015","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Повысили общую эрудицию;Нашли друзей и единомышленников","Да, часто","Сотрудничество с работодателями","Устаревшая программа обучения;Слабые преподаватели;Слабые студенты","ХНУРЭ","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 9:50:26 AM GMT+3","ДНУ им. Гончара","","Компьютерные науки","2010-2012","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Повысили общую эрудицию;Нашли друзей и единомышленников;Получили полезные знания по специальности","Нет","Престижность и котируемость диплома","Слабые студенты;Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Женщина","Разработчик","Средний по отрасли"
"2015/06/02 9:50:39 AM GMT+3","Львовская Политехника","ІКНІ","Компьютерные науки","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Нашли друзей и единомышленников;Подучили английский язык","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Сотрудничество с работодателями","Устаревшая программа обучения;Слабые студенты;Вуз не мотивирует учиться","","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Мужчина","Разработчик","Ниже среднего по отрасли"
"2015/06/02 9:51:03 AM GMT+3","ВНТУ","","Компьютерные науки","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Да, иногда","Уровень студентов","Устаревшая программа обучения;Нет современного оборудования;Вуз не мотивирует учиться","","Учился в вузе более качественно","Нет, не пригодился","Часть курсов очно, часть заочно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 9:52:17 AM GMT+3","ХНУ им. Каразина","мехмат","информатика","2000-2009","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников;Научились общаться и работать в команд","Только по непрофильным предметам","Изучаемые предметы, программа обучения;Сильные преподаватели;Уровень студентов","Вуз не мотивирует учиться","","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
