dep40_1;dep40_2;dep40_4;dep40_5;dep40_8;dep40_9;dep40_13;dep40_14;dep40_15;dep40_17;dep40_18;dep40_19;dep40_20;dep40_21;dep40_24;dep40_23;dep40_25;dep40_26;dep40_28;dep40_30;dep40_32;dep40_33;dep40_34;dep40_35;dep40_36;dep40_37;dep40_38;dep40_39;dep40_40;dep40_42;dep40_43;dep40_44;dep40_46;dep40_48;dep40_49;dep40_50;dep40_51;dep40_52;dep40_54;nps;prestige;admin_organization;admin_willing_to_help;program_complic;program_interest;program_useful;program_actual;program_tech_1;program_tech_2;program_tech_3;program_tech_4;program_tech_5;program_tech_6;program_tech_7;program_tech_8;program_tech_9;program_tech_10;program_tech_11;tutors_explanation;tutors_practice;tutors_plariarism;facilities_buildings;facilities_tech;facilities_materials;community_group;community_alumni;community_network;science_possib;finance_effectiveness;price_quality_ratio;bribes_experience;itevents_1;itevents_2;itevents_3;itevents_4;itevents_5;itevents_6;tutors_practics;employment_assistance;internships;change_vuz;year;diploma;murals;job
ВНТУ: Факультет информационных технологий и компьютерной инженерии;ВНТУ;ДНУ им.Гончара: Факультет прикладной математики;ДНУ им.Гончара;ДонНТУ: Факультет компьютерных наук и технологий;ДонНТУ;КНУ им.Шевченко: Факультет кибернетики;КНУ им.Шевченко: Факультет радиофизики, электроники и компьютерных систем (бывший радиофизический);КНУ им.Шевченко;ЛНУ им.Франка: Факультет прикладной математики и информатики;ЛНУ им.Франка;Львовская Политехника: Институт компьютерных наук и информационных технологий;Львовская Политехника: Институт компьютерных технологий, автоматики и метрологии;Львовская Политехника;НАУ;НАУ: Институт компьютерных информационных технологий;НаУКМА: Факультет информатики;НаУКМА;"НТУ ""ХПИ"": Компьютерные и информационные технологии (КИТ)";"НТУ ""ХПИ""";"НТУУ ""КПИ"": ИПСА";"НТУУ ""КПИ"": ТЭФ";"НТУУ ""КПИ"": ФЭЛ";"НТУУ ""КПИ"": ФИВТ";"НТУУ ""КПИ"": ФПМ";"НТУУ ""КПИ"": ФТИ";"НТУУ ""КПИ""";ОНПУ: Институт компьютерных систем;ОНПУ;СумГУ: Факультет электроники и информационных технологий;СумГУ;ХАИ им.Жуковского;ХНУ им.Каразина;ХНУРЭ: Факультет компьютерной инженерии и управления;ХНУРЭ: Факультет компьютерных наук;ХНУРЭ;ЧГУ им.Петра Могилы: Факультет компьютерных наук;ЧГУ им.Петра Могилы;Другой ВУЗ;Готовность рекомендовать кафедру/ факультет;Оцените, насколько вы согласны с утверждением, что учиться на вашем факультете престижно;Оцените работу вашего деканата / администрации факультета: организацию учебного процесса, наличие бюрократии, информирование студентов;Оцените работу вашего деканата / администрации факультета: ориентацию на интересы студентов, готовность помочь в сложных ситуациях;Насколько сложно вам было учиться в вузе?;Насколько интересно вам было учиться в вузе?;Знания, которые вы получили в вузе — насколько они оказались полезны для вашей работы в ИТ?;Программа, по которой вы учились — насколько она актуальна и соответствует потребностям ИТ-отрасли?;Каким из этих технологий вас научили в вузе? [Java];Каким из этих технологий вас научили в вузе? [JavaScript];Каким из этих технологий вас научили в вузе? [C];Каким из этих технологий вас научили в вузе? [C++];Каким из этих технологий вас научили в вузе? [C#];Каким из этих технологий вас научили в вузе? [Objective-C];Каким из этих технологий вас научили в вузе? [PHP];Каким из этих технологий вас научили в вузе? [Python];Каким из этих технологий вас научили в вузе? [QA];Каким из этих технологий вас научили в вузе? [Ruby];Каким из этих технологий вас научили в вузе? [Базы данных];Оцените преподавателей, у которых вы учились в вузе: насколько хорошо они объясняли, насколько понятно подавали материал;Оцените преподавателей, у которых вы учились в вузе: их опыт практического применения преподаваемого материала, умение объяснить, как это применяется на практике;Как ваши преподаватели относились к списыванию/ плагиату? Насколько легко было списать или сдать чужую работу?;Оцените общее техническое состояние помещений вуза/ факультета, включая аудитории и общежития;Оцените технологические возможности, которые предоставляет факультет для обучения: компьютерные классы, доступ к Интернет, проекторы, доступ к необходимому ПО, и т.п.;Оцените возможность доступа к учебным материалам, которые были у вас во время обучения: учебникам (в бумажном или электронном виде), периодическим изданиям, лабораториям, научным конференциям и т.п.;Оцените группу/ поток, где вы учились: уровень знаний студентов и их мотивацию к обучению;"Оцените сообщество выпускников вашего факультета/ вуза, насколько они интересуются/ помогают ""альма матер"", есть ли ощущение общих ценностей и интересов";Дала ли вам учеба в вузе связи и знакомства (со студентами, преподавателями), которые потом пригодились в профессиональной деятельности?;Возможность заниматься научной деятельностью;Как вы считаете, насколько ваш факультет/ вуз эффективен в финансовом плане? То есть насколько эффективно он привлекает средства, правильно ли их распределяет?;Если сравнить стоимость обучения на контракте на вашем факультете с теми знаниями и навыками, которые там можно получить — как бы вы оценил;Сталкивались ли вы со случаями взяточничества на вашем факультете, во время учебы (по профильным или непрофильным предметам) или при поступ;Сотрудники ИТ-компаний выступали как приглашенные лекторы (но не были постоянными преподавателями);ИТ-компании в качестве спонсоров помогали с техническим обеспечением (ремонт, предоставление техники, и т.п.);ИТ-компании организовывали/ помогали организовывать полноценные курсы, входившие в программу обучения;ИТ-компании выступали спонсорами учебных мероприятий, но не курсов (например, соревнований, хакатонов, конференций, и т.п.);ИТ-компании выступали спонсорами других, не учебных, мероприятий (дни факультета, и пр.);Другое;Привлекал ли ваш факультет к преподаванию специалистов-практиков из ИТ-сферы? Имеются ввиду полноценные курсы, которые входили в учебную программу;Насколько активно ваш факультет/ вуз сотрудничал с ИТ-компаниями в сфере трудоустройства студентов, например, в организации ярмарок ваканс;Сколько практик/ стажировок, организованных вузом, вы прошли за период обучения?;Если бы вы могли поменять МЕСТО УЧЕБЫ, вы бы…;Год;Диплом;Форма обучения;Должность
0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7;7;5;3;9;8;7;6;Не изучали;Не изучали;Дали основы;Дали основы;Не изучали;Не изучали;Не изучали;Не изучали;Не изучали;Не изучали;Дали основы;5;4;4;3;5;6;8;Трудно сказать;Трудно сказать;Есть отдельные энтузиасты (преподаватели), которые вовлекают сту;Трудно сказать;Стоимость СКОРЕЕ ЗАНИЖЕНА по сравнению с качеством образования (;Сталкивался лично;;1;;;;;Да, и достаточно часто;Сотрудничал, но мало;Ни одной;Поступил бы в другой вуз в Украине;2010;Получил диплом магистра/ специалиста и не учился в аспирантуре;Очно;Разработчик
0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9;9;5;5;8;5;5;1;Не изучали;Не изучали;Не изучали;Дали основы;Дали основы;Не изучали;Не изучали;Не изучали;Не изучали;Не изучали;Дали основы;7;7;8;1;4;4;8;5;8;Есть отдельные энтузиасты (преподаватели), которые вовлекают сту;3;Стоимость СИЛЬНО ЗАНИЖЕНА по сравнению с качеством образования (;Не сталкивался лично, но знаю людей, которые сталкивались;1;;;1;1;;Нет;Сотрудничал, но мало;Ни одной;Ничего не стал бы менять: учился бы на той же кафедре/ том же факул;2015;Получил диплом магистра/ специалиста и не учился в аспирантуре;Очно;Разработчик
0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8;8;6;9;9;9;10;6;Дали всю необходимую для трудоустройства информацию;Дали основы;Дали всю необходимую для трудоустройства информацию;Дали всю необходимую для трудоустройства информацию;Не изучали;Не изучали;Не изучали;Не изучали;Не изучали;Не изучали;Дали всю необходимую для трудоустройства информацию;8;7;8;5;9;9;9;4;9;Есть отдельные энтузиасты (преподаватели), которые вовлекают сту;6;Стоимость СООТВЕТСТВУЕТ качеству образования;Не сталкивался лично и не знаю никого, кто сталкивался;1;;1;;;;Трудно сказать;Сотрудничал, но мало;Ни одной;Поступил бы в тот же вуз, но на другой факультет/ кафедру;2011;Получил диплом магистра/ специалиста и не учился в аспирантуре;Очно;Разработчик
0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7;10 - полностью согласен;6;7;7;5;5;3;Не изучали;Не изучали;Дали основы;Дали основы;Не изучали;Не изучали;Не изучали;Не изучали;Не изучали;Не изучали;Дали всю необходимую для трудоустройства информацию;5;5;3;2;3;Трудно сказать;10;Трудно сказать;6;Есть отдельные энтузиасты (преподаватели), которые вовлекают сту;5;Трудно сказать / Не помню (не знаю) стоимости обучения на контракт;Не сталкивался лично и не знаю никого, кто сталкивался;;;;;;;Нет;Сотрудничал, но мало;Одну;Поступил бы в другой вуз заграницей;2016 и позже;Учусь на бакалаврате (1-4 курс), еще не получил диплом;Очно;Разработчик
0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7;9;5;5;10;7;8;5;Не изучали;Не изучали;Дали основы;Дали основы;Не изучали;Не изучали;Дали основы;Не изучали;Не изучали;Не изучали;Дали основы;6;5;8;3;4;5;7;Трудно сказать;5;Есть отдельные энтузиасты (преподаватели), которые вовлекают сту;Трудно сказать;Стоимость СКОРЕЕ ЗАНИЖЕНА по сравнению с качеством образования (;Не сталкивался лично, но знаю людей, которые сталкивались;1;;;;;;Нет;Сотрудничал, но мало;Ни одной;Ничего не стал бы менять: учился бы на той же кафедре/ том же факул;2008;Получил диплом магистра/ специалиста и не учился в аспирантуре;Очно;Разработчик
0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;7;8;7;8;4;6;4;2;Дали основы;Не изучали;Дали основы;Дали основы;Не изучали;Не изучали;Не изучали;Дали основы;Не изучали;Дали основы;Дали основы;7;7;5;5;6;7;7;6;10;Факультет активно вовлекает и поддерживает студентов в научно-ис;5;Стоимость СКОРЕЕ ЗАВЫШЕНА  по сравнению качеством образования (о;Сталкивался лично;1;;;;;;Да, но недостаточно часто;Сотрудничал достаточно активно, но можно было и лучше;Ни одной;Поступил бы в другой вуз в Украине;2015;Получил диплом магистра/ специалиста и не учился в аспирантуре;Очно;Разработчик
0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9;9;9;9;7;8;9;9;Дали основы;Не изучали;Дали основы;Дали основы;Дали основы;Не изучали;Не изучали;Не изучали;Не изучали;Не изучали;Дали всю необходимую для трудоустройства информацию;8;9;7;9;10;9;8;4;10;Есть отдельные энтузиасты (преподаватели), которые вовлекают сту;9;Стоимость СИЛЬНО ЗАНИЖЕНА по сравнению с качеством образования (;Сталкивался лично;1;1;;1;1;;Нет;Сотрудничал очень активно;Ни одной;Ничего не стал бы менять: учился бы на той же кафедре/ том же факул;2011;Получил диплом магистра/ специалиста и не учился в аспирантуре;Очно;Разработчик
0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;5;3;3;6;5;4;6;2;Не изучали;Не изучали;Дали основы;Дали основы;Не изучали;Не изучали;Не изучали;Не изучали;Не изучали;Не изучали;Дали основы;5;4;2;4;6;8;2;2;5;Есть отдельные энтузиасты (преподаватели), которые вовлекают сту;3;Стоимость СКОРЕЕ ЗАВЫШЕНА  по сравнению качеством образования (о;Не сталкивался лично, но знаю людей, которые сталкивались;1;;;;;;Нет;Вообще не сотрудничал (никакой помощи в трудоустройстве);Ни одной;Поступил бы в другой вуз в Украине;2014;Получил диплом магистра/ специалиста и не учился в аспирантуре;Часть курсов очно, часть заочно;Разработчик
0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1 - совершенно не согласен;4;8;3;1;4;1;Дали основы;Дали основы;Дали основы;Дали основы;Дали основы;Не изучали;Дали основы;Не изучали;Не изучали;Не изучали;Дали основы;Трудно сказать;1;3;6;7;Трудно сказать;3;1;1;Есть отдельные энтузиасты (преподаватели), которые вовлекают сту;2;Стоимость СКОРЕЕ ЗАВЫШЕНА  по сравнению качеством образования (о;Не сталкивался лично, но знаю людей, которые сталкивались;;1;1;1;;;Да, но недостаточно часто;Сотрудничал, но мало;Ни одной;Поступил бы в другой вуз заграницей;2016 и позже;Учусь на бакалаврате (1-4 курс), еще не получил диплом;Очно;Разработчик
